case_id,employee,firm,created,submitted,responded,resolved,status,attempts,channels,compensation,processing_time,dispute_duration,observed_pending_time
0:0,0,7,0,,,,unsubmitted,0,,0.0,,,
1:0,1,7,0,6.0,6.0,6.0,resolved,1,domestic,1.0,0.0,6.0,0.0
2:0,2,4,0,7.0,7.0,8.0,resolved,2,domestic,1.0,1.0,8.0,1.0
3:0,3,4,0,,,,unsubmitted,0,,0.0,,,
5:0,5,0,0,2.0,2.0,3.0,resolved,2,domestic,1.0,1.0,3.0,1.0
6:0,6,1,0,10.0,10.0,10.0,resolved,1,domestic,1.0,0.0,10.0,0.0
7:0,7,5,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
9:0,9,2,0,10.0,10.0,13.0,resolved,4,domestic,1.0,3.0,13.0,3.0
11:0,11,3,0,10.0,10.0,10.0,resolved,1,domestic,1.0,0.0,10.0,0.0
13:0,13,5,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
15:0,15,4,0,,,,unsubmitted,0,,0.0,,,
16:0,16,0,0,,,,unsubmitted,0,,0.0,,,
17:0,17,4,0,5.0,5.0,5.0,resolved,1,domestic,1.0,0.0,5.0,0.0
18:0,18,4,0,7.0,7.0,7.0,resolved,1,domestic,1.0,0.0,7.0,0.0
19:0,19,5,0,6.0,6.0,7.0,resolved,2,domestic,1.0,1.0,7.0,1.0
20:0,20,6,0,9.0,9.0,9.0,resolved,1,domestic,1.0,0.0,9.0,0.0
21:0,21,6,0,5.0,5.0,6.0,resolved,2,domestic,1.0,1.0,6.0,1.0
23:0,23,4,0,,,,unsubmitted,0,,0.0,,,
25:0,25,3,0,8.0,8.0,9.0,resolved,2,domestic,1.0,1.0,9.0,1.0
27:0,27,5,0,,,,unsubmitted,0,,0.0,,,
29:0,29,1,0,,,,unsubmitted,0,,0.0,,,
30:0,30,4,0,6.0,6.0,10.0,resolved,4,domestic,1.0,4.0,10.0,4.0
35:0,35,1,0,,,,unsubmitted,0,,0.0,,,
36:0,36,4,0,,,,unsubmitted,0,,0.0,,,
37:0,37,2,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
38:0,38,4,0,10.0,10.0,10.0,resolved,1,domestic,1.0,0.0,10.0,0.0
