time,case_id,employee,event
0,0:0,0,created
0,1:0,1,created
0,2:0,2,created
0,3:0,3,created
0,5:0,5,created
0,6:0,6,created
0,7:0,7,created
0,9:0,9,created
0,11:0,11,created
0,13:0,13,created
0,15:0,15,created
0,16:0,16,created
0,17:0,17,created
0,18:0,18,created
0,19:0,19,created
0,20:0,20,created
0,21:0,21,created
0,23:0,23,created
0,25:0,25,created
0,27:0,27,created
0,29:0,29,created
0,30:0,30,created
0,35:0,35,created
0,36:0,36,created
0,37:0,37,created
0,38:0,38,created
0,39:0,39,created
0,40:0,40,created
0,42:0,42,created
0,43:0,43,created
0,44:0,44,created
0,47:0,47,created
0,49:0,49,created
0,50:0,50,created
0,54:0,54,created
0,55:0,55,created
0,59:0,59,created
0,60:0,60,created
0,61:0,61,created
0,63:0,63,created
0,65:0,65,created
0,66:0,66,created
0,67:0,67,created
0,68:0,68,created
0,69:0,69,created
0,70:0,70,created
0,71:0,71,created
0,74:0,74,created
0,76:0,76,created
0,77:0,77,created
0,78:0,78,created
0,81:0,81,created
0,82:0,82,created
0,83:0,83,created
0,84:0,84,created
0,85:0,85,created
0,86:0,86,created
0,89:0,89,created
0,90:0,90,created
0,91:0,91,created
0,92:0,92,created
0,94:0,94,created
0,95:0,95,created
0,96:0,96,created
0,98:0,98,created
0,99:0,99,created
0,100:0,100,created
0,101:0,101,created
0,102:0,102,created
0,105:0,105,created
0,106:0,106,created
0,107:0,107,created
0,109:0,109,created
0,110:0,110,created
0,112:0,112,created
0,114:0,114,created
0,116:0,116,created
0,117:0,117,created
0,118:0,118,created
0,119:0,119,created
0,120:0,120,created
0,122:0,122,created
0,123:0,123,created
0,125:0,125,created
0,126:0,126,created
0,128:0,128,created
0,129:0,129,created
0,133:0,133,created
0,135:0,135,created
0,137:0,137,created
0,141:0,141,created
0,143:0,143,created
0,144:0,144,created
0,146:0,146,created
0,147:0,147,created
0,151:0,151,created
0,152:0,152,created
0,153:0,153,created
0,154:0,154,created
0,155:0,155,created
0,156:0,156,created
0,7:0,7,received
0,37:0,37,received
0,69:0,69,received
0,83:0,83,received
0,89:0,89,received
0,126:0,126,received
0,128:0,128,received
0,37:0,37,responded
0,69:0,69,responded
0,126:0,126,responded
0,37:0,37,attempted
0,37:0,37,resolved
0,69:0,69,attempted
0,69:0,69,resolved
0,126:0,126,attempted
0,126:0,126,resolved
0,83:0,83,responded
0,83:0,83,attempted
0,83:0,83,resolved
0,7:0,7,responded
0,7:0,7,attempted
0,7:0,7,resolved
0,89:0,89,responded
0,89:0,89,attempted
0,89:0,89,resolved
0,128:0,128,responded
0,128:0,128,attempted
0,128:0,128,resolved
1,44:0,44,received
1,84:0,84,received
1,105:0,105,received
1,114:0,114,received
1,118:0,118,received
1,119:0,119,received
1,143:0,143,received
1,44:0,44,responded
1,84:0,84,responded
1,119:0,119,responded
1,44:0,44,attempted
1,84:0,84,attempted
1,119:0,119,attempted
1,105:0,105,responded
1,105:0,105,attempted
1,105:0,105,resolved
1,118:0,118,responded
1,143:0,143,responded
1,118:0,118,attempted
1,118:0,118,resolved
1,143:0,143,attempted
1,143:0,143,resolved
1,114:0,114,responded
1,114:0,114,attempted
2,5:0,5,received
2,47:0,47,received
2,61:0,61,received
2,68:0,68,received
2,74:0,74,received
2,90:0,90,received
2,96:0,96,received
2,5:0,5,responded
2,5:0,5,attempted
2,47:0,47,responded
2,47:0,47,attempted
2,44:0,44,attempted
2,84:0,84,attempted
2,61:0,61,responded
2,90:0,90,responded
2,61:0,61,attempted
2,61:0,61,resolved
2,90:0,90,attempted
2,90:0,90,resolved
2,68:0,68,responded
2,74:0,74,responded
2,68:0,68,attempted
2,74:0,74,attempted
2,74:0,74,resolved
2,114:0,114,attempted
2,114:0,114,resolved
2,96:0,96,responded
2,96:0,96,attempted
3,13:0,13,received
3,39:0,39,received
3,71:0,71,received
3,116:0,116,received
3,151:0,151,received
3,155:0,155,received
3,156:0,156,received
3,39:0,39,responded
3,71:0,71,responded
3,39:0,39,attempted
3,39:0,39,resolved
3,71:0,71,attempted
3,71:0,71,resolved
3,5:0,5,attempted
3,5:0,5,resolved
3,119:0,119,attempted
3,47:0,47,attempted
3,44:0,44,attempted
3,116:0,116,responded
3,116:0,116,attempted
3,68:0,68,attempted
3,156:0,156,responded
3,156:0,156,attempted
3,13:0,13,responded
3,151:0,151,responded
3,155:0,155,responded
3,13:0,13,attempted
3,13:0,13,resolved
3,151:0,151,attempted
3,151:0,151,resolved
3,155:0,155,attempted
3,155:0,155,resolved
4,63:0,63,received
4,77:0,77,received
4,92:0,92,received
4,112:0,112,received
4,135:0,135,received
4,135:0,135,responded
4,135:0,135,attempted
4,135:0,135,resolved
4,63:0,63,responded
4,63:0,63,attempted
4,84:0,84,attempted
4,119:0,119,attempted
4,116:0,116,attempted
4,116:0,116,resolved
4,77:0,77,responded
4,77:0,77,attempted
4,77:0,77,resolved
4,68:0,68,attempted
4,92:0,92,responded
4,92:0,92,attempted
4,156:0,156,attempted
4,156:0,156,resolved
4,96:0,96,attempted
4,96:0,96,resolved
4,112:0,112,responded
4,112:0,112,attempted
5,17:0,17,received
5,21:0,21,received
5,65:0,65,received
5,107:0,107,received
5,144:0,144,received
5,147:0,147,received
5,65:0,65,responded
5,65:0,65,attempted
5,65:0,65,resolved
5,63:0,63,attempted
5,63:0,63,resolved
5,47:0,47,attempted
5,44:0,44,attempted
5,44:0,44,resolved
5,144:0,144,responded
5,144:0,144,attempted
5,68:0,68,attempted
5,17:0,17,responded
5,17:0,17,attempted
5,17:0,17,resolved
5,92:0,92,attempted
5,92:0,92,resolved
5,21:0,21,responded
5,21:0,21,attempted
5,107:0,107,responded
5,147:0,147,responded
5,107:0,107,attempted
5,107:0,107,resolved
5,147:0,147,attempted
5,147:0,147,resolved
5,112:0,112,attempted
5,112:0,112,resolved
6,1:0,1,received
6,19:0,19,received
6,30:0,30,received
6,70:0,70,received
6,78:0,78,received
6,153:0,153,received
6,154:0,154,received
6,153:0,153,responded
6,153:0,153,attempted
6,153:0,153,resolved
6,84:0,84,attempted
6,119:0,119,attempted
6,154:0,154,responded
6,154:0,154,attempted
6,144:0,144,attempted
6,144:0,144,resolved
6,70:0,70,responded
6,70:0,70,attempted
6,70:0,70,resolved
6,68:0,68,attempted
6,68:0,68,resolved
6,30:0,30,responded
6,30:0,30,attempted
6,19:0,19,responded
6,78:0,78,responded
6,19:0,19,attempted
6,78:0,78,attempted
6,78:0,78,resolved
6,21:0,21,attempted
6,21:0,21,resolved
6,1:0,1,responded
6,1:0,1,attempted
6,1:0,1,resolved
7,2:0,2,received
7,18:0,18,received
7,59:0,59,received
7,82:0,82,received
7,101:0,101,received
7,102:0,102,received
7,59:0,59,responded
7,102:0,102,responded
7,59:0,59,attempted
7,102:0,102,attempted
7,102:0,102,resolved
7,101:0,101,responded
7,101:0,101,attempted
7,101:0,101,resolved
7,47:0,47,attempted
7,84:0,84,attempted
7,154:0,154,attempted
7,2:0,2,responded
7,18:0,18,responded
7,82:0,82,responded
7,2:0,2,attempted
7,18:0,18,attempted
7,18:0,18,resolved
7,82:0,82,attempted
7,82:0,82,resolved
7,19:0,19,attempted
7,19:0,19,resolved
8,25:0,25,received
8,81:0,81,received
8,110:0,110,received
8,137:0,137,received
8,59:0,59,attempted
8,119:0,119,attempted
8,119:0,119,resolved
8,47:0,47,attempted
8,47:0,47,resolved
8,84:0,84,attempted
8,154:0,154,attempted
8,25:0,25,responded
8,25:0,25,attempted
8,81:0,81,responded
8,81:0,81,attempted
8,30:0,30,attempted
8,2:0,2,attempted
8,2:0,2,resolved
8,137:0,137,responded
8,137:0,137,attempted
8,110:0,110,responded
8,110:0,110,attempted
8,110:0,110,resolved
9,20:0,20,received
9,99:0,99,received
9,120:0,120,received
9,141:0,141,received
9,141:0,141,responded
9,141:0,141,attempted
9,141:0,141,resolved
9,59:0,59,attempted
9,59:0,59,resolved
9,120:0,120,responded
9,120:0,120,attempted
9,84:0,84,attempted
9,84:0,84,resolved
9,154:0,154,attempted
9,25:0,25,attempted
9,25:0,25,resolved
9,81:0,81,attempted
9,30:0,30,attempted
9,20:0,20,responded
9,99:0,99,responded
9,20:0,20,attempted
9,20:0,20,resolved
9,99:0,99,attempted
9,99:0,99,resolved
9,137:0,137,attempted
10,6:0,6,received
10,9:0,9,received
10,11:0,11,received
