time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions
0,101,7,0,7,94,0,7,7,7,101,94,101,94,0,7,0,0
1,0,7,7,7,91,4,3,10,14,101,87,94,87,0,7,0,0
2,0,7,14,7,87,7,4,14,21,101,80,87,80,0,7,0,0
3,0,7,21,7,81,8,6,20,28,101,73,80,73,0,7,0,0
4,0,5,21,5,76,8,5,25,33,101,68,73,68,0,5,0,0
5,0,6,22,6,68,6,8,33,39,101,62,68,62,0,6,0,0
6,0,7,22,7,61,6,7,40,46,101,55,62,55,0,7,0,0
7,0,6,21,6,56,7,5,45,52,101,49,55,49,0,6,0,0
8,0,4,22,4,52,7,4,49,56,101,45,49,45,0,4,0,0
9,0,4,18,4,46,5,6,55,60,101,41,45,41,0,4,0,0
10,0,5,16,5,42,6,4,59,65,101,36,41,36,0,5,0,0
11,0,5,14,5,37,6,5,64,70,101,31,36,31,0,5,0,0
12,0,0,16,0,32,1,5,69,70,101,31,31,31,0,0,0,0
13,0,0,10,0,31,0,1,70,70,101,31,31,31,0,0,0,0
14,0,0,5,0,31,0,0,70,70,101,31,31,31,0,0,0,0
15,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
16,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
17,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
18,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
19,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
20,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
21,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
22,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
23,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
24,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
25,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
26,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
27,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
28,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
29,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
30,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
31,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
32,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
33,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
34,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
35,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
36,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
37,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
38,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
39,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
40,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
41,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
42,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
43,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
44,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
45,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
46,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
47,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
48,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
49,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0
