variant,metric,n,mean,low,high
limited_access,customer_use,2,0.1850498338870432,0.11428571428571432,0.2558139534883721
limited_access,domestic_use,2,-0.11627906976744184,-0.2325581395348837,0.0
limited_access,resolved,2,0.15714285714285714,0.0,0.3142857142857143
limited_access,customer_success,2,0.3348684210526316,0.29473684210526324,0.375
limited_access,both_use,2,0.04019933554817276,0.023255813953488302,0.05714285714285722
limited_access,first_customer,2,0.17076411960132892,0.08571428571428574,0.2558139534883721
limited_access,d_to_e,2,0.025913621262458456,0.023255813953488302,0.02857142857142861
main,customer_use,2,0.2950166112956811,0.17142857142857149,0.41860465116279066
main,domestic_use,2,-0.1617940199335548,-0.20930232558139528,-0.11428571428571432
main,resolved,2,0.1697674418604651,0.13953488372093026,0.19999999999999996
main,customer_success,2,0.35132595001016054,0.3214285714285714,0.38122332859174973
main,both_use,2,0.07873754152823925,-0.028571428571428525,0.18604651162790703
main,first_customer,2,0.21096345514950168,0.14285714285714285,0.2790697674418605
main,d_to_e,2,0.07242524916943524,0.02857142857142858,0.1162790697674419
narrow,customer_use,2,0.2431893687707641,0.11428571428571432,0.3720930232558139
narrow,domestic_use,2,-0.09302325581395349,-0.18604651162790697,0.0
narrow,resolved,2,0.21262458471760798,0.13953488372093026,0.2857142857142857
narrow,customer_success,2,0.36328976034858385,0.35620915032679745,0.3703703703703703
narrow,both_use,2,0.09568106312292357,0.02857142857142858,0.16279069767441856
narrow,first_customer,2,0.1823920265780731,0.08571428571428569,0.2790697674418605
narrow,d_to_e,2,0.049169435215946834,0.02857142857142858,0.06976744186046509
no_objective,customer_use,2,0.19667774086378742,0.11428571428571432,0.2790697674418605
no_objective,domestic_use,2,0.016943521594684374,-0.023255813953488413,0.05714285714285716
no_objective,resolved,2,0.07774086378737541,0.06976744186046513,0.08571428571428569
no_objective,customer_success,2,0.06473933172302734,0.03125,0.09822866344605469
no_objective,both_use,2,0.1877076411960133,0.1428571428571429,0.2325581395348837
no_objective,first_customer,2,0.10199335548172758,-0.028571428571428525,0.2325581395348837
no_objective,d_to_e,2,0.0830564784053156,0.023255813953488302,0.1428571428571429
no_perceived,customer_use,2,0.1046511627906977,0.0,0.2093023255813954
no_perceived,domestic_use,2,-0.08504983388704318,-0.2558139534883721,0.08571428571428574
no_perceived,resolved,2,0.21893687707641196,0.2093023255813954,0.22857142857142856
no_perceived,customer_success,2,0.33590909090909093,0.24,0.4318181818181818
no_perceived,both_use,2,0.00531561461794014,-0.04651162790697683,0.057142857142857106
no_perceived,first_customer,2,0.06179401993355485,-0.08571428571428569,0.2093023255813954
no_perceived,d_to_e,2,0.042857142857142885,0.0,0.08571428571428577
