variant,dependence_mean,grouping,period,metric,n,mean,low,high
limited_access,0.1,halves,early,domestic_use,2,0.02965367965367971,0.00454545454545463,0.05476190476190479
limited_access,0.1,halves,early,customer_use,2,0.1869047619047619,0.07380952380952382,0.3
limited_access,0.1,halves,early,resolved,2,0.09491341991341984,0.07619047619047609,0.11363636363636359
limited_access,0.1,halves,early,customer_success,2,0.0808080808080808,0.0,0.1616161616161616
limited_access,0.1,halves,early,first_customer,2,0.14956709956709952,0.08095238095238089,0.21818181818181817
limited_access,0.1,halves,early,both_use,2,0.21655844155844148,0.1285714285714285,0.30454545454545445
limited_access,0.1,halves,early,d_to_e,2,0.014610389610389546,-0.007142857142857201,0.03636363636363629
limited_access,0.1,halves,early,firm_equal_resolved,2,0.08234126984126983,0.059523809523809534,0.10515873015873012
limited_access,0.1,halves,late,domestic_use,2,-0.10569764137539067,-0.24183006535947704,0.0304347826086957
limited_access,0.1,halves,late,customer_use,2,0.07068769536800226,0.0326797385620915,0.10869565217391303
limited_access,0.1,halves,late,resolved,2,-0.07801221938050579,-0.2712418300653595,0.11521739130434794
limited_access,0.1,halves,late,customer_success,2,-0.00555555555555555,-0.0111111111111111,0.0
limited_access,0.1,halves,late,first_customer,2,0.1860826939471441,0.17608695652173917,0.19607843137254904
limited_access,0.1,halves,late,both_use,2,-0.02570332480818413,-0.1470588235294118,0.09565217391304354
limited_access,0.1,halves,late,d_to_e,2,-0.09365586814435917,-0.16339869281045752,-0.023913043478260815
limited_access,0.1,halves,late,firm_equal_resolved,2,-0.09173280423280425,-0.2757936507936508,0.09232804232804231
limited_access,0.1,tails,early,domestic_use,2,0.10952380952380947,0.004761904761904634,0.2142857142857143
limited_access,0.1,tails,early,customer_use,2,0.1124542124542125,0.04395604395604402,0.18095238095238098
limited_access,0.1,tails,early,resolved,2,0.11410256410256411,0.05238095238095242,0.1758241758241758
limited_access,0.1,tails,early,customer_success,2,0.0,0.0,0.0
limited_access,0.1,tails,early,first_customer,2,0.108974358974359,0.027472527472527486,0.19047619047619052
limited_access,0.1,tails,early,both_use,2,0.22197802197802208,0.18571428571428583,0.2582417582417583
limited_access,0.1,tails,early,d_to_e,2,0.003479853479853509,-0.00952380952380949,0.016483516483516508
limited_access,0.1,tails,early,firm_equal_resolved,2,0.10565476190476196,0.03869047619047619,0.17261904761904773
limited_access,0.1,tails,late,domestic_use,2,-0.050000000000000044,-0.16666666666666674,0.06666666666666665
limited_access,0.1,tails,late,customer_use,2,-0.16111111111111115,-0.38888888888888895,0.06666666666666665
limited_access,0.1,tails,late,resolved,2,-0.0027777777777777957,-0.1388888888888889,0.1333333333333333
limited_access,0.1,tails,late,customer_success,2,-0.011904761904761904,-0.023809523809523808,0.0
limited_access,0.1,tails,late,first_customer,2,-0.04999999999999999,-0.16666666666666669,0.06666666666666671
limited_access,0.1,tails,late,both_use,2,-0.23055555555555554,-0.5277777777777778,0.06666666666666671
limited_access,0.1,tails,late,d_to_e,2,-0.1111111111111111,-0.2222222222222222,0.0
limited_access,0.1,tails,late,firm_equal_resolved,2,-0.008432539682539653,-0.1428571428571428,0.1259920634920635
limited_access,0.3,halves,early,domestic_use,2,0.0796536796536797,0.05476190476190479,0.10454545454545461
limited_access,0.3,halves,early,customer_use,2,0.1550865800865801,0.023809523809523836,0.2863636363636364
limited_access,0.3,halves,early,resolved,2,-0.0038961038961039807,-0.03636363636363643,0.02857142857142847
limited_access,0.3,halves,early,customer_success,2,-0.10194805194805195,-0.2857142857142857,0.08181818181818179
limited_access,0.3,halves,early,first_customer,2,0.07229437229437224,0.030952380952380898,0.11363636363636359
limited_access,0.3,halves,early,both_use,2,0.23474025974025972,0.07857142857142851,0.39090909090909093
limited_access,0.3,halves,early,d_to_e,2,0.060064935064935,-0.007142857142857201,0.1272727272727272
limited_access,0.3,halves,early,firm_equal_resolved,2,-0.014880952380952439,-0.04761904761904767,0.017857142857142794
limited_access,0.3,halves,late,domestic_use,2,-0.10944160272804776,-0.18627450980392157,-0.03260869565217395
limited_access,0.3,halves,late,customer_use,2,0.03488206876953681,-0.021739130434782594,0.09150326797385622
