variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.1,all,early,domestic_use,2,0.9152148664343787,0.8780487804878049,0.9523809523809524
limited_access,0.1,all,early,customer_use,2,0.4224738675958188,0.3571428571428571,0.4878048780487805
limited_access,0.1,all,early,resolved,2,0.37427409988385596,0.3095238095238095,0.4390243902439024
limited_access,0.1,all,early,customer_success,2,0.1,0.0,0.2
limited_access,0.1,all,early,first_customer,2,0.27787456445993025,0.2142857142857142,0.3414634146341463
limited_access,0.1,all,early,both_use,2,0.3376887340301974,0.3095238095238095,0.3658536585365853
limited_access,0.1,all,early,d_to_e,2,0.13269454123112656,0.119047619047619,0.1463414634146341
limited_access,0.1,all,early,firm_equal_resolved,2,0.3814484126984127,0.3164682539682539,0.4464285714285714
limited_access,0.1,all,late,domestic_use,2,0.8275747508305649,0.7714285714285715,0.8837209302325582
limited_access,0.1,all,late,customer_use,2,0.5066445182724253,0.4418604651162791,0.5714285714285714
limited_access,0.1,all,late,resolved,2,0.37275747508305646,0.2571428571428571,0.4883720930232558
limited_access,0.1,all,late,customer_success,2,0.0526315789473684,0.0,0.1052631578947368
limited_access,0.1,all,late,first_customer,2,0.3421926910299003,0.2558139534883721,0.4285714285714285
limited_access,0.1,all,late,both_use,2,0.38870431893687707,0.3488372093023256,0.4285714285714285
limited_access,0.1,all,late,d_to_e,2,0.15282392026578068,0.1428571428571428,0.1627906976744186
limited_access,0.1,all,late,firm_equal_resolved,2,0.3661044973544973,0.2462301587301587,0.4859788359788359
limited_access,0.1,high,early,domestic_use,2,0.9296536796536796,0.9047619047619048,0.9545454545454546
limited_access,0.1,high,early,customer_use,2,0.5119047619047619,0.5,0.5238095238095238
limited_access,0.1,high,early,resolved,2,0.41991341991341985,0.3636363636363636,0.4761904761904761
limited_access,0.1,high,early,customer_success,2,0.13636363636363635,0.0,0.2727272727272727
limited_access,0.1,high,early,first_customer,2,0.3495670995670995,0.3181818181818182,0.3809523809523809
limited_access,0.1,high,early,both_use,2,0.4415584415584415,0.4285714285714285,0.4545454545454545
limited_access,0.1,high,early,d_to_e,2,0.13961038961038955,0.1363636363636363,0.1428571428571428
limited_access,0.1,high,early,firm_equal_resolved,2,0.4226190476190476,0.369047619047619,0.4761904761904762
limited_access,0.1,high,late,domestic_use,2,0.7735294117647059,0.6470588235294118,0.9
limited_access,0.1,high,late,customer_use,2,0.5441176470588236,0.5,0.5882352941176471
limited_access,0.1,high,late,resolved,2,0.33382352941176474,0.1176470588235294,0.55
limited_access,0.1,high,late,customer_success,2,0.05,0.0,0.1
limited_access,0.1,high,late,first_customer,2,0.43970588235294117,0.35,0.5294117647058824
limited_access,0.1,high,late,both_use,2,0.3764705882352941,0.3529411764705882,0.4
limited_access,0.1,high,late,d_to_e,2,0.10441176470588234,0.0588235294117647,0.15
limited_access,0.1,high,late,firm_equal_resolved,2,0.3202380952380952,0.1083333333333333,0.5321428571428571
limited_access,0.1,high_tail,early,domestic_use,2,0.9666666666666666,0.9333333333333332,1.0
limited_access,0.1,high_tail,early,customer_use,2,0.5410256410256411,0.4666666666666667,0.6153846153846154
limited_access,0.1,high_tail,early,resolved,2,0.36410256410256403,0.2666666666666666,0.4615384615384615
limited_access,0.1,high_tail,early,customer_success,2,0.0625,0.0,0.125
limited_access,0.1,high_tail,early,first_customer,2,0.3589743589743589,0.3333333333333333,0.3846153846153846
limited_access,0.1,high_tail,early,both_use,2,0.5076923076923077,0.4,0.6153846153846154
limited_access,0.1,high_tail,early,d_to_e,2,0.18205128205128202,0.1333333333333333,0.2307692307692307
limited_access,0.1,high_tail,early,firm_equal_resolved,2,0.36607142857142855,0.2678571428571428,0.4642857142857143
limited_access,0.1,high_tail,late,domestic_use,2,0.7666666666666666,0.6666666666666666,0.8666666666666667
limited_access,0.1,high_tail,late,customer_use,2,0.45555555555555555,0.4444444444444444,0.4666666666666667
limited_access,0.1,high_tail,late,resolved,2,0.3555555555555555,0.1111111111111111,0.6
limited_access,0.1,high_tail,late,customer_success,2,0.0714285714285714,0.0,0.1428571428571428
limited_access,0.1,high_tail,late,first_customer,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
limited_access,0.1,high_tail,late,both_use,2,0.2777777777777778,0.2222222222222222,0.3333333333333333
limited_access,0.1,high_tail,late,d_to_e,2,0.1222222222222222,0.1111111111111111,0.1333333333333333
limited_access,0.1,high_tail,late,firm_equal_resolved,2,0.34910714285714284,0.1,0.5982142857142857
limited_access,0.1,low,early,domestic_use,2,0.8999999999999999,0.85,0.95
limited_access,0.1,low,early,customer_use,2,0.325,0.2,0.45
limited_access,0.1,low,early,resolved,2,0.325,0.25,0.4
limited_access,0.1,low,early,customer_success,2,0.05555555555555555,0.0,0.1111111111111111
limited_access,0.1,low,early,first_customer,2,0.2,0.1,0.3
limited_access,0.1,low,early,both_use,2,0.22499999999999998,0.15,0.3
limited_access,0.1,low,early,d_to_e,2,0.125,0.1,0.15
limited_access,0.1,low,early,firm_equal_resolved,2,0.3402777777777778,0.2638888888888889,0.4166666666666667
limited_access,0.1,low,late,domestic_use,2,0.8792270531400965,0.8695652173913043,0.8888888888888888
limited_access,0.1,low,late,customer_use,2,0.47342995169082125,0.391304347826087,0.5555555555555556
limited_access,0.1,low,late,resolved,2,0.4118357487922705,0.3888888888888889,0.4347826086956521
limited_access,0.1,low,late,customer_success,2,0.05555555555555555,0.0,0.1111111111111111
