variant,dependence_mean,seed,min_objective,max_objective,objective_at_boundary
main,0.1,0,0.20494119081786738,0.33,0
main,0.3,0,0.33494119081786733,0.46,0
main,0.5,0,0.4649411908178674,0.5900000000000001,0
main,0.7,0,0.5949411908178673,0.72,0
main,0.9,0,0.7249411908178673,0.8500000000000001,0
no_perceived,0.1,0,0.20494119081786738,0.33,0
no_perceived,0.3,0,0.33494119081786733,0.46,0
no_perceived,0.5,0,0.4649411908178674,0.5900000000000001,0
no_perceived,0.7,0,0.5949411908178673,0.72,0
no_perceived,0.9,0,0.7249411908178673,0.8500000000000001,0
no_objective,0.1,0,0.525,0.525,0
no_objective,0.3,0,0.525,0.525,0
no_objective,0.5,0,0.525,0.525,0
no_objective,0.7,0,0.525,0.525,0
no_objective,0.9,0,0.525,0.525,0
narrow,0.1,0,0.2349705954089337,0.29750000000000004,0
narrow,0.3,0,0.3649705954089337,0.4275,0
narrow,0.5,0,0.4949705954089337,0.5575000000000001,0
narrow,0.7,0,0.6249705954089337,0.6875,0
narrow,0.9,0,0.7549705954089339,0.8175000000000001,0
limited_access,0.1,0,0.20494119081786738,0.33,0
limited_access,0.3,0,0.33494119081786733,0.46,0
limited_access,0.5,0,0.4649411908178674,0.5900000000000001,0
limited_access,0.7,0,0.5949411908178673,0.72,0
limited_access,0.9,0,0.7249411908178673,0.8500000000000001,0
main,0.1,1,0.2,0.3264091860033621,0
main,0.3,1,0.33,0.45640918600336206,0
main,0.5,1,0.46,0.5864091860033621,0
main,0.7,1,0.5900000000000001,0.7164091860033621,0
main,0.9,1,0.72,0.846409186003362,0
no_perceived,0.1,1,0.2,0.3264091860033621,0
no_perceived,0.3,1,0.33,0.45640918600336206,0
no_perceived,0.5,1,0.46,0.5864091860033621,0
no_perceived,0.7,1,0.5900000000000001,0.7164091860033621,0
no_perceived,0.9,1,0.72,0.846409186003362,0
no_objective,0.1,1,0.525,0.525,0
no_objective,0.3,1,0.525,0.525,0
no_objective,0.5,1,0.525,0.525,0
no_objective,0.7,1,0.525,0.525,0
no_objective,0.9,1,0.525,0.525,0
narrow,0.1,1,0.2325,0.29570459300168106,0
narrow,0.3,1,0.36250000000000004,0.425704593001681,0
narrow,0.5,1,0.49250000000000005,0.5557045930016811,0
narrow,0.7,1,0.6224999999999999,0.685704593001681,0
narrow,0.9,1,0.7525,0.8157045930016811,0
limited_access,0.1,1,0.2,0.3264091860033621,0
limited_access,0.3,1,0.33,0.45640918600336206,0
limited_access,0.5,1,0.46,0.5864091860033621,0
limited_access,0.7,1,0.5900000000000001,0.7164091860033621,0
limited_access,0.9,1,0.72,0.846409186003362,0
