variant,metric,n,mean,low,high
limited_access,customer_use,20,0.2080850385796631,0.17353918271332405,0.24367627654885451
limited_access,domestic_use,20,-0.12782273713990544,-0.15717027834381722,-0.0984697757996489
limited_access,resolved,20,0.1347279192394613,0.08551879911197584,0.18018240012561051
limited_access,customer_success,20,0.234206858433117,0.18452127620414063,0.28347282316001776
limited_access,both_use,20,0.0558889708093368,0.02784867276758527,0.0824843603848328
limited_access,first_customer,20,0.2179273474615595,0.18613866508817084,0.24794400209724254
limited_access,d_to_e,20,-0.016272123660331945,-0.04644080938292805,0.011294565469803852
main,customer_use,20,0.3083009720308583,0.2683220546155175,0.35020243466902684
main,domestic_use,20,-0.13618292570611995,-0.1670569114576003,-0.10590757706298978
main,resolved,20,0.21112838080616908,0.1789924647550871,0.24172209338439052
main,customer_success,20,0.2604274755923327,0.2203927147107689,0.2988666290865683
main,both_use,20,0.12760543555298498,0.08646128654915568,0.17123277822625738
main,first_customer,20,0.2774437297584147,0.2473522570751661,0.30413834523383043
main,d_to_e,20,0.02238877344609761,-0.015576211544686806,0.058998577073254455
narrow,customer_use,20,0.3023861324258281,0.25898043983236035,0.3426917666333518
narrow,domestic_use,20,-0.11839708254581224,-0.1514662250690104,-0.08717225200199427
narrow,resolved,20,0.20337628148430237,0.16691519866999527,0.23738718131114092
narrow,customer_success,20,0.25752428497878277,0.22212118721631838,0.2928428076672064
narrow,both_use,20,0.14183273349217315,0.09769546406649263,0.18575960525971155
narrow,first_customer,20,0.25024536920593843,0.21375795736048095,0.2851354014683601
narrow,d_to_e,20,0.0355381812521631,-0.007837953874291094,0.07565847180841145
no_objective,customer_use,20,0.22904649045646747,0.19354506937764582,0.2662390079778633
no_objective,domestic_use,20,-0.0452419881203802,-0.06608001584472985,-0.02575142425917684
no_objective,resolved,20,0.051266933565525606,0.017596641930558713,0.08501064716477548
no_objective,customer_success,20,0.013866521950199306,-0.025049975271280236,0.05152103235664989
no_objective,both_use,20,0.15459588343809322,0.11233723427938025,0.19708339103163638
no_objective,first_customer,20,0.1878498290861898,0.15641291894431544,0.21793990281040523
no_objective,d_to_e,20,0.0347700765753222,0.003952366022771579,0.06665320066189893
no_perceived,customer_use,20,0.10646598423518747,0.07893676711577755,0.13282787269025403
no_perceived,domestic_use,20,-0.07983978941142082,-0.11568283850482444,-0.04789624213093132
no_perceived,resolved,20,0.15468715492338878,0.11095742386396072,0.19290589335804673
no_perceived,customer_success,20,0.23314353507163338,0.18778889123896045,0.2784527551506908
no_perceived,both_use,20,0.007362955513097682,-0.03000051872167776,0.047246076024311995
no_perceived,first_customer,20,0.10396382964087722,0.06426431352460271,0.1417899685945686
no_perceived,d_to_e,20,-0.005638851686230935,-0.04168129474607062,0.03310974025600192
