firm,has_customer,dependence,variant,dependence_mean,seed,high
0,True,0.07042565019858993,main,0.1,0,False
1,True,0.19949154178360073,main,0.1,0,True
2,True,0.2,main,0.1,0,True
3,True,0.007601832027488251,main,0.1,0,False
4,True,0.016292071228515073,main,0.1,0,False
5,True,0.10618890476180604,main,0.1,0,True
0,True,0.2704256501985899,main,0.3,0,False
1,True,0.39949154178360075,main,0.3,0,True
2,True,0.4,main,0.3,0,True
3,True,0.20760183202748822,main,0.3,0,False
4,True,0.21629207122851507,main,0.3,0,False
5,True,0.30618890476180605,main,0.3,0,True
0,True,0.47042565019858995,main,0.5,0,False
1,True,0.5994915417836008,main,0.5,0,True
2,True,0.6,main,0.5,0,True
3,True,0.40760183202748823,main,0.5,0,False
4,True,0.4162920712285151,main,0.5,0,False
5,True,0.506188904761806,main,0.5,0,True
0,True,0.6704256501985899,main,0.7,0,False
1,True,0.7994915417836007,main,0.7,0,True
2,True,0.7999999999999999,main,0.7,0,True
3,True,0.6076018320274882,main,0.7,0,False
4,True,0.616292071228515,main,0.7,0,False
5,True,0.706188904761806,main,0.7,0,True
0,True,0.87042565019859,main,0.9,0,False
1,True,0.9994915417836008,main,0.9,0,True
2,True,1.0,main,0.9,0,True
3,True,0.8076018320274883,main,0.9,0,False
4,True,0.8162920712285151,main,0.9,0,False
5,True,0.906188904761806,main,0.9,0,True
0,True,0.07042565019858993,no_perceived,0.1,0,False
1,True,0.19949154178360073,no_perceived,0.1,0,True
2,True,0.2,no_perceived,0.1,0,True
3,True,0.007601832027488251,no_perceived,0.1,0,False
4,True,0.016292071228515073,no_perceived,0.1,0,False
5,True,0.10618890476180604,no_perceived,0.1,0,True
0,True,0.2704256501985899,no_perceived,0.3,0,False
1,True,0.39949154178360075,no_perceived,0.3,0,True
2,True,0.4,no_perceived,0.3,0,True
3,True,0.20760183202748822,no_perceived,0.3,0,False
4,True,0.21629207122851507,no_perceived,0.3,0,False
5,True,0.30618890476180605,no_perceived,0.3,0,True
0,True,0.47042565019858995,no_perceived,0.5,0,False
1,True,0.5994915417836008,no_perceived,0.5,0,True
2,True,0.6,no_perceived,0.5,0,True
3,True,0.40760183202748823,no_perceived,0.5,0,False
4,True,0.4162920712285151,no_perceived,0.5,0,False
5,True,0.506188904761806,no_perceived,0.5,0,True
0,True,0.6704256501985899,no_perceived,0.7,0,False
1,True,0.7994915417836007,no_perceived,0.7,0,True
2,True,0.7999999999999999,no_perceived,0.7,0,True
3,True,0.6076018320274882,no_perceived,0.7,0,False
4,True,0.616292071228515,no_perceived,0.7,0,False
5,True,0.706188904761806,no_perceived,0.7,0,True
0,True,0.87042565019859,no_perceived,0.9,0,False
1,True,0.9994915417836008,no_perceived,0.9,0,True
2,True,1.0,no_perceived,0.9,0,True
3,True,0.8076018320274883,no_perceived,0.9,0,False
4,True,0.8162920712285151,no_perceived,0.9,0,False
5,True,0.906188904761806,no_perceived,0.9,0,True
0,True,0.07042565019858993,no_objective,0.1,0,False
1,True,0.19949154178360073,no_objective,0.1,0,True
2,True,0.2,no_objective,0.1,0,True
3,True,0.007601832027488251,no_objective,0.1,0,False
4,True,0.016292071228515073,no_objective,0.1,0,False
5,True,0.10618890476180604,no_objective,0.1,0,True
0,True,0.2704256501985899,no_objective,0.3,0,False
1,True,0.39949154178360075,no_objective,0.3,0,True
2,True,0.4,no_objective,0.3,0,True
3,True,0.20760183202748822,no_objective,0.3,0,False
4,True,0.21629207122851507,no_objective,0.3,0,False
5,True,0.30618890476180605,no_objective,0.3,0,True
0,True,0.47042565019858995,no_objective,0.5,0,False
1,True,0.5994915417836008,no_objective,0.5,0,True
2,True,0.6,no_objective,0.5,0,True
3,True,0.40760183202748823,no_objective,0.5,0,False
4,True,0.4162920712285151,no_objective,0.5,0,False
5,True,0.506188904761806,no_objective,0.5,0,True
0,True,0.6704256501985899,no_objective,0.7,0,False
1,True,0.7994915417836007,no_objective,0.7,0,True
2,True,0.7999999999999999,no_objective,0.7,0,True
3,True,0.6076018320274882,no_objective,0.7,0,False
4,True,0.616292071228515,no_objective,0.7,0,False
5,True,0.706188904761806,no_objective,0.7,0,True
0,True,0.87042565019859,no_objective,0.9,0,False
1,True,0.9994915417836008,no_objective,0.9,0,True
2,True,1.0,no_objective,0.9,0,True
3,True,0.8076018320274883,no_objective,0.9,0,False
4,True,0.8162920712285151,no_objective,0.9,0,False
