variant,dependence_mean,grouping,period,metric,n,mean,low,high
limited_access,0.1,halves,early,domestic_use,20,0.02599604648391498,-0.03314948442538377,0.08066204370894389
limited_access,0.1,halves,early,customer_use,20,0.04980748014828982,-0.06171602414108978,0.1581869018926306
limited_access,0.1,halves,early,resolved,20,-0.011842548006651528,-0.07999015967683101,0.0628782809089588
limited_access,0.1,halves,early,customer_success,20,0.05848665223665226,-0.018968028499278505,0.14006867784992785
limited_access,0.1,halves,early,first_customer,20,0.004352995272028796,-0.07567148134434067,0.08821875257063155
limited_access,0.1,halves,early,both_use,20,0.0585002570995807,-0.03258626148000979,0.14749566324128638
limited_access,0.1,halves,early,d_to_e,20,0.04267580522258137,-0.022415849008541096,0.10110726751001345
limited_access,0.1,halves,early,firm_equal_resolved,20,-0.029365079365079372,-0.10292476851851853,0.05047073412698409
limited_access,0.1,halves,late,domestic_use,20,-0.031661162176541094,-0.09222800461674509,0.030787810731393264
limited_access,0.1,halves,late,customer_use,20,0.01021590149130865,-0.07888301475893393,0.09856894998178517
limited_access,0.1,halves,late,resolved,20,0.02750149612580626,-0.03987201759994616,0.09499306958021746
limited_access,0.1,halves,late,customer_success,20,0.02376803751803751,-0.05564623917748919,0.11025951479076464
limited_access,0.1,halves,late,first_customer,20,0.011304220720949063,-0.044237431168379575,0.06790451676605389
limited_access,0.1,halves,late,both_use,20,-0.007088413047071705,-0.07919526663380143,0.07597737093329107
limited_access,0.1,halves,late,d_to_e,20,0.004102368705612725,-0.05730660806682774,0.07322365187580468
limited_access,0.1,halves,late,firm_equal_resolved,20,0.024808201058201054,-0.04125958994708995,0.09042063492063493
limited_access,0.1,tails,early,domestic_use,20,0.04511221213427095,-0.03958241003277767,0.12523502131038897
limited_access,0.1,tails,early,customer_use,20,0.09476981351981353,-0.028175155114493332,0.21081661292139198
limited_access,0.1,tails,early,resolved,20,-0.0042060676251852724,-0.08467076561102295,0.07929948554305169
limited_access,0.1,tails,early,customer_success,18,0.06040564373897707,-0.023281525573192234,0.14837962962962958
limited_access,0.1,tails,early,first_customer,20,0.006797675363851838,-0.08260571832171096,0.0936480019163842
limited_access,0.1,tails,early,both_use,20,0.12087612958936492,0.007057243614228922,0.22187635485429602
limited_access,0.1,tails,early,d_to_e,20,0.08513608531990886,0.010384705164116942,0.15087620814642874
limited_access,0.1,tails,early,firm_equal_resolved,20,-0.022539682539682537,-0.10654489087301587,0.06838492063492062
limited_access,0.1,tails,late,domestic_use,20,-0.033660555131143396,-0.09753278951440719,0.027516483516483444
limited_access,0.1,tails,late,customer_use,20,0.022208596142419677,-0.08631210180750623,0.13051292518755747
limited_access,0.1,tails,late,resolved,20,0.04656955381220088,-0.033618459665334666,0.12870893383577203
limited_access,0.1,tails,late,customer_success,18,0.05194003527336861,-0.057525352733686065,0.15884093915343914
