variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.1,all,early,domestic_use,20,0.8323158526230982,0.8136005210031302,0.8514807017596131
limited_access,0.1,all,early,customer_use,20,0.399456879700782,0.36347296232587134,0.43762192762760754
limited_access,0.1,all,early,resolved,20,0.3417222005318252,0.3121949148872502,0.36961745839578036
limited_access,0.1,all,early,customer_success,20,0.12175365677494158,0.08111373078246142,0.1597509062628548
limited_access,0.1,all,early,first_customer,20,0.24742464374656822,0.2124046614155211,0.2844360716568471
limited_access,0.1,all,early,both_use,20,0.2921362609509927,0.266201326659862,0.3185914866904193
limited_access,0.1,all,early,d_to_e,20,0.1401766288940947,0.12142373713720142,0.1619303713148103
limited_access,0.1,all,early,firm_equal_resolved,20,0.34277777777777774,0.3085829199735449,0.37235102513227514
limited_access,0.1,all,late,domestic_use,20,0.8369000416672503,0.8119328450843447,0.8621317307297457
limited_access,0.1,all,late,customer_use,20,0.3863308165751481,0.3501741394012703,0.422808159480708
limited_access,0.1,all,late,resolved,20,0.32145457950874295,0.2796952740025526,0.3637764993245313
limited_access,0.1,all,late,customer_success,20,0.153057777490827,0.11616383738273249,0.19209063076371513
limited_access,0.1,all,late,first_customer,20,0.2185741383661533,0.1845858062108085,0.2523802017112005
limited_access,0.1,all,late,both_use,20,0.2875537016967966,0.25222333264148383,0.3231575844234636
limited_access,0.1,all,late,d_to_e,20,0.16283973468740012,0.13677912289465743,0.19018794211958984
limited_access,0.1,all,late,firm_equal_resolved,20,0.3176554232804233,0.2773025793650793,0.3600813492063491
limited_access,0.1,high,early,domestic_use,20,0.8437308686736607,0.8118774506465439,0.8730520039806368
limited_access,0.1,high,early,customer_use,20,0.4306503350768226,0.3535001328048381,0.5058328089244851
limited_access,0.1,high,early,resolved,20,0.3316055496118425,0.28597383001723675,0.37475858608560264
limited_access,0.1,high,early,customer_success,20,0.15191919191919193,0.08468813131313131,0.22551010101010097
limited_access,0.1,high,early,first_customer,20,0.2534924741861241,0.19605939332644848,0.31262458234065077
limited_access,0.1,high,early,both_use,20,0.3253487267245848,0.26408330454347323,0.38699704774947896
