case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,scenario,seed
1:0,1,0,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.9436629557359983,True,0.4885520594250266,6.0,2.0,remedy_supported,6.0,6.0,6.0,6.0,baseline,0
3:0,3,2,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,successful,6.0,e,1.0,d,resolved,0.3069934567044812,True,0.6,2.0,6.0,no_remedy,,6.0,6.0,6.0,baseline,0
6:0,6,2,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6740976743403817,True,0.6,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,0
7:0,7,1,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9814794797950086,True,0.41144794057497336,2.0,6.0,no_remedy,,,24.0,24.0,baseline,0
8:0,8,0,0,0,0.0,3.0,2.0,,2.0,,3.0,,successful,cancelled_by_resolution,3.0,d,1.0,d,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,remedy_supported,3.0,3.0,3.0,3.0,baseline,0
9:0,9,1,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3282583597493134,True,0.41144794057497336,2.0,6.0,no_remedy,,,24.0,24.0,baseline,0
11:0,11,0,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4111708062302567,False,0.4885520594250266,2.0,,no_remedy,,,24.0,24.0,baseline,0
13:0,13,0,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7729812738232529,False,0.4885520594250266,2.0,,no_remedy,,,24.0,24.0,baseline,0
15:0,15,2,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.955078252832936,True,0.6,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,0
16:0,16,1,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3239415899216569,False,0.41144794057497336,2.0,,no_remedy,,,24.0,24.0,baseline,0
20:0,20,1,0,0,0.0,,2.0,,2.0,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.7269878324904382,True,0.41144794057497336,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,0
22:0,22,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6422657965773109,True,0.4885520594250266,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,0
23:0,23,1,0,0,3.0,0.0,5.0,2.0,5.0,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4659629181029272,True,0.41144794057497336,5.0,2.0,no_remedy,,,24.0,24.0,baseline,0
25:0,25,1,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,successful,6.0,e,1.0,d,resolved,0.540874909277101,True,0.41144794057497336,2.0,6.0,no_remedy,,6.0,6.0,6.0,baseline,0
26:0,26,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.6537080687748236,True,0.6,3.0,7.0,no_remedy,,7.0,7.0,7.0,baseline,0
30:0,30,0,0,0,0.0,5.0,3.0,7.0,,,4.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.30416448146973796,True,0.4885520594250266,4.0,7.0,remedy_supported,4.0,,24.0,24.0,baseline,0
31:0,31,2,0,0,0.0,,3.0,,3.0,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.3429065213135789,True,0.6,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,0
34:0,34,2,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.6530101676775626,True,0.6,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,0
35:0,35,0,0,0,0.0,,3.0,,3.0,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.48490269970195315,True,0.4885520594250266,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,0
19:2,19,0,2,2,2.0,,4.0,,4.0,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.8757358475046713,True,0.4885520594250266,5.0,,remedy_supported,5.0,3.0,3.0,3.0,baseline,0
29:2,29,1,2,2,2.0,5.0,4.0,7.0,4.0,7.0,,8.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6074949838107765,True,0.41144794057497336,4.0,8.0,no_remedy,,,22.0,22.0,baseline,0
4:4,4,1,4,4,4.0,,6.0,,6.0,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.455034188741855,True,0.41144794057497336,7.0,,remedy_supported,7.0,3.0,3.0,3.0,baseline,0
18:7,18,1,7,7,7.0,10.0,9.0,12.0,9.0,12.0,,13.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9025692839689665,True,0.41144794057497336,9.0,13.0,no_remedy,,,17.0,17.0,baseline,0
22:7,22,0,7,7,7.0,,9.0,,9.0,,10.0,,successful,unused,10.0,d,1.0,d,resolved,0.6422657965773109,True,0.4885520594250266,10.0,,remedy_supported,10.0,3.0,3.0,3.0,baseline,0
31:7,31,2,7,7,7.0,,9.0,,,,10.0,,successful,unused,10.0,d,1.0,d,resolved,0.3429065213135789,True,0.6,10.0,,remedy_supported,10.0,3.0,3.0,3.0,baseline,0
8:10,8,0,10,10,10.0,,12.0,,12.0,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.9910030799414205,True,0.4885520594250266,13.0,,remedy_supported,13.0,3.0,3.0,3.0,baseline,0
14:15,14,2,15,15,15.0,,17.0,,,,18.0,,successful,unused,18.0,d,1.0,d,resolved,0.8492560120076826,True,0.6,18.0,,remedy_supported,18.0,3.0,3.0,3.0,baseline,0
20:15,20,1,15,15,15.0,18.0,17.0,20.0,,20.0,,21.0,closed_unresolved,successful,21.0,e,1.0,d,resolved,0.7269878324904382,True,0.41144794057497336,17.0,21.0,no_remedy,,6.0,6.0,6.0,baseline,0
12:17,12,2,17,17,17.0,20.0,19.0,22.0,19.0,22.0,,23.0,closed_unresolved,successful,23.0,e,1.0,d,resolved,0.665988864234929,True,0.6,19.0,23.0,no_remedy,,6.0,6.0,6.0,baseline,0
35:18,35,0,18,18,18.0,,20.0,,20.0,,21.0,,successful,unused,21.0,d,1.0,d,resolved,0.48490269970195315,True,0.4885520594250266,21.0,,remedy_supported,21.0,3.0,3.0,3.0,baseline,0
0:0,0,0,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.23663777477120995,False,0.5592913482120503,2.0,,no_remedy,,,24.0,24.0,baseline,1
1:0,1,1,0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5928251123769936,True,0.4,2.0,5.0,no_remedy,,,24.0,24.0,baseline,1
2:0,2,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6966840899844002,False,0.5592913482120503,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,1
4:0,4,1,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.620980248605584,True,0.4,2.0,6.0,no_remedy,,,24.0,24.0,baseline,1
6:0,6,1,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9073301119709689,False,0.4,2.0,,no_remedy,,,24.0,24.0,baseline,1
7:0,7,0,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9787203170549106,False,0.5592913482120503,2.0,,no_remedy,,,24.0,24.0,baseline,1
8:0,8,1,0,0,3.0,0.0,5.0,2.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.879830921825808,True,0.4,6.0,2.0,remedy_supported,6.0,6.0,6.0,6.0,baseline,1
10:0,10,0,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.22462329392634325,False,0.5592913482120503,2.0,,no_remedy,,,24.0,24.0,baseline,1
12:0,12,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9331476833086241,False,0.5592913482120503,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,1
13:0,13,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7941110240145215,False,0.4,3.0,,remedy_supported,3.0,,24.0,24.0,baseline,1
15:0,15,2,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6901769063976647,True,0.5407086517879497,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,1
16:0,16,2,0,0,0.0,,2.0,,2.0,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.901276034233667,True,0.5407086517879497,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,1
19:0,19,2,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.5404741779226179,True,0.5407086517879497,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,1
21:0,21,2,0,0,0.0,4.0,3.0,,3.0,,4.0,,successful,cancelled_by_resolution,4.0,d,1.0,d,resolved,0.8700944975564426,True,0.5407086517879497,4.0,4.0,remedy_supported,4.0,4.0,4.0,4.0,baseline,1
22:0,22,0,0,0,0.0,,3.0,,3.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8586991699146969,False,0.5592913482120503,3.0,,no_remedy,,,24.0,24.0,baseline,1
24:0,24,1,0,0,0.0,4.0,3.0,,3.0,,4.0,,successful,cancelled_by_resolution,4.0,d,1.0,d,resolved,0.936613414738275,True,0.4,4.0,4.0,remedy_supported,4.0,4.0,4.0,4.0,baseline,1
26:0,26,0,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3661305062608447,False,0.5592913482120503,3.0,,no_remedy,,,24.0,24.0,baseline,1
28:0,28,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.7249002261974502,True,0.5407086517879497,3.0,7.0,no_remedy,,,24.0,24.0,baseline,1
29:0,29,1,0,0,0.0,4.0,3.0,,3.0,,4.0,,successful,cancelled_by_resolution,4.0,d,1.0,d,resolved,0.27760940894538266,True,0.4,4.0,4.0,remedy_supported,4.0,4.0,4.0,4.0,baseline,1
30:0,30,0,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42868700129602333,False,0.5592913482120503,3.0,,no_remedy,,,24.0,24.0,baseline,1
31:0,31,0,0,0,0.0,,3.0,,3.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.35474386005530195,False,0.5592913482120503,3.0,,no_remedy,,,24.0,24.0,baseline,1
32:0,32,1,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9124658237556544,True,0.4,3.0,7.0,no_remedy,,,24.0,24.0,baseline,1
35:0,35,1,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.4761890551939092,True,0.4,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,1
18:1,18,2,1,1,4.0,1.0,6.0,3.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4590365303058162,True,0.5407086517879497,6.0,3.0,no_remedy,,,23.0,23.0,baseline,1
25:5,25,2,5,5,8.0,5.0,10.0,7.0,10.0,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.8738860530784827,True,0.5407086517879497,10.0,7.0,no_remedy,,,19.0,19.0,baseline,1
