time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
24,0,0,0,0,0,0,19,4,0,15,0,0,0,0,0,4,0,10,26,29,0,4,customer_response_off,1
24,1,1,1,1,0,0,25,9,0,16,1,1,0,0,0,8,0,7,29,32,0,8,customer_response_off,2
24,0,0,0,0,0,0,21,7,0,14,1,1,0,0,0,6,0,12,31,33,1,6,customer_response_off,4
24,0,0,0,0,0,0,20,10,0,10,1,1,0,0,0,9,0,9,27,29,1,9,customer_response_off,3
24,0,0,0,0,0,0,12,2,0,10,1,0,1,0,0,2,0,13,24,25,1,2,implementation_slow,6
24,0,0,0,0,0,0,14,1,0,13,1,0,1,1,1,0,1,19,30,33,2,0,implementation_slow,7
24,2,2,2,2,1,0,15,4,0,11,4,2,2,0,0,2,0,17,26,32,3,2,implementation_slow,9
24,0,0,0,0,0,0,16,2,0,14,2,0,2,0,1,0,1,14,29,30,4,1,implementation_slow,8
24,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,3,29,29,0,0,implementation_zero_effect,2
24,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,6,27,30,1,0,implementation_zero_effect,3
24,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,2,26,26,0,0,implementation_zero_effect,1
24,0,0,0,0,1,1,18,1,0,17,0,0,0,0,0,1,0,7,25,25,0,0,implementation_zero_effect,0
24,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,3,29,29,2,0,implementation_zero_effect,8
24,0,0,0,0,0,0,31,17,0,14,8,0,8,0,0,13,0,0,31,31,8,13,all_resolution_off,5
24,0,0,0,0,0,0,14,9,0,5,0,0,0,0,0,9,0,16,25,30,0,9,customer_response_off,0
24,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,6,26,27,1,1,implementation_zero_effect,9
24,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,2,0,8,24,25,0,2,implementation_zero_effect,6
24,0,0,0,0,0,0,23,1,0,22,1,0,1,1,0,0,0,8,30,31,1,0,implementation_zero_effect,7
24,1,1,1,1,0,0,28,1,0,27,1,1,0,0,0,0,0,7,31,35,0,1,implementation_zero_effect,5
24,1,1,1,1,1,0,27,3,0,24,2,2,0,0,0,2,0,6,31,33,1,1,implementation_zero_effect,4
