time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
0,19,19,19,17,2,0,19,19,0,0,17,17,0,0,0,2,0,0,19,19,0,0,baseline,0
1,0,0,0,0,0,0,19,19,0,0,17,17,0,0,0,2,0,0,19,19,17,2,baseline,0
2,2,2,2,2,0,0,21,12,0,9,12,7,5,5,0,0,0,0,21,21,17,2,baseline,0
3,0,0,0,2,5,7,16,12,0,4,8,4,4,4,5,4,5,5,21,21,19,2,baseline,0
4,1,1,1,1,1,1,14,9,0,5,4,3,1,1,3,5,3,8,22,22,8,5,baseline,0
5,0,0,0,0,2,2,13,9,0,4,2,1,1,1,1,7,1,9,22,22,5,6,baseline,0
6,0,0,0,0,0,0,10,4,0,6,1,0,1,1,1,3,3,12,22,22,3,8,baseline,0
7,3,3,3,3,0,0,11,4,0,7,3,3,0,0,1,1,2,14,23,25,1,3,baseline,0
8,0,0,0,0,0,0,11,3,0,8,3,3,0,0,0,0,0,14,23,25,3,2,baseline,0
9,0,0,0,0,0,0,11,2,0,9,2,0,2,2,0,0,0,14,23,25,3,0,baseline,0
10,1,1,1,1,1,1,10,2,0,8,1,1,0,0,2,1,2,16,23,26,3,0,baseline,0
11,0,0,0,0,0,0,10,2,0,8,1,1,0,0,0,1,0,16,23,26,1,1,baseline,0
12,0,0,0,0,0,0,10,2,0,8,1,0,1,1,0,1,0,16,23,26,1,1,baseline,0
13,0,0,0,0,0,0,9,0,0,9,0,0,0,0,1,0,1,17,23,26,1,1,baseline,0
14,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,17,23,26,0,0,baseline,0
15,2,2,2,2,0,0,11,2,0,9,2,2,0,0,0,0,0,17,24,28,0,0,baseline,0
16,0,0,0,0,0,0,11,2,0,9,2,2,0,0,0,0,0,17,24,28,2,0,baseline,0
17,1,1,1,1,0,0,12,2,0,10,2,1,1,1,0,0,0,17,25,29,2,0,baseline,0
18,1,1,1,1,1,1,12,3,0,9,2,2,0,0,1,1,1,18,25,30,3,0,baseline,0
19,0,0,0,0,0,0,12,2,0,10,1,1,0,0,0,1,0,18,25,30,2,1,baseline,0
20,0,0,0,0,1,1,12,3,0,9,1,0,1,1,0,2,0,18,25,30,2,1,baseline,0
21,0,0,0,0,0,0,10,1,0,9,0,0,0,0,1,1,2,20,25,30,1,2,baseline,0
22,0,0,0,0,0,0,10,1,0,9,0,0,0,0,0,1,0,20,25,30,0,1,baseline,0
23,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1,21,25,30,0,1,baseline,0
24,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,21,25,30,0,0,baseline,0
0,23,23,23,22,1,0,23,23,0,0,22,22,0,0,0,1,0,0,23,23,0,0,baseline,1
1,1,1,1,0,1,0,24,24,0,0,22,22,0,0,0,2,0,0,24,24,22,1,baseline,1
2,0,0,0,0,0,0,24,17,0,7,16,10,6,6,0,1,0,0,24,24,22,2,baseline,1
3,0,0,0,1,2,3,19,7,0,12,5,1,4,4,5,2,5,5,24,24,22,2,baseline,1
4,0,0,0,1,5,6,15,6,0,9,2,2,0,0,4,4,4,9,24,24,5,3,baseline,1
5,1,1,1,0,1,0,16,6,0,10,2,1,1,1,0,4,0,9,25,25,2,7,baseline,1
6,1,1,1,1,0,0,16,4,0,12,1,1,0,0,1,3,1,10,25,26,2,8,baseline,1
7,0,0,0,0,0,0,16,1,0,15,1,1,0,0,0,0,0,10,25,26,2,6,baseline,1
8,0,0,0,1,0,1,16,1,0,15,1,1,0,0,0,0,0,10,25,26,1,1,baseline,1
9,0,0,0,0,0,0,16,1,0,15,1,1,0,0,0,0,0,10,25,26,2,0,baseline,1
10,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,10,25,26,1,0,baseline,1
11,1,1,1,1,0,0,17,1,0,16,1,1,0,0,0,0,0,10,26,27,1,0,baseline,1
12,1,1,1,0,1,0,18,2,0,16,1,1,0,0,0,1,0,10,26,28,1,0,baseline,1
13,0,0,0,0,0,0,18,1,0,17,0,0,0,0,0,1,0,10,26,28,1,1,baseline,1
14,1,1,1,1,0,0,19,1,0,18,1,1,0,0,0,0,0,10,26,29,1,1,baseline,1
15,0,0,0,1,0,1,19,2,0,17,2,2,0,0,0,0,0,10,26,29,1,1,baseline,1
16,0,0,0,0,0,0,19,1,0,18,1,1,0,0,0,0,0,10,26,29,2,0,baseline,1
17,0,0,0,0,1,1,19,1,0,18,0,0,0,0,0,1,0,10,26,29,2,0,baseline,1
18,0,0,0,0,0,0,19,1,0,18,0,0,0,0,0,1,0,10,26,29,1,1,baseline,1
19,0,0,0,0,0,0,19,1,0,18,0,0,0,0,0,1,0,10,26,29,0,1,baseline,1
20,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,1,11,26,29,0,1,baseline,1
21,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,26,29,0,0,baseline,1
22,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,26,29,0,0,baseline,1
23,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,26,29,0,0,baseline,1
24,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,26,29,0,0,baseline,1
0,28,28,28,27,1,0,28,28,0,0,27,27,0,0,0,1,0,0,28,28,0,0,baseline,2
1,0,0,0,0,0,0,28,28,0,0,27,27,0,0,0,1,0,0,28,28,27,1,baseline,2
2,0,0,0,0,0,0,28,19,0,9,18,15,3,3,0,1,0,0,28,28,27,1,baseline,2
3,1,1,1,1,5,5,27,12,0,15,8,4,4,4,2,4,2,2,29,29,27,1,baseline,2
4,0,0,0,1,3,4,23,10,0,13,3,2,1,1,4,7,4,6,29,29,8,5,baseline,2
5,0,0,0,0,1,1,22,8,0,14,1,1,0,0,1,7,1,7,29,29,3,8,baseline,2
6,0,0,0,0,0,0,20,4,0,16,1,0,1,1,0,3,2,9,29,29,2,9,baseline,2
7,0,0,0,0,0,0,18,0,0,18,0,0,0,0,1,0,2,11,29,29,1,4,baseline,2
8,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,29,29,0,1,baseline,2
9,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,29,29,0,0,baseline,2
10,1,1,1,1,0,0,19,1,0,18,1,1,0,0,0,0,0,11,29,30,0,0,baseline,2
11,0,0,0,0,0,0,19,1,0,18,1,1,0,0,0,0,0,11,29,30,1,0,baseline,2
12,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,11,29,30,1,0,baseline,2
13,1,1,1,1,1,1,20,2,0,18,1,1,0,0,0,1,0,11,29,31,1,0,baseline,2
14,0,0,0,0,0,0,20,2,0,18,1,1,0,0,0,1,0,11,29,31,1,1,baseline,2
15,0,0,0,0,0,0,20,1,0,19,0,0,0,0,0,1,0,11,29,31,1,1,baseline,2
16,0,0,0,0,1,1,19,1,0,18,0,0,0,0,0,1,1,12,29,31,1,1,baseline,2
17,0,0,0,0,0,0,19,1,0,18,0,0,0,0,0,1,0,12,29,31,0,1,baseline,2
18,0,0,0,0,0,0,19,1,0,18,0,0,0,0,0,1,0,12,29,31,0,1,baseline,2
19,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,1,13,29,31,0,1,baseline,2
20,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,13,29,31,0,0,baseline,2
21,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,13,29,31,0,0,baseline,2
22,1,1,1,1,0,0,19,1,0,18,1,1,0,0,0,0,0,13,29,32,0,0,baseline,2
23,0,0,0,0,0,0,19,1,0,18,1,1,0,0,0,0,0,13,29,32,1,0,baseline,2
24,1,1,1,1,0,0,20,2,0,18,2,1,1,1,0,0,0,13,29,33,1,0,baseline,2
0,25,25,25,25,2,0,25,25,0,0,25,25,0,0,0,2,0,0,25,25,0,0,baseline,3
1,0,0,0,0,0,0,25,25,0,0,25,25,0,0,0,2,0,0,25,25,25,2,baseline,3
2,0,0,0,0,0,0,25,18,0,7,18,13,5,5,0,0,0,0,25,25,25,2,baseline,3
3,0,0,0,0,5,5,20,10,0,10,6,1,5,5,5,4,5,5,25,25,25,2,baseline,3
4,0,0,0,0,5,5,16,9,0,7,1,0,1,1,4,8,4,9,25,25,6,5,baseline,3
5,1,1,1,1,0,0,17,8,0,9,1,1,0,0,0,7,0,9,26,26,1,10,baseline,3
6,0,0,0,0,1,1,17,6,0,11,1,1,0,0,0,5,0,9,26,26,1,10,baseline,3
7,0,0,0,0,0,0,14,1,0,13,0,0,0,0,0,1,3,12,26,26,1,6,baseline,3
8,0,0,0,0,0,0,14,1,0,13,0,0,0,0,0,1,0,12,26,26,1,1,baseline,3
9,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,1,13,26,26,0,1,baseline,3
10,1,1,1,1,0,0,14,1,0,13,1,1,0,0,0,0,0,13,26,27,0,0,baseline,3
11,0,0,0,0,0,0,14,1,0,13,1,1,0,0,0,0,0,13,26,27,1,0,baseline,3
12,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,13,26,27,1,0,baseline,3
13,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,13,26,27,1,0,baseline,3
14,2,2,2,2,0,0,16,2,0,14,2,2,0,0,0,0,0,13,26,29,0,0,baseline,3
15,1,1,1,1,1,0,17,3,0,14,3,3,0,0,0,1,0,13,27,30,2,0,baseline,3
16,0,0,0,0,0,0,17,1,0,16,1,1,0,0,0,1,0,13,27,30,3,1,baseline,3
17,0,0,0,0,1,1,17,2,0,15,0,0,0,0,0,2,0,13,27,30,3,1,baseline,3
18,0,0,0,0,0,0,17,1,0,16,0,0,0,0,0,1,0,13,27,30,1,2,baseline,3
19,0,0,0,0,0,0,17,1,0,16,0,0,0,0,0,1,0,13,27,30,0,1,baseline,3
20,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,1,14,27,30,0,1,baseline,3
21,1,1,1,1,0,0,17,1,0,16,1,1,0,0,0,0,0,14,27,31,0,0,baseline,3
22,0,0,0,0,0,0,17,1,0,16,1,1,0,0,0,0,0,14,27,31,1,0,baseline,3
23,1,1,1,1,0,0,18,1,0,17,1,1,0,0,0,0,0,14,27,32,1,0,baseline,3
24,0,0,0,0,0,0,18,1,0,17,1,1,0,0,0,0,0,14,27,32,2,0,baseline,3
0,26,26,26,25,2,0,26,26,0,0,25,25,0,0,0,2,0,0,26,26,0,0,baseline,4
1,0,0,0,0,0,0,26,26,0,0,25,25,0,0,0,2,0,0,26,26,25,2,baseline,4
2,2,2,2,2,0,0,28,21,0,7,20,15,5,5,0,2,0,0,28,28,25,2,baseline,4
3,0,0,0,0,4,4,21,10,0,11,7,3,4,4,5,3,7,7,28,28,27,2,baseline,4
4,0,0,0,0,2,2,19,6,0,13,1,0,1,1,2,5,2,9,28,28,7,4,baseline,4
5,0,0,0,0,2,2,18,7,0,11,0,0,0,0,1,7,1,10,28,28,3,6,baseline,4
6,0,0,0,0,0,0,16,3,0,13,0,0,0,0,0,3,2,12,28,28,0,8,baseline,4
7,0,0,0,0,0,0,15,2,0,13,0,0,0,0,0,2,1,13,28,28,0,4,baseline,4
8,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,1,14,28,28,0,2,baseline,4
9,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,14,28,28,0,0,baseline,4
10,1,1,1,1,0,0,15,1,0,14,1,1,0,0,0,0,0,14,29,29,0,0,baseline,4
11,0,0,0,0,0,0,15,1,0,14,1,1,0,0,0,0,0,14,29,29,1,0,baseline,4
12,2,2,2,2,1,0,17,3,0,14,3,2,1,1,0,1,0,14,30,31,1,0,baseline,4
13,0,0,0,0,0,0,16,2,0,14,2,2,0,0,1,1,1,15,30,31,3,1,baseline,4
14,0,0,0,0,0,0,16,2,0,14,2,0,2,2,0,0,0,15,30,31,2,1,baseline,4
15,0,0,0,0,0,0,14,0,0,14,0,0,0,0,2,0,2,17,30,31,2,1,baseline,4
16,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,17,30,31,0,0,baseline,4
17,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,17,30,31,0,0,baseline,4
18,1,1,1,1,0,0,15,1,0,14,1,1,0,0,0,0,0,17,30,32,0,0,baseline,4
19,1,1,1,1,0,0,16,2,0,14,2,2,0,0,0,0,0,17,30,33,1,0,baseline,4
20,0,0,0,0,0,0,16,1,0,15,1,1,0,0,0,0,0,17,30,33,2,0,baseline,4
21,0,0,0,0,0,0,16,1,0,15,1,0,1,1,0,0,0,17,30,33,2,0,baseline,4
22,0,0,0,0,0,0,15,0,0,15,0,0,0,0,1,0,1,18,30,33,1,0,baseline,4
23,1,1,1,1,0,0,16,1,0,15,1,1,0,0,0,0,0,18,31,34,0,0,baseline,4
24,1,1,1,1,1,0,17,2,0,15,2,2,0,0,0,1,0,18,31,35,1,0,baseline,4
0,28,28,28,27,3,0,28,28,0,0,27,27,0,0,0,3,0,0,28,28,0,0,baseline,5
1,0,0,0,0,0,0,28,28,0,0,27,27,0,0,0,3,0,0,28,28,27,3,baseline,5
2,0,0,0,0,0,0,28,21,0,7,21,15,6,6,0,2,0,0,28,28,27,3,baseline,5
3,0,0,0,1,3,4,23,9,0,14,6,4,2,2,5,3,5,5,28,28,27,3,baseline,5
4,0,0,0,0,5,5,22,9,0,13,1,1,0,0,1,8,1,6,28,28,6,3,baseline,5
5,0,0,0,0,1,1,22,9,0,13,0,0,0,0,0,9,0,6,28,28,1,8,baseline,5
6,1,1,1,1,0,0,20,5,0,15,1,1,0,0,0,4,3,9,29,29,1,9,baseline,5
7,0,0,0,0,1,1,19,3,0,16,1,1,0,0,0,2,1,10,29,29,1,6,baseline,5
8,0,0,0,0,0,0,18,1,0,17,0,0,0,0,0,1,1,11,29,29,1,2,baseline,5
9,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,29,29,1,1,baseline,5
10,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,11,29,29,0,1,baseline,5
11,1,1,1,1,0,0,19,1,0,18,1,1,0,0,0,0,0,11,29,30,0,0,baseline,5
