employee,firm,initial_dispute,reachable,merit,belief_d,belief_e,cost_d,cost_e
0,0,False,True,0.992760059691461,0.5449269699863759,0.5877091393923862,0.1483707952442035,0.27587969446165017
1,5,False,True,0.42403633705529986,0.229650571145668,0.4360154983432703,0.11649237148500251,0.17870348057465263
2,1,False,True,0.40738915590179553,0.3835229892299272,0.40225852811673773,0.263165494873969,0.25744881888159726
3,4,False,True,0.21223919630908938,0.48164500673943544,0.5023413918212314,0.11447867665375151,0.3775813505449553
4,0,False,True,0.7951612190621808,0.5290599141965837,0.5837298166693512,0.18537115459172024,0.39639711143985157
5,0,True,False,0.4851427568135255,0.32352023428589693,0.26921733187059427,0.1609773507552331,0.3021323944895209
6,1,True,True,0.9052472326700784,0.4256081333859838,0.5586571827756612,0.22951785411666392,0.2675680860468209
7,0,False,True,0.43136060466874526,0.47950150221007826,0.5941831448229777,0.2039393136927115,0.21007926007053504
8,0,True,True,0.3960478194003253,0.28224487806266674,0.3167673304815158,0.09743626015620943,0.3270836536953683
9,5,False,True,0.3453204894600047,0.39295530254059297,0.3784804803428497,0.15225089348526347,0.17224444981582024
10,1,False,True,0.6438525166688605,0.38884317409271774,0.5882886561200341,0.2200923526510588,0.2973293003305126
11,0,True,False,0.3068491472644639,0.5171465332961911,0.37812604292750296,0.11254230858288973,0.15467226241520335
12,5,True,True,0.5273082560727348,0.6037817987812786,0.48527716350699646,0.2378376446886984,0.3113206276857364
13,5,False,False,0.37597924068513555,0.6035157570750574,0.504968769833245,0.18991104582314097,0.21990191051890814
14,4,False,True,0.7328563019881995,0.3457709441751927,0.3300312755279211,0.09274096022700075,0.3757179293179736
15,3,False,True,0.9636525868444654,0.4415402376273212,0.3651732285065892,0.12013139547880683,0.36885322864169034
16,3,False,False,0.4722846063408406,0.5313353420972462,0.35549804760622816,0.2005787070626945,0.1929285768508154
17,5,True,True,0.47358953296039524,0.3919935126913222,0.5734977925998279,0.253902026142052,0.30760713930070754
18,2,False,True,0.47978043491772304,0.27532729345925583,0.4371862081365062,0.2668785658219401,0.2039475187177006
19,4,False,True,0.7665179959059183,0.5851883343647291,0.445278758799319,0.134934236822975,0.22963360758369958
20,4,False,True,0.3300545909333682,0.4795092762977207,0.4718195611743685,0.1422286741409436,0.34279558387592546
21,4,True,True,0.8922244628158189,0.37033345407654616,0.43207319627694624,0.2492249358685547,0.16274712510260736
22,3,False,True,0.8932192284287896,0.3849099051021683,0.4838285132267878,0.1072317536866028,0.38624423250672224
23,4,False,True,0.2253373885113172,0.30456311745256526,0.5499531516909228,0.23213042523100139,0.27036932339355074
24,3,True,True,0.40228009063611153,0.5284423983588717,0.5335729502393609,0.26239716001572394,0.36884069536487507
25,2,False,True,0.4413277873763837,0.34455800528695235,0.5725955588746616,0.20401832482380802,0.2517907752397976
26,4,False,True,0.955868705425684,0.3707695329771381,0.6159689494790884,0.19476619026038808,0.1960547174193517
27,2,False,True,0.23505082056970572,0.5525893067107659,0.6392206064589001,0.15779028109324086,0.3684614046068823
28,3,False,True,0.22835297104433946,0.5415047507093064,0.6127124022570803,0.1140024642818504,0.1881403628040198
29,1,False,True,0.6065513421468937,0.4498161470086547,0.33490695620870736,0.1688951875850724,0.15225797122482468
30,0,True,True,0.812423584071269,0.4713152525564188,0.48946698833342217,0.10568988529152609,0.2968595249016314
31,3,False,True,0.9469976583411543,0.499231730984955,0.5962232349389468,0.15877040446700252,0.19435374724412033
32,3,False,True,0.6725171117662279,0.39954422228146735,0.5091285244229335,0.2462962142456128,0.15523450311047166
33,3,False,True,0.8658197385816353,0.4348180534584407,0.551886192488539,0.26833595394296533,0.17665079821433555
34,3,False,True,0.9079413162717889,0.31661037504879896,0.27330955242992494,0.12076011942033438,0.2772280511909312
35,5,False,True,0.24004808460833615,0.42861481296753934,0.3808624764596319,0.11359345932382238,0.17179398486241937
36,2,False,True,0.8182345754700908,0.42525345030401457,0.41052975437029443,0.21073833248175836,0.22498973519611792
37,5,True,False,0.9605148714067651,0.5166398133866088,0.6048095714434447,0.23900283811741982,0.19726177659029454
38,3,False,True,0.2689146992545438,0.38239161731187754,0.28853028502074873,0.1287292721028923,0.36846115422212705
39,3,True,True,0.29980267696089175,0.28945770070522636,0.45942743266519215,0.11278642516549683,0.3142410343455689
40,3,False,True,0.4331345245406891,0.3641009921009626,0.6093373293384592,0.1581167785826826,0.27087110426449584
41,1,False,True,0.5770874748534227,0.357974726607252,0.5833518541665613,0.23822795253113194,0.16687783563278974
42,2,True,True,0.5181381035783981,0.22466259977595562,0.43924046267399164,0.20447239480110982,0.16482639385390188
43,0,False,False,0.5356835375439908,0.5898592809140426,0.2736964333143518,0.12553247304643805,0.16720753062533328
44,3,False,False,0.2620641553797891,0.4668701026686099,0.3745185335633857,0.20076058794256785,0.40277918986162564
45,0,False,True,0.9062133005588473,0.5427854347063236,0.4698376893113625,0.2439703896260991,0.1661164392776034
46,2,False,True,0.6022381767052344,0.3224714799644148,0.6596503611583785,0.18523664050489752,0.15567554392335484
47,3,False,True,0.6314282145850316,0.3788126185859156,0.3802605378986358,0.18598384700209225,0.23207157109860732
48,0,False,True,0.7100312980383814,0.5651302970285246,0.45057890350500324,0.1879061853313863,0.36747594058926164
49,2,True,True,0.5966172958732835,0.40122202368757226,0.6085239383184402,0.20702198292046725,0.3550969080079869
50,5,False,True,0.9418125466328746,0.2487471694008642,0.28772933443180404,0.2088022698026999,0.2124178474471884
51,4,False,False,0.9305720564087947,0.5616677653507353,0.5503058279271114,0.26651459608019423,0.22058676220504772
52,1,True,True,0.9696043638289182,0.5475190938505968,0.424566771177051,0.2476619091839592,0.2339709438701195
53,5,False,True,0.9268903549758172,0.3196442006922833,0.5821887454335208,0.2253103275146531,0.33782513155256083
54,3,False,True,0.9312490218410299,0.22049733782908745,0.5523253568294493,0.25533682668695057,0.3412197200125101
55,1,False,True,0.6382135203351533,0.4070700265220594,0.33948352925498304,0.16725448537040874,0.3045525493072007
56,5,False,True,0.6447517540196053,0.30574358589249045,0.4561228352389788,0.15783468912769075,0.25832824799165044
57,3,False,False,0.5835548832989768,0.2774812585006399,0.5332006780167822,0.11110206952865519,0.17145316688890727
58,0,True,True,0.6648866098493449,0.4798457129212576,0.45124395364647013,0.24863939297565013,0.20532809497258347
59,2,True,True,0.6943385467328902,0.5602922637422112,0.5074985384558233,0.23509445490004036,0.40267072128357945
60,2,False,True,0.6451244971410584,0.4445134400782842,0.6274568073919631,0.21802528225456477,0.22323942159545873
61,0,True,True,0.9596398737119458,0.264664180613867,0.42786425934215844,0.2012198617440855,0.3431351479999387
62,1,True,True,0.5080031486909644,0.5837425411252646,0.62163411087903,0.18924605477548054,0.1589368749570172
63,1,False,True,0.788652220532216,0.399457043574288,0.584317424094172,0.21833649366951285,0.35903209037576045
64,1,False,True,0.39192050606704254,0.49125418099751017,0.46342448598589314,0.25719479374708204,0.26865842218178193
65,4,False,True,0.30207896300498194,0.2224459272708547,0.6277635581300404,0.1305357622527868,0.2471176029165061
66,4,False,True,0.6125921476645525,0.32338302798712215,0.4398567955674976,0.20207043764355134,0.1434409061371263
