block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,t0_first_e,t0_first_both,t0_first_count,pre_first_e,pre_first_both,pre_first_count,post_first_e,post_first_both,post_first_count,pre_domestic_cohort_count,pre_domestic_later_e,post_customer_submissions,post_mean_belief_d,final_belief_d,final_informed
main,unchanged,0,49,2,2,2,1,2,0,68,5,0,63,2,4,0,59,99,127,1,2,127,114,96,83,0.7559055118110236,0.7559055118110236,0.8976377952755905,0.5826771653543307,0.29133858267716534,0.12598425196850394,0.0,0.581081081081081,4.093023255813954,0.23958333333333334,0.4791666666666667,0.6206896551724138,0.25287356321839083,0.6326161611039991,0.5086193566822442,0.5354330708661418,0.5354330708661418,0.5208333333333334,4.610169491525424,3.0,2580,550,0.28125,0.0625,32,0.3,0.1,60,0.2835820895522388,0.14925373134328357,67,36,0.2222222222222222,55,0.422253699246187,0.42227688332842156,0.0
main,unchanged,1,49,1,1,1,0,1,0,78,9,0,69,7,3,0,56,101,134,7,2,134,124,78,68,0.582089552238806,0.582089552238806,0.9253731343283582,0.6791044776119403,0.22388059701492538,0.09701492537313433,0.0,0.38461538461538464,4.857142857142857,0.24358974358974358,0.3974358974358974,0.44285714285714284,0.22857142857142856,0.5197854156950693,0.5055384673777579,0.582089552238806,0.582089552238806,0.6025641025641025,4.178571428571429,3.0,2798,547,0.23809523809523808,0.09523809523809523,42,0.24193548387096775,0.08064516129032258,62,0.20833333333333334,0.1111111111111111,72,42,0.07142857142857142,47,0.40155370338879787,0.40854500110280395,0.0
main,unchanged,2,49,2,2,2,2,1,1,79,4,2,73,2,2,2,46,100,125,1,3,123,114,85,76,0.68,0.6910569105691057,0.926829268292683,0.6666666666666666,0.2682926829268293,0.06504065040650407,0.016,0.5365853658536586,3.7954545454545454,0.25882352941176473,0.43529411764705883,0.5189873417721519,0.31645569620253167,0.6247145567877906,0.49467517116754767,0.632,0.6260162601626016,0.5647058823529412,4.717391304347826,4.0,2810,538,0.21212121212121213,0.030303030303030304,33,0.21739130434782608,0.043478260869565216,46,0.2987012987012987,0.07792207792207792,77,34,0.08823529411764706,58,0.38685670294703406,0.3874058636681246,0.0
main,unchanged,3,49,2,2,2,2,0,0,73,3,2,68,3,0,0,57,102,130,2,0,128,119,85,76,0.6538461538461539,0.6640625,0.9296875,0.6875,0.2265625,0.0859375,0.015384615384615385,0.5113636363636364,5.444444444444445,0.3411764705882353,0.5058823529411764,0.6025641025641025,0.3076923076923077,0.6107094977114698,0.48149709614979785,0.5615384615384615,0.5546875,0.49411764705882355,4.824561403508772,4.0,2808,567,0.1794871794871795,0.07692307692307693,39,0.20967741935483872,0.0967741935483871,62,0.24242424242424243,0.07575757575757576,66,43,0.18604651162790697,49,0.4001103988852049,0.4061744274766424,0.0
main,unchanged,4,49,0,0,0,0,1,1,82,2,2,78,1,1,0,46,100,128,3,1,126,122,59,55,0.4609375,0.46825396825396826,0.9682539682539683,0.7698412698412699,0.12698412698412698,0.10317460317460317,0.015625,0.30927835051546393,4.7,0.2542372881355932,0.3728813559322034,0.6071428571428571,0.3392857142857143,0.5927230096535482,0.5045840926781463,0.640625,0.6349206349206349,0.6271186440677966,3.9782608695652173,3.0,2716,497,0.13333333333333333,0.03333333333333333,30,0.14,0.12,50,0.11842105263157894,0.09210526315789473,76,37,0.08108108108108109,36,0.4064544099084378,0.4068188524692331,0.0
main,unchanged,5,49,3,3,3,3,0,0,86,6,0,80,5,1,0,54,108,140,3,1,140,127,86,73,0.6142857142857143,0.6142857142857143,0.9071428571428571,0.7214285714285714,0.2571428571428571,0.02142857142857143,0.0,0.46534653465346537,4.9787234042553195,0.3023255813953488,0.38372093023255816,0.5238095238095238,0.2857142857142857,0.5936169619314202,0.4955691528144697,0.6142857142857143,0.6142857142857143,0.6162790697674418,4.518518518518518,3.0,3312,641,0.20408163265306123,0.0,49,0.2328767123287671,0.0136986301369863,73,0.2835820895522388,0.029850746268656716,67,55,0.05454545454545454,47,0.40302124090517094,0.4109401571376875,0.0
main,unchanged,6,49,0,0,0,0,1,1,82,7,0,75,6,1,1,54,102,136,8,3,136,127,78,69,0.5735294117647058,0.5735294117647058,0.9338235294117647,0.6911764705882353,0.22058823529411764,0.08823529411764706,0.0,0.3829787234042553,4.833333333333333,0.28205128205128205,0.41025641025641024,0.5405405405405406,0.22972972972972974,0.6236803336796779,0.511178818993803,0.6029411764705882,0.6029411764705882,0.5897435897435898,4.111111111111111,3.0,2820,555,0.2571428571428571,0.08571428571428572,35,0.2641509433962264,0.11320754716981132,53,0.1927710843373494,0.07228915662650602,83,33,0.09090909090909091,51,0.40988748330451696,0.4175555406015276,0.0
main,unchanged,7,49,0,0,0,0,0,0,78,1,2,75,1,0,0,37,94,115,2,1,113,108,62,57,0.5391304347826087,0.5486725663716814,0.9557522123893806,0.7079646017699115,0.1592920353982301,0.13274336283185842,0.017391304347826087,0.3625,5.206896551724138,0.20967741935483872,0.3387096774193548,0.43103448275862066,0.1896551724137931,0.5802108501839817,0.4834290715840133,0.6782608695652174,0.672566371681416,0.6612903225806451,3.8378378378378377,3.0,2950,450,0.20588235294117646,0.08823529411764706,34,0.13114754098360656,0.09836065573770492,61,0.19230769230769232,0.17307692307692307,52,47,0.0851063829787234,36,0.4121293544764056,0.409753766534962,0.0
main,unchanged,8,49,0,0,0,0,0,0,74,5,1,68,4,1,0,45,93,119,4,1,118,114,55,51,0.46218487394957986,0.4661016949152542,0.9661016949152542,0.8050847457627118,0.11864406779661017,0.07627118644067797,0.008403361344537815,0.3368421052631579,4.25,0.21818181818181817,0.2909090909090909,0.5769230769230769,0.38461538461538464,0.6047022642254991,0.5083670165864934,0.6218487394957983,0.6186440677966102,0.7090909090909091,4.133333333333334,3.0,2791,484,0.1891891891891892,0.02702702702702703,37,0.13333333333333333,0.05,60,0.10344827586206896,0.10344827586206896,58,49,0.08163265306122448,31,0.4117527803806452,0.4135303504105506,0.0
main,unchanged,9,49,1,1,1,1,1,1,85,5,2,78,4,1,0,49,100,134,4,3,132,127,87,82,0.6492537313432836,0.6590909090909091,0.9621212121212122,0.7196969696969697,0.20454545454545456,0.07575757575757576,0.014925373134328358,0.5263157894736842,4.8,0.21839080459770116,0.3563218390804598,0.575,0.3375,0.6065383982378038,0.47762866248704716,0.6343283582089553,0.6287878787878788,0.6436781609195402,5.061224489795919,4.0,3029,574,0.17857142857142858,0.10714285714285714,28,0.2,0.10909090909090909,55,0.2077922077922078,0.05194805194805195,77,38,0.18421052631578946,57,0.4132653656612053,0.4115029194517279,0.0
