time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,mean_belief_d,mean_belief_e,informed_share,disputed_share,block,arm,seed
0,32,32,32,23,11,0,32,32,0,0,23,11,0,0,32,32,0,0,0.42381040890994137,0.45942174663856256,0.0,0.26666666666666666,main,unchanged,0
1,3,3,3,1,3,0,35,35,0,0,24,14,0,0,35,35,23,11,0.42381040890994137,0.45942174663856256,0.0,0.2916666666666667,main,unchanged,0
2,4,4,4,2,2,0,39,37,0,2,26,13,0,0,39,39,24,14,0.42381040890994137,0.45942174663856256,0.0,0.325,main,unchanged,0
3,0,0,0,1,2,3,32,26,0,6,17,10,7,7,39,39,26,16,0.42381040890994137,0.4543317209395658,0.0,0.325,main,unchanged,0
4,3,3,3,3,5,5,32,17,0,15,8,9,3,10,42,42,17,11,0.4196517597516659,0.4575164084670972,0.0,0.2916666666666667,main,unchanged,0
5,4,4,4,5,5,6,34,19,0,15,8,11,2,12,45,46,9,10,0.4000891503588153,0.450762048919982,0.0,0.3,main,unchanged,0
6,2,2,2,3,2,3,35,22,0,13,10,12,1,13,47,48,9,12,0.39580194765880455,0.45245610803855746,0.0,0.3,main,unchanged,0
7,6,6,6,4,4,1,37,19,0,18,12,8,4,17,53,54,11,12,0.3976974202471237,0.4474506228076107,0.0,0.3416666666666667,main,unchanged,0
8,4,4,4,5,2,1,40,15,0,25,12,6,1,18,57,58,12,11,0.42512587364437604,0.4456924686442445,0.0,0.3416666666666667,main,unchanged,0
9,2,2,2,2,5,5,40,17,0,23,11,9,2,20,58,60,12,8,0.4251837087002118,0.4387313941731741,0.0,0.35,main,unchanged,0
10,1,1,1,2,4,5,40,16,0,24,9,8,1,21,59,61,11,11,0.42293220258504316,0.44338626771819534,0.0,0.3416666666666667,main,unchanged,0
11,2,2,2,4,3,5,41,15,0,26,8,7,1,22,61,63,9,11,0.4135656710052505,0.44435568921691426,0.0,0.35,main,unchanged,0
12,1,1,1,1,1,1,39,10,0,29,7,3,3,25,62,64,8,12,0.41659988535436143,0.4476001648831706,0.0,0.35,main,unchanged,0
13,5,5,5,5,3,2,43,13,0,30,10,4,1,26,65,69,7,8,0.418605809792685,0.44520036197140517,0.0,0.36666666666666664,main,unchanged,0
14,4,4,4,2,2,0,44,13,0,31,8,6,3,29,68,73,10,7,0.4223410778477266,0.44642679719898026,0.0,0.39166666666666666,main,unchanged,0
15,2,2,2,1,1,0,45,12,0,33,8,5,1,30,69,75,8,6,0.43034916212730906,0.4522261215040165,0.0,0.38333333333333336,main,unchanged,0
16,1,1,1,1,1,1,45,7,0,38,4,3,1,31,69,76,8,6,0.43123822931903033,0.449623128952339,0.0,0.38333333333333336,main,unchanged,0
17,3,3,3,5,3,4,46,10,0,36,7,4,2,33,70,79,4,4,0.42682932043047006,0.4488506719636301,0.0,0.4,main,unchanged,0
18,2,2,2,3,2,3,48,14,0,34,9,6,0,33,71,81,7,5,0.42211708277963406,0.4496339878105193,0.0,0.4,main,unchanged,0
19,0,0,0,0,1,1,47,12,0,35,8,4,1,34,71,81,9,6,0.4195992680800939,0.4534993532504234,0.0,0.4,main,unchanged,0
20,1,1,1,1,0,0,44,7,0,37,4,3,4,38,72,82,8,6,0.42576562891064546,0.4545356999143728,0.0,0.4,main,unchanged,0
21,1,1,1,0,1,0,44,3,0,41,1,2,1,39,73,83,4,3,0.4288480514462496,0.45602378570011376,0.0,0.375,main,unchanged,0
22,3,3,3,4,1,1,46,6,0,40,5,2,1,40,75,86,1,2,0.426593363631615,0.4530024577422586,0.0,0.39166666666666666,main,unchanged,0
23,2,2,2,1,1,0,48,6,0,42,5,2,0,40,75,88,5,2,0.42346325653536354,0.4604037903877348,0.0,0.4,main,unchanged,0
24,6,6,6,5,2,0,54,12,0,42,10,4,0,40,78,94,5,3,0.41913407842597483,0.45574354505280995,0.0,0.45,main,unchanged,0
25,2,2,2,1,2,1,54,10,0,44,7,4,2,42,80,96,10,4,0.422721914784211,0.4587172360625494,0.0,0.4666666666666667,main,unchanged,0
26,1,1,1,1,1,1,55,9,0,46,7,3,0,42,80,97,7,5,0.4215234616273951,0.45900088255060567,0.0,0.4583333333333333,main,unchanged,0
27,0,0,0,1,0,1,55,5,0,50,4,2,0,42,80,97,7,5,0.421023844843754,0.45719170670756915,0.0,0.4583333333333333,main,unchanged,0
28,5,5,5,4,3,1,59,9,0,50,6,4,1,43,85,102,4,4,0.41416607561457963,0.455075458891741,0.0,0.5,main,unchanged,0
29,2,2,2,2,1,1,60,10,0,50,7,4,1,44,87,104,6,4,0.4124230414785512,0.45712567860374465,0.0,0.5083333333333333,main,unchanged,0
30,0,0,0,0,1,1,59,9,0,50,6,4,1,45,87,104,7,4,0.4123657888669179,0.4640068831611046,0.0,0.5,main,unchanged,0
31,3,3,3,3,2,1,59,8,0,51,5,4,3,48,88,107,6,5,0.42058271422323684,0.4644676105445359,0.0,0.5166666666666667,main,unchanged,0
32,2,2,2,2,2,2,60,8,0,52,5,4,1,49,88,109,5,4,0.4265918376424104,0.46770477105574254,0.0,0.5083333333333333,main,unchanged,0
33,1,1,1,1,1,0,61,9,0,52,6,4,0,49,89,110,5,5,0.4232680564231927,0.4643665606710893,0.0,0.5083333333333333,main,unchanged,0
34,1,1,1,1,1,1,60,5,0,55,4,2,2,51,90,111,6,5,0.4213427507169004,0.4638310587152318,0.0,0.5166666666666667,main,unchanged,0
35,1,1,1,1,0,0,60,3,0,57,3,1,1,52,91,112,4,4,0.41941162305027135,0.45701966936850597,0.0,0.5083333333333333,main,unchanged,0
36,0,0,0,0,0,0,59,2,0,57,2,0,1,53,91,112,3,2,0.42480366876154446,0.45588588689181464,0.0,0.5,main,unchanged,0
37,2,2,2,1,2,1,61,4,0,57,2,2,0,53,92,114,2,1,0.42769398914866213,0.4554064121335831,0.0,0.5083333333333333,main,unchanged,0
38,0,0,0,0,0,0,61,3,0,58,1,2,0,53,92,114,2,2,0.4252355535504602,0.454370043260251,0.0,0.5083333333333333,main,unchanged,0
39,3,3,3,1,3,1,64,7,0,57,2,5,0,53,94,117,1,2,0.42281122909315644,0.4569558993931351,0.0,0.5333333333333333,main,unchanged,0
40,1,1,1,0,1,0,64,5,0,59,1,4,1,54,94,118,2,5,0.4196647370392207,0.45942174663856256,0.0,0.5416666666666666,main,unchanged,0
41,2,2,2,1,2,1,66,8,0,58,2,6,0,54,95,120,1,4,0.4194671909978883,0.4589752051355095,0.0,0.55,main,unchanged,0
42,0,0,0,1,0,1,66,4,0,62,2,2,0,54,95,120,2,6,0.4210800759791563,0.4589752051355095,0.0,0.55,main,unchanged,0
43,2,2,2,4,2,3,68,8,0,60,6,3,0,54,96,122,2,3,0.4186428435716875,0.45253831803557837,0.0,0.5666666666666667,main,unchanged,0
44,1,1,1,2,1,1,67,8,0,59,7,3,2,56,97,123,6,4,0.4213731765024726,0.4510697332557021,0.0,0.575,main,unchanged,0
45,1,1,1,1,0,0,67,8,0,59,7,2,1,57,98,124,7,3,0.4231338249642251,0.4547056086996458,0.0,0.5666666666666667,main,unchanged,0
46,0,0,0,0,0,0,66,3,0,63,3,0,1,58,98,124,7,3,0.42835642514811023,0.45893285852551896,0.0,0.5583333333333333,main,unchanged,0
47,0,0,0,0,1,1,65,2,0,63,1,1,1,59,98,124,3,1,0.425246552184566,0.45435374894183755,0.0,0.55,main,unchanged,0
48,1,1,1,1,1,1,66,3,0,63,1,2,0,59,99,125,1,1,0.42695862203503576,0.4507804216433758,0.0,0.55,main,unchanged,0
49,2,2,2,1,2,0,68,5,0,63,2,4,0,59,99,127,1,2,0.42227688332842156,0.45287738349518825,0.0,0.5666666666666667,main,unchanged,0
0,43,42,42,32,14,0,43,42,1,0,32,14,0,0,42,43,0,0,0.4058064740457306,0.4622021704120288,0.0,0.35833333333333334,main,unchanged,1
1,2,3,3,2,2,0,45,45,0,0,34,16,0,0,45,45,32,14,0.4058064740457306,0.4622021704120288,0.0,0.375,main,unchanged,1
2,4,4,4,3,1,0,49,42,0,7,37,9,0,0,49,49,34,16,0.4058064740457306,0.4622021704120288,0.0,0.4083333333333333,main,unchanged,1
3,2,2,2,9,3,10,42,37,0,5,35,4,9,9,51,51,37,17,0.4058064740457306,0.4450756332369877,0.0,0.425,main,unchanged,1
4,2,2,2,3,3,4,37,28,0,9,25,5,7,16,53,53,35,6,0.42120168695875326,0.44537478280343623,0.0,0.36666666666666664,main,unchanged,1
5,2,2,2,1,5,4,35,23,0,12,16,7,4,20,55,55,25,8,0.42565114252048813,0.44537478280343623,0.0,0.325,main,unchanged,1
6,2,2,2,3,0,1,35,14,0,21,7,7,2,22,56,57,16,11,0.4244329997663712,0.4537641714620196,0.0,0.30833333333333335,main,unchanged,1
