case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed
5:0,5,0,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4851427568135255,False,0.47042565019858995,2.0,,no_remedy,,,49.0,49.0
6:0,6,1,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.9052472326700784,True,0.5994915417836008,,3.0,,,3.0,3.0,3.0
8:0,8,0,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3960478194003253,True,0.47042565019858995,2.0,,no_remedy,,,49.0,49.0
11:0,11,0,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3068491472644639,False,0.47042565019858995,2.0,,no_remedy,,,49.0,49.0
12:0,12,5,0,0,0.0,3.0,2.0,5.0,2.0,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5273082560727348,True,0.506188904761806,2.0,5.0,no_remedy,,,49.0,49.0
17:0,17,5,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.47358953296039524,True,0.506188904761806,6.0,2.0,remedy_supported,6.0,6.0,6.0,6.0
21:0,21,4,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8922244628158189,True,0.4162920712285151,,3.0,,,3.0,3.0,3.0
24:0,24,3,0,0,0.0,3.0,2.0,5.0,,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.40228009063611153,True,0.40760183202748823,2.0,6.0,no_remedy,,,49.0,49.0
30:0,30,0,0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.812423584071269,True,0.47042565019858995,2.0,5.0,no_remedy,,,49.0,49.0
37:0,37,5,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9605148714067651,False,0.506188904761806,3.0,,remedy_supported,3.0,,49.0,49.0
39:0,39,3,0,0,0.0,3.0,2.0,5.0,2.0,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.29980267696089175,True,0.40760183202748823,2.0,5.0,no_remedy,,,49.0,49.0
42:0,42,2,0,0,10.0,0.0,12.0,2.0,12.0,,13.0,,successful,closed_unresolved,13.0,d,1.0,e,resolved,0.5181381035783981,True,0.6,13.0,2.0,remedy_supported,13.0,13.0,13.0,13.0
49:0,49,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.5966172958732835,True,0.6,,3.0,,,3.0,3.0,3.0
52:0,52,1,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9696043638289182,True,0.5994915417836008,2.0,6.0,no_remedy,,,49.0,49.0
58:0,58,0,0,0,4.0,0.0,6.0,2.0,6.0,2.0,,3.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6648866098493449,True,0.47042565019858995,6.0,3.0,no_remedy,,,49.0,49.0
59:0,59,2,0,0,0.0,,2.0,,2.0,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6943385467328902,True,0.6,3.0,,remedy_supported,3.0,3.0,3.0,3.0
61:0,61,0,0,0,4.0,0.0,6.0,2.0,6.0,2.0,,3.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9596398737119458,True,0.47042565019858995,6.0,3.0,no_remedy,,,49.0,49.0
62:0,62,1,0,0,0.0,0.0,2.0,2.0,2.0,,,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.5080031486909644,True,0.5994915417836008,2.0,2.0,no_remedy,,,49.0,49.0
68:0,68,5,0,0,6.0,0.0,8.0,2.0,8.0,2.0,9.0,3.0,successful,closed_unresolved,9.0,d,1.0,e,resolved,0.6434450740162051,True,0.506188904761806,9.0,3.0,remedy_supported,9.0,9.0,9.0,9.0
70:0,70,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.8472291736018014,True,0.5994915417836008,3.0,,remedy_supported,3.0,3.0,3.0,3.0
73:0,73,5,0,0,0.0,0.0,3.0,2.0,,2.0,,3.0,closed_unresolved,successful,3.0,e,1.0,d+e,resolved,0.4398843340243584,True,0.506188904761806,3.0,3.0,no_remedy,,3.0,3.0,3.0
76:0,76,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.6959689137536169,True,0.6,3.0,7.0,no_remedy,,7.0,7.0,7.0
78:0,78,4,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.873517646547888,False,0.4162920712285151,4.0,,remedy_supported,4.0,4.0,4.0,4.0
89:0,89,4,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5989296546636256,False,0.4162920712285151,3.0,,no_remedy,,,49.0,49.0
