time,employee,source
10,0,announcement
10,1,announcement
10,2,announcement
10,3,announcement
10,4,announcement
10,5,announcement
10,6,announcement
10,7,announcement
10,8,announcement
10,9,announcement
10,10,announcement
10,11,announcement
10,12,announcement
10,13,announcement
10,14,announcement
10,15,announcement
10,16,announcement
10,17,announcement
10,18,announcement
10,19,announcement
10,20,announcement
10,21,announcement
10,22,announcement
10,23,announcement
10,24,announcement
10,25,announcement
10,26,announcement
10,27,announcement
10,28,announcement
10,29,announcement
10,30,announcement
10,31,announcement
10,32,announcement
10,33,announcement
10,34,announcement
10,35,announcement
10,36,announcement
10,37,announcement
10,38,announcement
10,39,announcement
10,40,announcement
10,41,announcement
10,42,announcement
10,43,announcement
10,44,announcement
10,45,announcement
10,46,announcement
10,47,announcement
10,48,announcement
10,49,announcement
10,50,announcement
10,51,announcement
10,52,announcement
10,53,announcement
10,54,announcement
10,55,announcement
10,56,announcement
10,57,announcement
10,58,announcement
10,59,announcement
10,60,announcement
10,61,announcement
10,62,announcement
10,63,announcement
10,64,announcement
10,65,announcement
10,66,announcement
10,67,announcement
10,68,announcement
10,69,announcement
10,70,announcement
10,71,announcement
10,72,announcement
10,73,announcement
10,74,announcement
10,75,announcement
10,76,announcement
10,77,announcement
10,78,announcement
10,79,announcement
10,80,announcement
10,81,announcement
10,82,announcement
10,83,announcement
10,84,announcement
10,85,announcement
10,86,announcement
10,87,announcement
10,88,announcement
10,89,announcement
10,90,announcement
10,91,announcement
10,92,announcement
10,93,announcement
10,94,announcement
10,95,announcement
10,96,announcement
10,97,announcement
10,98,announcement
10,99,announcement
10,100,announcement
10,101,announcement
10,102,announcement
10,103,announcement
10,104,announcement
10,105,announcement
10,106,announcement
10,107,announcement
10,108,announcement
10,109,announcement
10,110,announcement
10,111,announcement
10,112,announcement
10,113,announcement
10,114,announcement
10,115,announcement
10,116,announcement
10,117,announcement
10,118,announcement
10,119,announcement
