time,employee,source
10,1,seed_notice
10,16,seed_notice
10,18,seed_notice
10,30,seed_notice
10,48,seed_notice
10,57,seed_notice
10,59,seed_notice
10,62,seed_notice
10,67,seed_notice
10,105,seed_notice
11,23,neighbor_notice
11,35,neighbor_notice
11,37,neighbor_notice
11,39,neighbor_notice
11,50,neighbor_notice
11,52,neighbor_notice
11,61,neighbor_notice
11,63,neighbor_notice
11,82,neighbor_notice
11,86,neighbor_notice
11,87,neighbor_notice
11,91,neighbor_notice
11,101,neighbor_notice
11,119,neighbor_notice
12,4,neighbor_notice
12,8,neighbor_notice
12,15,neighbor_notice
12,25,neighbor_notice
12,28,neighbor_notice
12,29,neighbor_notice
12,38,neighbor_notice
12,40,neighbor_notice
12,41,neighbor_notice
12,44,neighbor_notice
12,45,neighbor_notice
12,51,neighbor_notice
12,54,neighbor_notice
12,58,neighbor_notice
12,72,neighbor_notice
12,73,neighbor_notice
12,74,neighbor_notice
12,75,neighbor_notice
12,77,neighbor_notice
12,78,neighbor_notice
12,84,neighbor_notice
12,88,neighbor_notice
12,90,neighbor_notice
12,93,neighbor_notice
12,95,neighbor_notice
12,97,neighbor_notice
12,98,neighbor_notice
12,99,neighbor_notice
12,102,neighbor_notice
12,107,neighbor_notice
12,118,neighbor_notice
13,0,neighbor_notice
13,3,neighbor_notice
13,7,neighbor_notice
13,20,neighbor_notice
13,22,neighbor_notice
13,24,neighbor_notice
13,27,neighbor_notice
13,33,neighbor_notice
13,34,neighbor_notice
13,36,neighbor_notice
13,42,neighbor_notice
13,68,neighbor_notice
13,70,neighbor_notice
13,76,neighbor_notice
13,79,neighbor_notice
13,80,neighbor_notice
13,81,neighbor_notice
13,83,neighbor_notice
13,89,neighbor_notice
13,92,neighbor_notice
13,96,neighbor_notice
13,100,neighbor_notice
13,103,neighbor_notice
13,104,neighbor_notice
13,106,neighbor_notice
13,108,neighbor_notice
13,111,neighbor_notice
13,113,neighbor_notice
13,114,neighbor_notice
13,116,neighbor_notice
13,117,neighbor_notice
14,6,neighbor_notice
14,9,neighbor_notice
14,10,neighbor_notice
14,11,neighbor_notice
14,13,neighbor_notice
14,14,neighbor_notice
14,17,neighbor_notice
14,21,neighbor_notice
14,26,neighbor_notice
14,31,neighbor_notice
14,32,neighbor_notice
14,43,neighbor_notice
14,46,neighbor_notice
14,47,neighbor_notice
14,49,neighbor_notice
14,64,neighbor_notice
14,65,neighbor_notice
14,66,neighbor_notice
14,69,neighbor_notice
14,71,neighbor_notice
14,109,neighbor_notice
14,110,neighbor_notice
14,112,neighbor_notice
14,115,neighbor_notice
15,5,neighbor_notice
15,12,neighbor_notice
15,55,neighbor_notice
15,60,neighbor_notice
15,85,neighbor_notice
16,2,neighbor_notice
16,56,neighbor_notice
16,94,neighbor_notice
18,19,neighbor_notice
20,53,neighbor_notice
