time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,mean_belief_d,mean_belief_e,informed_share,disputed_share,block,arm,seed
0,32,32,32,23,11,0,32,32,0,0,23,23,0,0,0,11,0,0,32,32,0,0,0.42381040890994137,0.45942174663856256,0.0,0.26666666666666666,main,unchanged,0
1,3,3,3,1,3,0,35,35,0,0,24,24,0,0,0,14,0,0,35,35,23,11,0.42381040890994137,0.45942174663856256,0.0,0.2916666666666667,main,unchanged,0
2,4,4,4,2,2,0,39,28,0,11,17,14,3,3,0,13,0,0,39,39,24,14,0.42381040890994137,0.45942174663856256,0.0,0.325,main,unchanged,0
3,0,0,0,1,5,6,33,15,0,18,6,3,3,3,2,9,6,6,39,39,26,16,0.4015099979371512,0.4543317209395658,0.0,0.325,main,unchanged,0
4,3,3,3,3,7,7,33,17,0,16,4,4,0,0,3,13,3,9,42,42,7,10,0.39055738855976796,0.4532910999358409,0.0,0.3,main,unchanged,0
5,3,3,3,4,1,2,35,18,0,17,8,7,1,1,0,10,1,10,45,45,6,14,0.3952602809921379,0.44669934325864896,0.0,0.3,main,unchanged,0
6,2,2,2,4,0,2,36,16,0,20,9,8,1,1,1,7,1,11,47,47,8,13,0.4128612639620941,0.44492671311576515,0.0,0.30833333333333335,main,unchanged,0
7,7,7,7,5,3,0,41,13,0,28,10,9,1,1,0,4,2,13,53,54,11,8,0.42693145097924046,0.43808958042747276,0.0,0.35833333333333334,main,unchanged,0
8,4,4,4,5,3,3,44,16,0,28,12,10,2,2,1,6,1,14,57,58,13,4,0.4124732618762389,0.4393932515890302,0.0,0.375,main,unchanged,0
9,1,1,1,0,3,2,43,13,0,30,6,5,1,1,2,9,2,16,58,59,14,6,0.4115047948991101,0.44411249389701923,0.0,0.375,main,unchanged,0
10,1,1,1,0,5,4,43,12,0,31,3,0,3,3,1,9,1,17,59,60,10,9,0.4099499184644854,0.4501936345187432,0.0,0.36666666666666664,main,unchanged,0
11,3,3,3,5,2,4,44,15,0,29,5,5,0,0,2,10,2,19,61,63,5,11,0.4177512750682173,0.4486379454349004,0.0,0.38333333333333336,main,unchanged,0
12,1,1,1,1,0,0,42,11,0,31,6,6,0,0,0,5,3,22,62,64,5,10,0.422613061600799,0.4484108286618477,0.0,0.375,main,unchanged,0
13,3,3,3,3,2,1,43,7,0,36,4,4,0,0,0,4,2,24,65,67,6,7,0.4265091900307351,0.45052530695073717,0.0,0.375,main,unchanged,0
14,5,5,5,3,3,0,48,9,0,39,6,6,0,0,0,5,0,24,68,72,9,4,0.4210362633954297,0.4623601215236592,0.0,0.4,main,unchanged,0
15,1,1,1,1,0,0,49,8,0,41,5,4,1,1,0,5,0,24,69,73,7,5,0.4154328498755338,0.46065762022111983,0.0,0.4083333333333333,main,unchanged,0
16,0,0,0,0,1,1,49,4,0,45,2,1,1,1,0,2,0,24,69,73,7,5,0.4122023159283293,0.4586767704242845,0.0,0.4083333333333333,main,unchanged,0
17,4,4,4,4,2,1,51,6,0,45,4,4,0,0,1,3,2,26,70,77,4,4,0.41108458936391756,0.4449529646404449,0.0,0.44166666666666665,main,unchanged,0
18,1,1,1,1,1,1,52,8,0,44,5,5,0,0,0,4,0,26,71,78,5,3,0.4126078445040804,0.45105168350841807,0.0,0.43333333333333335,main,unchanged,0
19,0,0,0,0,0,0,51,3,0,48,1,1,0,0,0,2,1,27,71,78,5,4,0.4153165683689005,0.45105168350841807,0.0,0.43333333333333335,main,unchanged,0
20,1,1,1,1,1,1,52,3,0,49,2,1,1,1,0,1,0,27,72,79,5,3,0.419524522393181,0.46316036349878636,0.0,0.43333333333333335,main,unchanged,0
21,1,1,1,1,1,1,52,4,0,48,2,2,0,0,1,2,1,28,73,80,2,2,0.41921476310243705,0.45834504121565806,0.0,0.44166666666666665,main,unchanged,0
22,2,2,2,2,1,0,54,4,0,50,3,3,0,0,0,2,0,28,75,82,2,2,0.4222102258583355,0.45834504121565806,0.0,0.45,main,unchanged,0
23,2,2,2,1,1,0,56,4,0,52,3,3,0,0,0,2,0,28,75,84,4,3,0.42571737754010947,0.4543256787923065,0.0,0.4666666666666667,main,unchanged,0
24,4,4,4,3,2,0,60,7,0,53,5,4,1,1,0,4,0,28,78,88,4,3,0.42448665475273606,0.45439070246462127,0.0,0.5,main,unchanged,0
25,2,2,2,2,2,2,61,9,0,52,5,5,0,0,0,5,1,29,80,90,6,4,0.41894907408222387,0.45439070246462127,0.0,0.5166666666666667,main,unchanged,0
26,1,1,1,1,1,1,62,7,0,55,4,3,1,1,0,4,0,29,80,91,6,5,0.41739540295047156,0.45900088255060567,0.0,0.5166666666666667,main,unchanged,0
27,1,1,1,2,0,1,62,5,0,57,4,3,1,1,1,1,1,30,80,92,6,5,0.4150109227970546,0.45719170670756915,0.0,0.525,main,unchanged,0
28,5,5,5,4,3,1,66,9,0,57,7,6,1,1,1,3,1,31,85,97,5,3,0.41819313354195464,0.4494318627128304,0.0,0.5583333333333333,main,unchanged,0
29,2,2,2,2,0,0,67,9,0,58,7,6,1,1,1,3,1,32,87,99,7,4,0.42181930208410495,0.4456837132252342,0.0,0.5666666666666667,main,unchanged,0
30,0,0,0,0,1,1,67,5,0,62,3,2,1,1,0,3,0,32,87,99,8,3,0.4265371095722233,0.4496757197461965,0.0,0.5583333333333333,main,unchanged,0
31,2,2,2,2,3,2,67,5,0,62,2,2,0,0,1,4,2,34,88,101,6,4,0.4203415884236163,0.4558427257455199,0.0,0.575,main,unchanged,0
32,0,0,0,0,1,1,67,6,0,61,2,2,0,0,0,5,0,34,88,101,4,4,0.4172160606609397,0.4654240715705641,0.0,0.5583333333333333,main,unchanged,0
33,1,1,1,1,1,0,67,4,0,63,1,1,0,0,0,4,1,35,89,102,2,5,0.4159808202001509,0.4654240715705641,0.0,0.5666666666666667,main,unchanged,0
34,1,1,1,1,0,0,67,2,0,65,2,2,0,0,0,1,1,36,90,103,3,5,0.41805002573704453,0.46656739936369274,0.0,0.5666666666666667,main,unchanged,0
35,2,2,2,2,0,0,69,4,0,65,3,3,0,0,0,1,0,36,91,105,2,2,0.4205322686998833,0.4573193613264895,0.0,0.575,main,unchanged,0
36,0,0,0,0,0,0,69,3,0,66,3,2,1,1,0,0,0,36,91,105,4,1,0.41881356085143817,0.4573193613264895,0.0,0.575,main,unchanged,0
