time,case_id,employee,event
0,2:0,2,dispute_created
0,4:0,4,dispute_created
0,5:0,5,dispute_created
0,7:0,7,dispute_created
0,15:0,15,dispute_created
0,17:0,17,dispute_created
0,20:0,20,dispute_created
0,2:0,2,customer_received
0,4:0,4,domestic_received
0,4:0,4,customer_received
0,5:0,5,domestic_received
0,7:0,7,customer_received
0,15:0,15,domestic_received
0,17:0,17,domestic_received
0,17:0,17,customer_received
0,20:0,20,domestic_received
0,20:0,20,customer_received
2,1:2,1,dispute_created
2,1:2,1,domestic_received
2,4:0,4,domestic_responded
2,4:0,4,domestic_material_not_issued
2,4:0,4,domestic_request_to_firm
2,5:0,5,domestic_responded
2,5:0,5,domestic_material_issued
2,5:0,5,domestic_request_to_firm
2,15:0,15,domestic_responded
2,15:0,15,domestic_material_not_issued
2,15:0,15,domestic_request_to_firm
2,17:0,17,domestic_responded
2,17:0,17,domestic_material_issued
2,17:0,17,domestic_request_to_firm
2,20:0,20,domestic_responded
2,20:0,20,domestic_material_not_issued
2,20:0,20,domestic_request_to_firm
2,2:0,2,customer_reviewed
2,2:0,2,customer_intervened
2,4:0,4,customer_reviewed
2,4:0,4,customer_intervened
2,7:0,7,customer_reviewed
2,7:0,7,customer_declined
2,17:0,17,customer_reviewed
2,17:0,17,customer_intervened
2,20:0,20,customer_reviewed
2,20:0,20,customer_intervened
3,19:3,19,dispute_created
3,7:0,7,domestic_received
3,19:3,19,domestic_received
3,4:0,4,firm_case_processed
3,4:0,4,domestic_firm_success
3,4:0,4,customer_firm_success
3,4:0,4,case_resolved
3,15:0,15,firm_case_processed
3,15:0,15,domestic_firm_success
3,15:0,15,case_resolved
3,20:0,20,firm_case_processed
3,20:0,20,domestic_firm_success
3,20:0,20,customer_firm_failure
3,20:0,20,case_resolved
3,17:0,17,firm_case_processed
3,17:0,17,domestic_firm_success
3,17:0,17,customer_firm_failure
3,17:0,17,case_resolved
3,2:0,2,firm_case_processed
3,2:0,2,customer_firm_success
3,2:0,2,case_resolved
3,5:0,5,firm_case_processed
3,5:0,5,domestic_firm_failure
4,18:4,18,dispute_created
4,18:4,18,domestic_received
4,1:2,1,domestic_responded
4,1:2,1,domestic_material_not_issued
4,1:2,1,domestic_request_to_firm
5,7:0,7,domestic_responded
5,7:0,7,domestic_material_issued
5,7:0,7,domestic_request_to_firm
5,19:3,19,domestic_responded
5,19:3,19,domestic_material_issued
5,19:3,19,domestic_request_to_firm
5,1:2,1,firm_case_processed
5,1:2,1,domestic_firm_failure
6,4:6,4,dispute_created
6,1:2,1,customer_received
6,4:6,4,domestic_received
6,18:4,18,domestic_responded
6,18:4,18,domestic_material_not_issued
6,18:4,18,domestic_request_to_firm
6,7:0,7,firm_case_processed
6,7:0,7,domestic_firm_failure
6,19:3,19,firm_case_processed
6,19:3,19,domestic_firm_success
6,19:3,19,case_resolved
7,2:7,2,dispute_created
7,2:7,2,customer_received
7,18:4,18,firm_case_processed
7,18:4,18,domestic_firm_failure
8,18:4,18,customer_received
8,4:6,4,domestic_responded
8,4:6,4,domestic_material_issued
8,4:6,4,domestic_request_to_firm
8,1:2,1,customer_reviewed
8,1:2,1,customer_intervened
9,20:9,20,dispute_created
9,20:9,20,domestic_received
9,2:7,2,customer_reviewed
9,2:7,2,customer_declined
9,4:6,4,firm_case_processed
9,4:6,4,domestic_firm_success
9,4:6,4,case_resolved
9,1:2,1,firm_case_processed
9,1:2,1,customer_firm_success
9,1:2,1,case_resolved
10,10:10,10,dispute_created
10,2:7,2,domestic_received
10,10:10,10,domestic_received
10,18:4,18,customer_reviewed
10,18:4,18,customer_intervened
11,6:11,6,dispute_created
11,19:11,19,dispute_created
11,6:11,6,domestic_received
11,19:11,19,domestic_received
11,20:9,20,domestic_responded
11,20:9,20,domestic_material_issued
11,20:9,20,domestic_request_to_firm
11,18:4,18,firm_case_processed
11,18:4,18,customer_firm_failure
12,2:7,2,domestic_responded
12,2:7,2,domestic_material_issued
12,2:7,2,domestic_request_to_firm
12,10:10,10,domestic_responded
12,10:10,10,domestic_material_not_issued
12,10:10,10,domestic_request_to_firm
12,20:9,20,firm_case_processed
12,20:9,20,domestic_firm_success
12,20:9,20,case_resolved
13,12:13,12,dispute_created
13,12:13,12,domestic_received
13,6:11,6,domestic_responded
13,6:11,6,domestic_material_issued
13,6:11,6,domestic_request_to_firm
13,19:11,19,domestic_responded
13,19:11,19,domestic_material_issued
13,19:11,19,domestic_request_to_firm
13,10:10,10,firm_case_processed
13,10:10,10,domestic_firm_success
13,10:10,10,case_resolved
13,2:7,2,firm_case_processed
13,2:7,2,domestic_firm_success
13,2:7,2,case_resolved
14,6:11,6,firm_case_processed
14,6:11,6,domestic_firm_failure
14,19:11,19,firm_case_processed
14,19:11,19,domestic_firm_success
14,19:11,19,case_resolved
15,8:15,8,dispute_created
15,6:11,6,customer_received
15,8:15,8,domestic_received
15,12:13,12,domestic_responded
15,12:13,12,domestic_material_not_issued
15,12:13,12,domestic_request_to_firm
16,12:13,12,firm_case_processed
16,12:13,12,domestic_firm_success
16,12:13,12,case_resolved
17,10:17,10,dispute_created
17,10:17,10,domestic_received
17,8:15,8,domestic_responded
17,8:15,8,domestic_material_not_issued
17,8:15,8,domestic_request_to_firm
17,6:11,6,customer_reviewed
17,6:11,6,customer_intervened
