employee,firm,initial_dispute,reachable,merit,belief_d,belief_e,cost_d,cost_e
0,1,False,True,0.6994917194621084,0.44299443211746453,0.5143526220553698,0.11575446341698574,0.28960477551054253
1,1,False,True,0.24074774781101047,0.5346280060038413,0.6054011115602114,0.1825886846703812,0.4151275526197804
2,2,True,True,0.8773272286998643,0.27197079496082843,0.4683103840868439,0.2631195786566093,0.18530955760014894
3,2,False,True,0.6643069543957052,0.5612846419844832,0.6128679237523356,0.2658141629574809,0.3421680513814242
4,0,True,True,0.3990985278901817,0.4734939162452191,0.6434168944540841,0.0931582133250654,0.3081183566110844
5,2,True,False,0.5606217804303324,0.4311328982886555,0.40798145905146355,0.2639240822345544,0.40927658994266675
6,0,False,True,0.6421412513809208,0.46472024073120677,0.41757546949480717,0.2302959631869195,0.29481544895101186
7,1,True,True,0.27739591041921746,0.4368540343874118,0.36285187506581434,0.26378219323620805,0.14589476006045327
8,1,False,True,0.6186634072313681,0.3515794095525231,0.43160947704913155,0.26897823763039225,0.2610303882394388
9,0,False,True,0.6986408780769107,0.26208224073486897,0.31859127551304606,0.17942158172190753,0.22199719096642306
10,1,False,True,0.6297372338144666,0.3747509926299424,0.32494758391717055,0.22542131329577003,0.3757287643844844
11,0,False,False,0.23374199562025144,0.4365050838387813,0.3895893647072332,0.1377764502009518,0.36641901970491647
12,0,False,True,0.6772606288104934,0.49438455480871246,0.5969068951668594,0.2683710134305787,0.21841271796935496
13,2,False,False,0.9436629557359983,0.36852883912597545,0.4777175432709787,0.13666256007790398,0.1442837187081813
14,1,False,True,0.7858921653037392,0.5274656736356903,0.2666736866494753,0.22391127428899066,0.23979996488473393
15,0,True,True,0.3069934567044812,0.6009231943614537,0.4700605699883839,0.24868062735076762,0.22097621163406084
16,1,False,False,0.455034188741855,0.4382109202493441,0.40961789544902205,0.1341107593650732,0.19086217131100167
17,1,True,True,0.5530645440977425,0.4937842401883934,0.4940366936275521,0.18986681625049356,0.1773972015425624
18,0,False,True,0.6740976743403817,0.2255495974185324,0.415852365145589,0.1636443576163653,0.20159273423979746
19,2,False,True,0.9814794797950086,0.4253222967075862,0.4820570177910964,0.2098926679473449,0.4072784053955629
20,0,True,True,0.9910030799414205,0.5264950221095083,0.6126383028244748,0.15126403642668912,0.23575633653613837
21,2,False,True,0.3282583597493134,0.3518338180470433,0.5804287398778933,0.15295059785648768,0.33828129856707145
22,2,False,True,0.23210506535185305,0.40538716148526593,0.458730651686604,0.11926228296000783,0.3822785619855366
23,2,False,True,0.4111708062302567,0.5820953853960631,0.4595206723253866,0.24597432639647768,0.14886808597896103
