time,employee,source
4,1,seed_notice
4,16,seed_notice
4,18,seed_notice
5,9,neighbor_notice
5,20,neighbor_notice
6,3,neighbor_notice
6,4,neighbor_notice
6,13,neighbor_notice
7,2,neighbor_notice
7,5,neighbor_notice
7,14,neighbor_notice
7,17,neighbor_notice
7,21,neighbor_notice
8,7,neighbor_notice
8,10,neighbor_notice
8,11,neighbor_notice
8,12,neighbor_notice
8,15,neighbor_notice
8,19,neighbor_notice
9,0,neighbor_notice
9,8,neighbor_notice
10,6,neighbor_notice
10,23,neighbor_notice
15,22,neighbor_notice
