block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,t0_first_e,t0_first_both,t0_first_count,pre_first_e,pre_first_both,pre_first_count,post_first_e,post_first_both,post_first_count,pre_domestic_cohort_count,pre_domestic_later_e,post_customer_submissions,post_mean_belief_d,final_belief_d,final_informed
main,unchanged,0,17,1,1,1,1,0,0,8,3,0,5,2,1,1,11,14,19,3,1,19,16,14,11,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.0,0.375,3.6666666666666665,0.35714285714285715,0.5714285714285714,0.6428571428571429,0.14285714285714285,0.6571220226392197,0.4904040127339343,0.42105263157894735,0.42105263157894735,0.42857142857142855,4.0,3.0,121,70,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.5,0.1,10,4,0.5,9,0.4379153595708842,0.4536602972264309,0.0
main,unchanged,1,17,0,0,0,0,0,0,7,1,0,6,1,0,1,6,11,13,2,0,13,13,2,2,0.15384615384615385,0.15384615384615385,1.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.08333333333333333,4.0,0.0,0.0,0.5,0.5,0.3728748324844039,0.5407086517879497,0.5384615384615384,0.5384615384615384,1.0,3.0,3.0,109,44,0.2,0.0,5,0.125,0.0,8,0.0,0.0,5,7,0.14285714285714285,1,0.4490373558232081,0.430842497405379,0.0
main,no_notice,0,17,1,1,1,1,0,0,6,4,0,2,3,1,0,13,14,19,2,1,19,17,12,10,0.631578947368421,0.631578947368421,0.8947368421052632,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.0,0.3,3.6666666666666665,0.3333333333333333,0.75,0.7272727272727273,0.09090909090909091,0.633297119160225,0.48785068647500895,0.3157894736842105,0.3157894736842105,0.25,3.5384615384615383,3.0,98,66,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.3,0.1,10,4,0.25,7,0.45693394464238174,0.4456710610506491,0.0
main,no_notice,1,17,0,0,0,0,0,0,7,1,0,6,1,0,1,7,11,14,2,0,14,14,3,3,0.21428571428571427,0.21428571428571427,1.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.08333333333333333,4.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.38582994928608044,0.5407086517879497,0.5,0.5,0.6666666666666666,3.4285714285714284,3.0,106,50,0.2,0.0,5,0.125,0.0,8,0.16666666666666666,0.0,6,7,0.14285714285714285,2,0.4541252946321418,0.42082364073045214,0.0
main,immediate,0,17,1,1,1,1,0,0,6,3,0,3,2,1,0,13,14,19,1,1,19,18,9,8,0.47368421052631576,0.47368421052631576,0.9473684210526315,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.0,0.23076923076923078,4.0,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.6146892436978448,0.4876168954916696,0.3157894736842105,0.3157894736842105,0.3333333333333333,3.5384615384615383,3.0,107,68,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.1,0.0,10,4,0.25,4,0.7178820066991449,0.7168447254638596,1.0
main,immediate,1,17,0,0,0,0,0,0,7,1,0,6,1,0,1,7,11,14,2,0,14,14,3,3,0.21428571428571427,0.21428571428571427,1.0,0.9285714285714286,0.07142857142857142,0.0,0.0,0.15384615384615385,4.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38582994928608044,0.5407086517879497,0.5,0.5,0.6666666666666666,3.4285714285714284,3.0,106,49,0.2,0.0,5,0.125,0.0,8,0.0,0.0,6,7,0.14285714285714285,2,0.7191157512487258,0.7003424974053791,1.0
main,network_notice,0,17,1,1,1,1,0,0,6,3,0,3,2,1,0,13,14,19,1,1,19,18,9,8,0.47368421052631576,0.47368421052631576,0.9473684210526315,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.0,0.23076923076923078,4.0,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.6146892436978448,0.4876168954916696,0.3157894736842105,0.3157894736842105,0.3333333333333333,3.5384615384615383,3.0,107,68,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.1,0.0,10,4,0.25,4,0.6555153400324782,0.7168447254638596,1.0
main,network_notice,1,17,0,0,0,0,0,0,7,1,0,6,1,0,1,7,11,14,2,0,14,14,3,3,0.21428571428571427,0.21428571428571427,1.0,0.9285714285714286,0.07142857142857142,0.0,0.0,0.15384615384615385,4.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38582994928608044,0.5407086517879497,0.5,0.5,0.6666666666666666,3.4285714285714284,3.0,106,49,0.2,0.0,5,0.125,0.0,8,0.0,0.0,6,7,0.14285714285714285,2,0.6502574179153926,0.6886758307387124,0.9583333333333334
learning_off,unchanged,0,17,1,1,1,1,0,0,9,4,0,5,2,2,0,10,14,19,1,2,19,15,14,10,0.7368421052631579,0.7368421052631579,0.7894736842105263,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.0,0.375,4.0,0.35714285714285715,0.5,0.7142857142857143,0.14285714285714285,0.6571220226392197,0.4904040127339343,0.47368421052631576,0.47368421052631576,0.5,3.8,3.0,122,66,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.4,0.2,10,4,0.5,9,0.43674905812536646,0.4367490581253664,0.0
learning_off,unchanged,1,17,0,0,0,0,0,0,7,1,0,6,1,0,1,6,11,13,2,0,13,13,2,2,0.15384615384615385,0.15384615384615385,1.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.08333333333333333,4.0,0.0,0.0,0.5,0.5,0.3728748324844039,0.5407086517879497,0.5384615384615384,0.5384615384615384,1.0,3.0,3.0,109,44,0.2,0.0,5,0.125,0.0,8,0.0,0.0,5,7,0.14285714285714285,1,0.44747944648586807,0.44747944648586807,0.0
