time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,mean_belief_d,mean_belief_e,informed_share,disputed_share,block,arm,seed
0,7,7,7,5,5,0,7,7,0,0,5,5,0,0,7,7,0,0,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,unchanged,0
1,0,0,0,0,0,0,7,7,0,0,5,5,0,0,7,7,5,5,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,unchanged,0
2,1,1,1,1,0,0,8,7,0,1,6,4,0,0,8,8,5,5,0.4367490581253664,0.4675723531046178,0.0,0.3333333333333333,main,unchanged,0
3,1,1,1,2,0,1,4,3,0,1,3,0,5,5,9,9,6,5,0.4367490581253664,0.45541076586004253,0.0,0.375,main,unchanged,0
4,1,1,1,0,1,0,5,4,0,1,3,1,0,5,10,10,3,0,0.4700466922061972,0.47387785420047207,0.0,0.20833333333333334,main,unchanged,0
5,0,0,0,0,0,0,5,3,0,2,2,1,0,5,10,10,3,1,0.4700466922061972,0.47387785420047207,0.0,0.20833333333333334,main,unchanged,0
6,1,1,1,1,1,1,6,3,0,3,1,2,0,5,10,11,2,1,0.46248376370680444,0.48583138970643786,0.0,0.25,main,unchanged,0
7,1,1,1,0,2,1,6,4,0,2,1,3,1,6,10,12,1,2,0.4087535023697475,0.4675723531046178,0.0,0.2916666666666667,main,unchanged,0
8,0,0,0,0,0,0,6,4,0,2,1,3,0,6,10,12,1,3,0.4087535023697475,0.47594335372033236,0.0,0.25,main,unchanged,0
9,1,1,1,1,2,1,6,3,0,3,1,3,1,7,10,13,1,3,0.41491855213204504,0.47594335372033236,0.0,0.2916666666666667,main,unchanged,0
10,1,1,1,1,0,0,6,3,0,3,2,2,1,8,11,14,1,4,0.4246387038991086,0.4672979389979331,0.0,0.2916666666666667,main,unchanged,0
11,2,2,2,1,1,0,8,4,0,4,3,2,0,8,12,16,2,2,0.4246387038991086,0.47386968278442776,0.0,0.3333333333333333,main,unchanged,0
12,0,0,0,0,0,0,8,3,0,5,2,1,0,8,12,16,3,3,0.4246387038991086,0.46139307900491594,0.0,0.3333333333333333,main,unchanged,0
13,1,1,1,0,1,0,8,2,0,6,1,1,1,9,13,17,2,1,0.4259674300270815,0.45861684683205756,0.0,0.375,main,unchanged,0
14,0,0,0,2,0,2,7,3,0,4,2,1,1,10,13,17,1,2,0.43316860262675755,0.4349546552557579,0.0,0.3333333333333333,main,unchanged,0
15,1,1,1,0,1,0,8,3,0,5,2,1,0,10,14,18,2,1,0.4491513570151225,0.44808389425913214,0.0,0.3333333333333333,main,unchanged,0
16,0,0,0,1,0,1,8,4,0,4,3,1,0,10,14,18,2,2,0.4599485304089208,0.4536818658989215,0.0,0.3333333333333333,main,unchanged,0
17,1,1,1,1,0,0,8,3,0,5,2,1,1,11,14,19,3,1,0.4536602972264309,0.4619092990209124,0.0,0.375,main,unchanged,0
0,5,5,5,4,1,0,5,5,0,0,4,1,0,0,5,5,0,0,0.447479446485868,0.451172748634774,0.0,0.20833333333333334,main,unchanged,1
1,0,0,0,0,0,0,5,5,0,0,4,1,0,0,5,5,4,1,0.447479446485868,0.451172748634774,0.0,0.20833333333333334,main,unchanged,1
2,3,3,3,3,0,0,8,7,0,1,7,0,0,0,8,8,4,1,0.447479446485868,0.451172748634774,0.0,0.3333333333333333,main,unchanged,1
3,0,0,0,1,0,1,7,4,0,3,4,0,1,1,8,8,7,1,0.447479446485868,0.43887561695142646,0.0,0.3333333333333333,main,unchanged,1
4,0,0,0,0,1,1,7,5,0,2,4,1,0,1,8,8,4,0,0.4372355801587912,0.43887561695142646,0.0,0.2916666666666667,main,unchanged,1
5,0,0,0,0,0,0,4,2,0,2,1,1,3,4,8,8,4,1,0.4372355801587912,0.43887561695142646,0.0,0.2916666666666667,main,unchanged,1
6,1,1,1,1,0,0,5,2,0,3,1,1,0,4,8,9,1,1,0.4687185401303959,0.451172748634774,0.0,0.20833333333333334,main,unchanged,1
