case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,,,3.0,3.0,3.0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,,3.0,closed_unresolved,successful,3.0,e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,2.0,3.0,no_remedy,,3.0,3.0,3.0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,remedy_supported,3.0,,17.0,17.0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,5.0,2.0,no_remedy,,,17.0,17.0
15:0,15,0,0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3069934567044812,True,0.4885520594250266,2.0,5.0,no_remedy,,,17.0,17.0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,,3.0,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.5530645440977425,True,0.41144794057497336,2.0,3.0,no_remedy,,,17.0,17.0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,,3.0,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.9910030799414205,True,0.4885520594250266,2.0,3.0,no_remedy,,,17.0,17.0
1:2,1,1,2,2,2.0,5.0,4.0,7.0,,7.0,,8.0,closed_unresolved,successful,8.0,e,1.0,d,resolved,0.24074774781101047,True,0.41144794057497336,4.0,8.0,no_remedy,,6.0,6.0,6.0
19:3,19,2,3,3,3.0,,5.0,,5.0,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.9814794797950086,True,0.6,6.0,,remedy_supported,6.0,3.0,3.0,3.0
18:4,18,0,4,4,4.0,4.0,6.0,6.0,,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d+e,resolved,0.6740976743403817,True,0.4885520594250266,6.0,7.0,no_remedy,,3.0,3.0,3.0
4:6,4,0,6,6,6.0,9.0,8.0,11.0,8.0,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3990985278901817,True,0.4885520594250266,8.0,11.0,no_remedy,,,11.0,11.0
2:7,2,2,7,7,10.0,7.0,12.0,9.0,12.0,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.8773272286998643,True,0.6,12.0,9.0,no_remedy,,,10.0,10.0
10:10,10,1,10,10,10.0,,12.0,,,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.6297372338144666,True,0.41144794057497336,13.0,,remedy_supported,13.0,3.0,3.0,3.0
6:11,6,0,11,11,11.0,14.0,13.0,16.0,13.0,16.0,,17.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6421412513809208,True,0.4885520594250266,13.0,17.0,no_remedy,,,6.0,6.0
19:11,19,2,11,11,11.0,14.0,13.0,16.0,13.0,16.0,,17.0,closed_unresolved,successful,17.0,e,1.0,d,resolved,0.9814794797950086,True,0.6,13.0,17.0,no_remedy,,6.0,6.0,6.0
12:13,12,0,13,13,13.0,,15.0,,,,16.0,,successful,unused,16.0,d,1.0,d,resolved,0.6772606288104934,True,0.4885520594250266,16.0,,remedy_supported,16.0,3.0,3.0,3.0
8:15,8,1,15,15,15.0,,17.0,,,,18.0,,awaiting_implementation,unused,,,0.0,d,pending,0.6186634072313681,True,0.41144794057497336,,,remedy_supported,,,2.0,2.0
10:17,10,1,17,17,17.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.6297372338144666,True,0.41144794057497336,,,,,,0.0,0.0
