time,case_id,employee,event
0,2:0,2,dispute_created
0,4:0,4,dispute_created
0,5:0,5,dispute_created
0,7:0,7,dispute_created
0,15:0,15,dispute_created
0,17:0,17,dispute_created
0,20:0,20,dispute_created
0,2:0,2,customer_received
0,4:0,4,domestic_received
0,4:0,4,customer_received
0,5:0,5,domestic_received
0,7:0,7,customer_received
0,15:0,15,domestic_received
0,17:0,17,domestic_received
0,17:0,17,customer_received
0,20:0,20,domestic_received
0,20:0,20,customer_received
2,1:2,1,dispute_created
2,1:2,1,domestic_received
2,4:0,4,domestic_responded
2,4:0,4,domestic_material_not_issued
2,4:0,4,domestic_no_remedy
2,5:0,5,domestic_responded
2,5:0,5,domestic_material_issued
2,5:0,5,domestic_remedy_supported
2,15:0,15,domestic_responded
2,15:0,15,domestic_material_not_issued
2,15:0,15,domestic_no_remedy
2,17:0,17,domestic_responded
2,17:0,17,domestic_material_issued
2,17:0,17,domestic_no_remedy
2,20:0,20,domestic_responded
2,20:0,20,domestic_material_not_issued
2,20:0,20,domestic_no_remedy
2,2:0,2,customer_reviewed
2,2:0,2,customer_intervened
2,4:0,4,customer_reviewed
2,4:0,4,customer_intervened
2,7:0,7,customer_reviewed
2,7:0,7,customer_declined
2,17:0,17,customer_reviewed
2,17:0,17,customer_intervened
2,20:0,20,customer_reviewed
2,20:0,20,customer_intervened
3,19:3,19,dispute_created
3,7:0,7,domestic_received
3,15:0,15,customer_received
3,19:3,19,domestic_received
3,5:0,5,domestic_implementation_failure
3,4:0,4,firm_case_processed
3,4:0,4,customer_firm_success
3,20:0,20,firm_case_processed
3,20:0,20,customer_firm_failure
3,17:0,17,firm_case_processed
3,17:0,17,customer_firm_failure
3,2:0,2,firm_case_processed
3,2:0,2,customer_firm_success
3,2:0,2,case_resolved
3,4:0,4,case_resolved
4,18:4,18,dispute_created
4,18:4,18,customer_received
4,1:2,1,domestic_responded
4,1:2,1,domestic_material_not_issued
4,1:2,1,domestic_no_remedy
5,1:2,1,customer_received
5,7:0,7,domestic_responded
5,7:0,7,domestic_material_issued
5,7:0,7,domestic_no_remedy
5,19:3,19,domestic_responded
5,19:3,19,domestic_material_issued
5,19:3,19,domestic_remedy_supported
5,15:0,15,customer_reviewed
5,15:0,15,customer_declined
6,4:6,4,dispute_created
6,4:6,4,domestic_received
6,4:6,4,customer_received
6,18:4,18,customer_reviewed
6,18:4,18,customer_intervened
6,19:3,19,domestic_implementation_success
6,19:3,19,case_resolved
7,2:7,2,dispute_created
7,2:7,2,customer_received
7,1:2,1,customer_reviewed
7,1:2,1,customer_intervened
7,18:4,18,firm_case_processed
7,18:4,18,customer_firm_success
7,18:4,18,case_resolved
8,4:6,4,domestic_responded
8,4:6,4,domestic_material_issued
8,4:6,4,domestic_no_remedy
8,4:6,4,customer_reviewed
8,4:6,4,customer_declined
8,1:2,1,firm_case_processed
8,1:2,1,customer_firm_success
8,1:2,1,case_resolved
9,2:7,2,customer_reviewed
9,2:7,2,customer_declined
10,10:10,10,dispute_created
10,10:10,10,domestic_received
11,6:11,6,dispute_created
11,19:11,19,dispute_created
11,6:11,6,domestic_received
11,19:11,19,domestic_received
12,10:10,10,domestic_responded
12,10:10,10,domestic_material_not_issued
12,10:10,10,domestic_remedy_supported
13,12:13,12,dispute_created
13,12:13,12,customer_received
13,6:11,6,domestic_responded
13,6:11,6,domestic_material_issued
13,6:11,6,domestic_no_remedy
13,19:11,19,domestic_responded
13,19:11,19,domestic_material_issued
13,19:11,19,domestic_no_remedy
13,10:10,10,domestic_implementation_success
13,10:10,10,case_resolved
14,2:7,2,domestic_received
14,6:11,6,customer_received
14,19:11,19,customer_received
15,8:15,8,dispute_created
15,8:15,8,customer_received
15,12:13,12,customer_reviewed
15,12:13,12,customer_declined
16,12:13,12,domestic_received
16,2:7,2,domestic_responded
16,2:7,2,domestic_material_issued
16,2:7,2,domestic_remedy_supported
16,6:11,6,customer_reviewed
16,6:11,6,customer_intervened
16,19:11,19,customer_reviewed
16,19:11,19,customer_intervened
17,10:17,10,dispute_created
17,10:17,10,domestic_received
17,8:15,8,customer_reviewed
17,8:15,8,customer_intervened
17,2:7,2,domestic_implementation_success
17,6:11,6,firm_case_processed
17,6:11,6,customer_firm_failure
17,19:11,19,firm_case_processed
17,19:11,19,customer_firm_success
17,2:7,2,case_resolved
17,19:11,19,case_resolved
