block,treatment,control,metric,mean_difference,sd_difference,n,se_difference
main,no_notice,unchanged,post_mean_belief_d,0.0030188891413828467,0.0006788331140381802,2,0.0004800074982303781
main,no_notice,unchanged,post_first_e,-0.02777777777777779,0.039283710065919325,2,0.02777777777777779
main,no_notice,unchanged,post_first_both,-0.0069444444444444475,0.009820927516479831,2,0.0069444444444444475
main,no_notice,unchanged,pre_domestic_later_e,0.0,0.0,2,0.0
main,no_notice,unchanged,customer_share_all_cases,-0.022875816993464027,0.03235129064252175,2,0.022875816993464027
main,no_notice,unchanged,unresolved_fraction,-0.09120617944147352,0.00042014663172112483,2,0.00029708853238269434
main,no_notice,unchanged,post_customer_submissions,0.0,0.0,2,0.0
main,immediate,no_notice,post_mean_belief_d,0.26530924400199973,0.006734746004610105,2,0.004762184569428812
main,immediate,no_notice,post_first_e,-0.16666666666666666,0.23570226039551584,2,0.16666666666666666
main,immediate,no_notice,post_first_both,0.0,0.0,2,0.0
main,immediate,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
main,immediate,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
main,immediate,no_notice,unresolved_fraction,0.0,0.0,2,0.0
main,immediate,no_notice,post_customer_submissions,-1.0,1.4142135623730951,2,1.0
main,network_notice,no_notice,post_mean_belief_d,0.1999759106686664,0.002633526673728188,2,0.0018621845694288541
main,network_notice,no_notice,post_first_e,-0.16666666666666666,0.23570226039551584,2,0.16666666666666666
main,network_notice,no_notice,post_first_both,0.0,0.0,2,0.0
main,network_notice,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
main,network_notice,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
main,network_notice,no_notice,unresolved_fraction,0.0,0.0,2,0.0
main,network_notice,no_notice,post_customer_submissions,-1.0,1.4142135623730951,2,1.0
main,immediate,network_notice,post_mean_belief_d,0.0653333333333333,0.004101219330881916,2,0.0028999999999999577
main,immediate,network_notice,post_first_e,0.0,0.0,2,0.0
main,immediate,network_notice,post_first_both,0.0,0.0,2,0.0
main,immediate,network_notice,pre_domestic_later_e,0.0,0.0,2,0.0
main,immediate,network_notice,customer_share_all_cases,0.0,0.0,2,0.0
main,immediate,network_notice,unresolved_fraction,0.0,0.0,2,0.0
main,immediate,network_notice,post_customer_submissions,0.0,0.0,2,0.0
learning_off,no_notice,unchanged,post_mean_belief_d,0.0,0.0,2,0.0
learning_off,no_notice,unchanged,post_first_e,-0.02777777777777779,0.039283710065919325,2,0.02777777777777779
learning_off,no_notice,unchanged,post_first_both,-0.0069444444444444475,0.009820927516479831,2,0.0069444444444444475
learning_off,no_notice,unchanged,pre_domestic_later_e,0.0,0.0,2,0.0
learning_off,no_notice,unchanged,customer_share_all_cases,-0.022875816993464027,0.03235129064252175,2,0.022875816993464027
learning_off,no_notice,unchanged,unresolved_fraction,-0.06342840166369573,0.0388635634341982,2,0.027480689245395096
learning_off,no_notice,unchanged,post_customer_submissions,0.0,0.0,2,0.0
learning_off,immediate,no_notice,post_mean_belief_d,0.28,5.551115123125783e-17,2,3.925231146709437e-17
learning_off,immediate,no_notice,post_first_e,-0.2222222222222222,0.31426968052735443,2,0.22222222222222218
learning_off,immediate,no_notice,post_first_both,0.0,0.0,2,0.0
learning_off,immediate,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
learning_off,immediate,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
