time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,mean_belief_d,mean_belief_e,informed_share,disputed_share,block,arm,seed
0,7,7,7,5,5,0,7,7,0,0,5,5,0,0,0,5,0,0,7,7,0,0,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,unchanged,0
1,0,0,0,0,0,0,7,7,0,0,5,5,0,0,0,5,0,0,7,7,5,5,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,unchanged,0
2,1,1,1,1,0,0,8,6,0,2,2,1,1,1,0,4,0,0,8,8,5,5,0.4367490581253664,0.4675723531046178,0.0,0.3333333333333333,main,unchanged,0
3,1,1,1,2,1,2,7,4,0,3,3,3,0,0,0,1,2,2,9,9,6,5,0.40674774470202646,0.45541076586004253,0.0,0.375,main,unchanged,0
4,1,1,1,0,1,0,8,4,0,4,2,2,0,0,0,2,0,2,10,10,3,1,0.40150502553953055,0.47387785420047207,0.0,0.3333333333333333,main,unchanged,0
5,0,0,0,0,1,1,8,3,0,5,1,0,1,1,0,2,0,2,10,10,3,2,0.3987337637068044,0.47387785420047207,0.0,0.3333333333333333,main,unchanged,0
6,1,1,1,1,1,0,8,3,0,5,1,1,0,0,1,3,1,3,10,11,2,3,0.41365011474702745,0.4808531955767535,0.0,0.375,main,unchanged,0
7,1,1,1,0,1,0,8,3,0,5,1,1,0,0,0,3,1,4,10,12,1,3,0.4352118357030809,0.4634010309075007,0.0,0.375,main,unchanged,0
8,0,0,0,0,0,0,7,1,0,6,0,0,0,0,0,1,1,5,10,12,1,3,0.44304355213204505,0.47139409668053406,0.0,0.3333333333333333,main,unchanged,0
9,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,5,10,12,1,2,0.4407293221108997,0.47308159310241343,0.0,0.2916666666666667,main,unchanged,0
10,1,1,1,1,0,0,8,1,0,7,1,1,0,0,0,0,0,5,11,13,0,1,0.4246387038991086,0.4553400532839515,0.0,0.3333333333333333,main,unchanged,0
11,2,2,2,2,0,0,10,3,0,7,3,3,0,0,0,0,0,5,12,15,1,0,0.4246387038991086,0.4481874961007763,0.0,0.4166666666666667,main,unchanged,0
12,0,0,0,0,0,0,10,2,0,8,2,2,0,0,0,0,0,5,12,15,3,0,0.4367490581253664,0.44809416396292073,0.0,0.4166666666666667,main,unchanged,0
13,1,1,1,0,1,0,11,1,0,10,0,0,0,0,0,1,0,5,13,16,3,0,0.4314512816370553,0.4675723531046178,0.0,0.4583333333333333,main,unchanged,0
14,0,0,0,0,2,2,11,3,0,8,0,0,0,0,0,3,0,5,13,16,2,1,0.4123759608998056,0.4675723531046178,0.0,0.4583333333333333,main,unchanged,0
15,1,1,1,0,1,0,12,3,0,9,0,0,0,0,0,3,0,5,14,17,0,3,0.4123759608998056,0.4675723531046178,0.0,0.5,main,unchanged,0
16,0,0,0,1,0,1,12,4,0,8,1,1,0,0,0,3,0,5,14,17,0,4,0.41650439438398235,0.4619092990209124,0.0,0.5,main,unchanged,0
