scenario,seed,time,new_disputes,new_complaints,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
no_response,0,49,0,0,0,101,98,0,0,98,101,3,3,3,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
no_response,1,49,0,0,0,84,77,0,0,77,84,7,7,7,0,0,0,0,77,1.0,1.0,,1.0,0.0,0.0
no_response,2,49,0,0,0,92,89,0,0,89,92,3,3,3,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
no_response,3,49,0,0,0,89,6,0,0,6,89,83,83,83,0,0,0,0,6,1.0,1.0,,1.0,0.0,0.0
no_response,4,49,0,0,0,102,99,0,0,99,102,3,3,3,0,0,0,0,99,1.0,1.0,,1.0,0.0,0.0
no_response,5,49,0,0,0,96,95,0,0,95,96,1,1,1,0,0,0,0,95,1.0,1.0,,1.0,0.0,0.0
no_response,6,49,0,0,0,94,87,0,0,87,94,7,7,7,0,0,0,0,87,1.0,1.0,,1.0,0.0,0.0
no_response,7,49,0,0,0,93,85,0,0,85,93,8,8,8,0,0,0,0,85,1.0,1.0,,1.0,0.0,0.0
no_response,8,49,0,0,0,99,96,0,0,96,99,3,3,3,0,0,0,0,96,1.0,1.0,,1.0,0.0,0.0
no_response,9,49,0,0,0,102,98,0,0,98,102,4,4,4,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
no_response,10,49,0,0,0,97,91,0,0,91,97,6,6,6,0,0,0,0,91,1.0,1.0,,1.0,0.0,0.0
no_response,11,49,0,0,0,85,83,0,0,83,85,2,2,2,0,0,0,0,83,1.0,1.0,,1.0,0.0,0.0
no_response,12,49,0,0,0,102,97,0,0,97,102,5,5,5,0,0,0,0,97,1.0,1.0,,1.0,0.0,0.0
no_response,13,49,0,0,0,96,94,0,0,94,96,2,2,2,0,0,0,0,94,1.0,1.0,,1.0,0.0,0.0
no_response,14,49,0,0,0,93,89,0,0,89,93,4,4,4,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
no_response,15,49,0,0,0,97,16,0,0,16,97,81,81,81,0,0,0,0,16,1.0,1.0,,1.0,0.0,0.0
no_response,16,49,0,0,0,85,72,0,0,72,85,13,13,13,0,0,0,0,72,1.0,1.0,,1.0,0.0,0.0
no_response,17,49,0,0,0,96,88,0,0,88,96,8,8,8,0,0,0,0,88,1.0,1.0,,1.0,0.0,0.0
no_response,18,49,0,0,0,87,81,0,0,81,87,6,6,6,0,0,0,0,81,1.0,1.0,,1.0,0.0,0.0
no_response,19,49,0,0,0,102,102,0,0,102,102,0,0,0,0,0,0,0,102,1.0,1.0,,1.0,0.0,0.0
immediate,0,49,0,0,0,94,0,0,7,7,101,94,94,94,0,0,0,0,7,0.9306930693069307,0.0,0.0,1.0,0.0,0.0
immediate,1,49,0,0,0,73,0,0,11,11,84,73,73,73,0,0,0,0,11,0.8690476190476191,0.0,0.6363636363636364,1.0,0.0,0.0
immediate,2,49,0,0,0,67,0,0,25,25,92,67,67,67,0,0,0,0,25,0.7282608695652174,0.0,0.68,1.0,0.0,0.0
immediate,3,49,0,0,0,85,0,0,4,4,89,85,85,85,0,0,0,0,4,0.9550561797752809,0.0,2.0,1.0,0.0,0.0
immediate,4,49,0,0,0,93,0,0,9,9,102,93,93,93,0,0,0,0,9,0.9117647058823529,0.0,0.2222222222222222,1.0,0.0,0.0
immediate,5,49,0,0,0,85,0,0,11,11,96,85,85,85,0,0,0,0,11,0.8854166666666666,0.0,0.45454545454545453,1.0,0.0,0.0
immediate,6,49,0,0,0,60,0,0,34,34,94,60,60,60,0,0,0,0,34,0.6382978723404256,0.0,1.5588235294117647,1.0,0.0,0.0
immediate,7,49,0,0,0,74,0,0,19,19,93,74,74,74,0,0,0,0,19,0.7956989247311828,0.0,0.6842105263157895,1.0,0.0,0.0
immediate,8,49,0,0,0,89,0,0,10,10,99,89,89,89,0,0,0,0,10,0.898989898989899,0.0,0.7,1.0,0.0,0.0
immediate,9,49,0,0,0,93,0,0,9,9,102,93,93,93,0,0,0,0,9,0.9117647058823529,0.0,0.7777777777777778,1.0,0.0,0.0
immediate,10,49,0,0,0,91,0,0,6,6,97,91,91,91,0,0,0,0,6,0.9381443298969072,0.0,0.3333333333333333,1.0,0.0,0.0
