comparison,metric,mean_difference,sd_difference,n
delayed minus immediate,unresolved,-66.75,23.69071548096427,20
delayed minus immediate,pending,0.0,0.0,20
delayed minus immediate,cumulative_complainants,66.75,23.69071548096427,20
delayed minus immediate,cumulative_resolved,66.75,23.69071548096427,20
delayed minus immediate,total_submitted,66.75,23.69071548096427,20
delayed minus immediate,unresolved_fraction,-0.7010434458172602,0.23394863366908975,20
delayed minus immediate,submitted_unresolved_fraction,0.0,0.0,20
delayed minus immediate,mean_processing_time,4.543717515618988,0.6449184987155255,20
delayed minus immediate,domestic_case_share,0.0,0.0,20
delayed minus immediate,external_case_share,0.0,0.0,20
delayed minus immediate,multi_case_share,0.0,0.0,20
immediate minus no_response,unresolved,-13.4,8.413022487098264,20
immediate minus no_response,pending,-82.15,25.590448464838968,20
immediate minus no_response,cumulative_complainants,-68.75,23.62174511134313,20
immediate minus no_response,cumulative_resolved,13.4,8.413022487098264,20
immediate minus no_response,total_submitted,-68.75,23.62174511134313,20
immediate minus no_response,unresolved_fraction,-0.14165818467636232,0.08894748421818194,20
immediate minus no_response,submitted_unresolved_fraction,-1.0,0.0,20
immediate minus no_response,mean_processing_time,,,0
immediate minus no_response,domestic_case_share,0.0,0.0,20
immediate minus no_response,external_case_share,0.0,0.0,20
immediate minus no_response,multi_case_share,0.0,0.0,20
new_on_prevention minus new_on,unresolved,-8.75,7.839676416523163,20
new_on_prevention minus new_on,pending,-0.25,0.5501196042201808,20
new_on_prevention minus new_on,cumulative_complainants,-7.4,5.959512519802623,20
new_on_prevention minus new_on,cumulative_resolved,-14.95,7.701503612590002,20
new_on_prevention minus new_on,total_submitted,-15.2,7.904695473344675,20
new_on_prevention minus new_on,unresolved_fraction,0.05949124746960925,0.04232271257465296,20
new_on_prevention minus new_on,submitted_unresolved_fraction,-0.0024802700525643866,0.0124826590511496,20
new_on_prevention minus new_on,mean_processing_time,-0.025952681396630862,0.11496059413846703,20
new_on_prevention minus new_on,domestic_case_share,0.0,0.0,20
new_on_prevention minus new_on,external_case_share,0.0,0.0,20
new_on_prevention minus new_on,multi_case_share,0.0,0.0,20
new_on minus immediate,unresolved,38.05,10.127996632576142,20
new_on minus immediate,pending,0.4,0.5982430416161189,20
new_on minus immediate,cumulative_complainants,16.25,9.060469373225533,20
new_on minus immediate,cumulative_resolved,29.35,12.625267063355636,20
new_on minus immediate,total_submitted,29.75,12.731539783669447,20
new_on minus immediate,unresolved_fraction,-0.11697213445662376,0.0668256052746486,20
new_on minus immediate,submitted_unresolved_fraction,0.00887969832699266,0.013642461231796459,20
new_on minus immediate,mean_processing_time,0.025898966369094695,0.42201043908138525,20
new_on minus immediate,domestic_case_share,0.0,0.0,20
new_on minus immediate,external_case_share,0.0,0.0,20
new_on minus immediate,multi_case_share,0.0,0.0,20
