,unresolved,unresolved,unresolved,pending,pending,pending,cumulative_complainants,cumulative_complainants,cumulative_complainants,cumulative_resolved,cumulative_resolved,cumulative_resolved,total_submitted,total_submitted,total_submitted,unresolved_fraction,unresolved_fraction,unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,mean_processing_time,mean_processing_time,domestic_case_share,domestic_case_share,domestic_case_share,external_case_share,external_case_share,external_case_share,multi_case_share,multi_case_share,multi_case_share
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_delayed,9.25,19.547176401290233,20,0.0,0.0,20,85.35,22.37779679668408,20,85.35,22.37779679668408,20,85.35,22.37779679668408,20,0.10267416883813556,0.2241878508625966,20,0.0,0.0,20,5.499298362354812,0.40962987382159716,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
ba_immediate,78.35,11.49496457264292,20,0.0,0.0,20,16.25,10.597293596902341,20,16.25,10.597293596902341,20,16.25,10.597293596902341,20,0.8284939732339274,0.10938208092257869,20,0.0,0.0,20,0.6881990303942703,0.4520702792570421,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
ba_none,94.6,6.047182902197648,20,85.75,22.06897083427794,20,85.75,22.06897083427794,20,0.0,0.0,20,85.75,22.06897083427794,20,1.0,0.0,20,1.0,0.0,20,,,0,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
channels_delayed,14.45,23.694269793615323,20,0.0,0.0,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,0.1572983695063774,0.25686741666414226,20,0.0,0.0,20,5.210062705229982,0.38207311481327755,20,0.8240775550494941,0.053917869736298765,20,0.17592244495050577,0.05391786973629878,20,0.0,0.0,20
channels_immediate,81.2,9.939818911831342,20,0.0,0.0,20,13.4,8.413022487098264,20,13.4,8.413022487098264,20,13.4,8.413022487098264,20,0.8583418153236376,0.08894748421818195,20,0.0,0.0,20,0.6979702665755297,0.49186372949136087,20,0.8505079231054463,0.12641131039464878,20,0.14949207689455368,0.12641131039464878,20,0.0,0.0,20
delay_2,24.5,23.607536709146174,20,0.0,0.0,20,70.1,25.62872565984053,20,70.1,25.62872565984053,20,70.1,25.62872565984053,20,0.26349320068003285,0.2559741471525444,20,0.0,0.0,20,3.2204826218120743,0.37893789316316767,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
delay_8,12.5,23.961592074335172,20,0.0,0.0,20,82.1,25.602014723352085,20,82.1,25.602014723352085,20,82.1,25.602014723352085,20,0.13492555592262656,0.258993548021331,20,0.0,0.0,20,9.30468100292213,0.4965516248900194,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
delayed,14.45,23.694269793615323,20,0.0,0.0,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,0.1572983695063774,0.25686741666414226,20,0.0,0.0,20,5.25046229199844,0.40968584566904015,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
