time,case_id,employee,event
0,0:0,0,created
0,1:0,1,created
0,2:0,2,created
0,5:0,5,created
0,7:0,7,created
0,8:0,8,created
0,11:0,11,created
0,12:0,12,created
0,13:0,13,created
0,14:0,14,created
0,15:0,15,created
0,16:0,16,created
0,17:0,17,created
0,26:0,26,created
0,27:0,27,created
0,31:0,31,created
0,33:0,33,created
0,34:0,34,created
0,35:0,35,created
0,36:0,36,created
0,37:0,37,created
0,38:0,38,created
0,39:0,39,created
0,40:0,40,created
0,41:0,41,created
0,42:0,42,created
0,43:0,43,created
0,46:0,46,created
0,49:0,49,created
0,51:0,51,created
0,52:0,52,created
0,53:0,53,created
0,54:0,54,created
0,58:0,58,created
0,59:0,59,created
0,62:0,62,created
0,63:0,63,created
0,64:0,64,created
0,65:0,65,created
0,67:0,67,created
0,70:0,70,created
0,72:0,72,created
0,73:0,73,created
0,77:0,77,created
0,79:0,79,created
0,81:0,81,created
0,82:0,82,created
0,83:0,83,created
0,84:0,84,created
0,85:0,85,created
0,86:0,86,created
0,87:0,87,created
0,88:0,88,created
0,90:0,90,created
0,91:0,91,created
0,93:0,93,created
0,94:0,94,created
0,95:0,95,created
0,97:0,97,created
0,100:0,100,created
0,103:0,103,created
0,104:0,104,created
0,105:0,105,created
0,108:0,108,created
0,109:0,109,created
0,112:0,112,created
0,113:0,113,created
0,116:0,116,created
0,117:0,117,created
0,119:0,119,created
0,122:0,122,created
0,124:0,124,created
0,125:0,125,created
0,126:0,126,created
0,128:0,128,created
0,130:0,130,created
0,131:0,131,created
0,134:0,134,created
0,135:0,135,created
0,138:0,138,created
0,139:0,139,created
0,140:0,140,created
0,141:0,141,created
0,142:0,142,created
0,143:0,143,created
0,144:0,144,created
0,146:0,146,created
0,148:0,148,created
0,149:0,149,created
0,150:0,150,created
0,157:0,157,created
0,158:0,158,created
0,159:0,159,created
0,14:0,14,received
0,15:0,15,received
0,16:0,16,received
0,34:0,34,received
0,43:0,43,received
0,53:0,53,received
0,67:0,67,received
0,90:0,90,received
0,124:0,124,received
0,16:0,16,responded
0,67:0,67,responded
0,16:0,16,attempted
0,67:0,67,attempted
0,53:0,53,responded
0,53:0,53,attempted
0,53:0,53,resolved
0,15:0,15,responded
0,34:0,34,responded
0,124:0,124,responded
0,15:0,15,attempted
0,15:0,15,resolved
0,34:0,34,attempted
0,124:0,124,attempted
0,14:0,14,responded
0,14:0,14,attempted
0,14:0,14,resolved
0,90:0,90,responded
0,90:0,90,attempted
0,90:0,90,resolved
0,43:0,43,responded
0,43:0,43,attempted
0,43:0,43,resolved
1,40:0,40,received
1,70:0,70,received
1,138:0,138,received
1,157:0,157,received
1,157:0,157,responded
1,157:0,157,attempted
1,157:0,157,resolved
1,16:0,16,attempted
1,16:0,16,resolved
1,67:0,67,attempted
1,67:0,67,resolved
1,138:0,138,responded
1,138:0,138,attempted
1,34:0,34,attempted
1,34:0,34,resolved
1,124:0,124,attempted
1,124:0,124,resolved
1,70:0,70,responded
1,70:0,70,attempted
1,70:0,70,resolved
1,40:0,40,responded
1,40:0,40,attempted
2,35:0,35,received
2,104:0,104,received
2,104:0,104,responded
2,104:0,104,attempted
2,138:0,138,attempted
2,138:0,138,resolved
2,35:0,35,responded
2,35:0,35,attempted
2,40:0,40,attempted
2,40:0,40,resolved
3,109:0,109,received
3,125:0,125,received
3,125:0,125,responded
3,125:0,125,attempted
3,104:0,104,attempted
3,104:0,104,resolved
3,109:0,109,responded
3,109:0,109,attempted
3,35:0,35,attempted
4,64:0,64,received
4,73:0,73,received
4,125:0,125,attempted
4,125:0,125,resolved
4,64:0,64,responded
4,64:0,64,attempted
4,64:0,64,resolved
4,109:0,109,attempted
4,73:0,73,responded
4,73:0,73,attempted
4,73:0,73,resolved
4,35:0,35,attempted
4,35:0,35,resolved
5,109:0,109,attempted
6,109:0,109,attempted
6,109:0,109,resolved
