time,case_id,employee,event
0,0:0,0,created
0,1:0,1,created
0,2:0,2,created
0,3:0,3,created
0,5:0,5,created
0,6:0,6,created
0,7:0,7,created
0,9:0,9,created
0,11:0,11,created
0,13:0,13,created
0,15:0,15,created
0,16:0,16,created
0,17:0,17,created
0,18:0,18,created
0,19:0,19,created
0,20:0,20,created
0,21:0,21,created
0,23:0,23,created
0,25:0,25,created
0,27:0,27,created
0,29:0,29,created
0,30:0,30,created
0,35:0,35,created
0,36:0,36,created
0,37:0,37,created
0,38:0,38,created
0,39:0,39,created
0,40:0,40,created
0,42:0,42,created
0,43:0,43,created
0,44:0,44,created
0,47:0,47,created
0,49:0,49,created
0,50:0,50,created
0,54:0,54,created
0,55:0,55,created
0,59:0,59,created
0,60:0,60,created
0,61:0,61,created
0,63:0,63,created
0,65:0,65,created
0,66:0,66,created
0,67:0,67,created
0,68:0,68,created
0,69:0,69,created
0,70:0,70,created
0,71:0,71,created
0,74:0,74,created
0,76:0,76,created
0,77:0,77,created
0,78:0,78,created
0,81:0,81,created
0,82:0,82,created
0,83:0,83,created
0,84:0,84,created
0,85:0,85,created
0,86:0,86,created
0,89:0,89,created
0,90:0,90,created
0,91:0,91,created
0,92:0,92,created
0,94:0,94,created
0,95:0,95,created
0,96:0,96,created
0,98:0,98,created
0,99:0,99,created
0,100:0,100,created
0,101:0,101,created
0,102:0,102,created
0,105:0,105,created
0,106:0,106,created
0,107:0,107,created
0,109:0,109,created
0,110:0,110,created
0,112:0,112,created
0,114:0,114,created
0,116:0,116,created
0,117:0,117,created
0,118:0,118,created
0,119:0,119,created
0,120:0,120,created
0,122:0,122,created
0,123:0,123,created
0,125:0,125,created
0,126:0,126,created
0,128:0,128,created
0,129:0,129,created
0,133:0,133,created
0,135:0,135,created
0,137:0,137,created
0,141:0,141,created
0,143:0,143,created
0,144:0,144,created
0,146:0,146,created
0,147:0,147,created
0,151:0,151,created
0,152:0,152,created
0,153:0,153,created
0,154:0,154,created
0,155:0,155,created
0,156:0,156,created
0,7:0,7,received
0,37:0,37,received
0,69:0,69,received
0,83:0,83,received
0,89:0,89,received
0,126:0,126,received
0,128:0,128,received
0,37:0,37,responded
0,69:0,69,responded
0,126:0,126,responded
0,37:0,37,attempted
0,37:0,37,resolved
0,69:0,69,attempted
0,69:0,69,resolved
0,126:0,126,attempted
0,126:0,126,resolved
0,83:0,83,responded
0,83:0,83,attempted
0,83:0,83,resolved
0,7:0,7,responded
0,7:0,7,attempted
0,7:0,7,resolved
0,89:0,89,responded
0,89:0,89,attempted
0,89:0,89,resolved
0,128:0,128,responded
0,128:0,128,attempted
0,128:0,128,resolved
