time,new_disputes,new_complaints,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions
0,14,1,1,13,0,1,1,1,14,13,14,13,0,1,0,0
1,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
2,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
3,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
4,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
5,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
6,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
7,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
8,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
9,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
10,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
11,0,0,0,13,0,0,1,1,14,13,13,13,0,0,0,0
