axis,level,mode,period,population,metric,mean,low,high,n
implementation,0,disabled,early,all,domestic_use,0.7980452538750037,0.7704785763167419,0.8242939268230713,20
implementation,0,disabled,early,all,customer_use,0.5102659249858131,0.4700415965477048,0.5535621737378326,20
implementation,0,disabled,early,all,first_d,0.6028163011442331,0.564512990441198,0.6385006673117954,20
implementation,0,disabled,early,all,first_e,0.3386254752155856,0.29767159962239353,0.38232189242645814,20
implementation,0,disabled,early,all,first_both,0.00833771240199217,0.00294117647058823,0.01404598712326957,20
implementation,0,disabled,early,all,neither,0.05022051123818916,0.03477774310369523,0.06695832431637938,20
implementation,0,disabled,early,all,d_to_e,0.1633027373682354,0.14009592153840025,0.1902461444280667,20
implementation,0,disabled,early,all,e_to_d,0.1868912403287785,0.1579360600960772,0.21984098414508565,20
implementation,0,disabled,early,all,both_use,0.35853169009900615,0.326594570167876,0.3928183328914258,20
implementation,0,disabled,early,all,resolved,0.40062081821014656,0.360320521242717,0.4369063605239255,20
implementation,0,disabled,early,all,unresolved,0.5993791817898534,0.5630936394760744,0.6396794787572828,20
implementation,0,disabled,early,all,customer_route_success,0.24759590977365903,0.19685790869048536,0.29785556676557307,20
implementation,0,disabled,early,all,customer_only_resolution,0.24759590977365903,0.19685790869048536,0.29785556676557307,20
implementation,0,disabled,early,all,joint_resolution,0.0,0.0,0.0,20
implementation,0,disabled,early,all,customer_user_any_resolution,0.39080194805194807,0.3330974932232444,0.44776497815199856,20
implementation,0,disabled,early,all,customer_unresolved,0.609198051948052,0.5522350218480013,0.6669025067767556,20
implementation,0,disabled,early,all,material_at_review,0.013847826086956514,0.002,0.02783405797101447,20
implementation,0,disabled,early,all,standardized_no_material_score,0.2471079050381006,0.24011547457420437,0.2535482220701976,20
implementation,0,disabled,early,all,mechanical_material_increment,0.0,0.0,0.0,20
implementation,0,disabled,early,all,mean_customer_merit,0.6024611683684384,0.572668117983844,0.630175379879844,20
implementation,0,disabled,early,all,mean_customer_dependence,0.4998252339232655,0.49419081664887377,0.5054530003652151,20
implementation,0,disabled,early,both_reachable,domestic_use,0.7657159600669114,0.7290143518646799,0.8040928036034015,20
implementation,0,disabled,early,both_reachable,customer_use,0.7081808646954494,0.6820257779669641,0.7344847278387946,20
implementation,0,disabled,early,both_reachable,first_d,0.4954809700370982,0.4572108201893059,0.5322937045970333,20
