axis,mode,population,level,contrast,metric,mean,low,high,n
implementation,disabled,all,,highest_minus_lowest,domestic_use,0.01376441137054027,-0.013288521646055535,0.03998965812780573,20
implementation,disabled,all,,highest_minus_lowest,customer_use,0.04907979875856664,0.02235645278642716,0.07294153492078585,20
implementation,disabled,all,,highest_minus_lowest,first_d,-0.016835392147714907,-0.056724319083694096,0.020407055984445335,20
implementation,disabled,all,,highest_minus_lowest,first_e,0.01988208476218596,-0.011301552083337569,0.05153527505456033,20
implementation,disabled,all,,highest_minus_lowest,first_both,0.004286556466789025,-0.0029824165659921437,0.011132273976023973,20
implementation,disabled,all,,highest_minus_lowest,neither,-0.0073332490812601,-0.022129074806687243,0.007398330795496472,20
implementation,disabled,all,,highest_minus_lowest,d_to_e,0.02491115752959163,0.004827842010239162,0.04591606507699457,20
implementation,disabled,all,,highest_minus_lowest,e_to_d,0.026313247051466142,0.00018658932059711724,0.04873719962250791,20
implementation,disabled,all,,highest_minus_lowest,both_use,0.05551096104784683,0.026212323929576117,0.08369897870470308,20
implementation,disabled,all,,highest_minus_lowest,resolved,-0.011418213262856063,-0.044972860269065884,0.021954396803386997,20
implementation,disabled,all,,highest_minus_lowest,unresolved,0.01141821326285608,-0.021954396803386993,0.04497286026906584,20
implementation,disabled,all,,highest_minus_lowest,customer_route_success,-0.015492926698574,-0.048920845425201885,0.02036316099117945,20
implementation,disabled,all,,highest_minus_lowest,customer_only_resolution,-0.015492926698574,-0.048920845425201885,0.02036316099117945,20
implementation,disabled,all,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,20
implementation,disabled,all,,highest_minus_lowest,customer_user_any_resolution,0.04156121936541211,-0.009446302475935748,0.08965064888545363,20
implementation,disabled,all,,highest_minus_lowest,customer_unresolved,-0.04156121936541211,-0.08965064888545364,0.009446302475935734,20
implementation,disabled,all,,highest_minus_lowest,material_at_review,0.03321882973866289,0.00522978996314889,0.059522984622327864,20
implementation,disabled,all,,highest_minus_lowest,standardized_no_material_score,0.000441432218271548,-0.0017296750214008507,0.0024490515616607325,20
implementation,disabled,all,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,20
implementation,disabled,all,,highest_minus_lowest,mean_customer_merit,0.0015373324008096877,-0.006799899789050936,0.009561454935267406,20
implementation,disabled,all,,highest_minus_lowest,mean_customer_dependence,0.00020168112033804863,-0.0023656197554038556,0.0023883539643300505,20
implementation,disabled,both_reachable,,highest_minus_lowest,domestic_use,0.004878132316270101,-0.02835188413782866,0.03893235673287119,20
implementation,disabled,both_reachable,,highest_minus_lowest,customer_use,0.06701919216854593,0.027652125996420095,0.10259296316293182,20
implementation,disabled,both_reachable,,highest_minus_lowest,first_d,-0.0342013666387155,-0.0854502852052632,0.015728707945870612,20
implementation,disabled,both_reachable,,highest_minus_lowest,first_e,0.028296870597122693,-0.016279805317734156,0.07244581349791245,20
implementation,disabled,both_reachable,,highest_minus_lowest,first_both,0.0044575216450216445,-0.007988940746753244,0.015297991071428573,20
implementation,disabled,both_reachable,,highest_minus_lowest,neither,0.0014469743965711747,-0.011167158532178678,0.01507413126561312,20
implementation,disabled,both_reachable,,highest_minus_lowest,d_to_e,0.034264799926401586,0.004547847249354954,0.06390387488488956,20
implementation,disabled,both_reachable,,highest_minus_lowest,e_to_d,0.034621977309963956,-0.0018903932893904539,0.06757460618284969,20
implementation,disabled,both_reachable,,highest_minus_lowest,both_use,0.07334429888138719,0.03193789820135411,0.11209990821641636,20
implementation,disabled,both_reachable,,highest_minus_lowest,resolved,-0.012092293854692914,-0.04876371893244461,0.022548315147912164,20
implementation,disabled,both_reachable,,highest_minus_lowest,unresolved,0.012092293854692907,-0.022548315147912227,0.0487637189324446,20
implementation,disabled,both_reachable,,highest_minus_lowest,customer_route_success,-0.015492926698574,-0.048920845425201885,0.02036316099117945,20
implementation,disabled,both_reachable,,highest_minus_lowest,customer_only_resolution,-0.015492926698574,-0.048920845425201885,0.02036316099117945,20
implementation,disabled,both_reachable,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,20
implementation,disabled,both_reachable,,highest_minus_lowest,customer_user_any_resolution,0.04156121936541211,-0.009446302475935748,0.08965064888545363,20
implementation,disabled,both_reachable,,highest_minus_lowest,customer_unresolved,-0.04156121936541211,-0.08965064888545364,0.009446302475935734,20
implementation,disabled,both_reachable,,highest_minus_lowest,material_at_review,0.03321882973866289,0.00522978996314889,0.059522984622327864,20
implementation,disabled,both_reachable,,highest_minus_lowest,standardized_no_material_score,0.000441432218271548,-0.0017296750214008507,0.0024490515616607325,20
implementation,disabled,both_reachable,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,20
implementation,disabled,both_reachable,,highest_minus_lowest,mean_customer_merit,0.0015373324008096877,-0.006799899789050936,0.009561454935267406,20
implementation,disabled,both_reachable,,highest_minus_lowest,mean_customer_dependence,0.00020168112033804863,-0.0023656197554038556,0.0023883539643300505,20
implementation,full,all,,highest_minus_lowest,domestic_use,0.008386529419728294,-0.02323316927203279,0.03715625285770626,20
implementation,full,all,,highest_minus_lowest,customer_use,0.07586128450984819,0.054133197328901886,0.0969663914627232,20
implementation,full,all,,highest_minus_lowest,first_d,-0.013534892191245757,-0.0531919868898255,0.025633700478701497,20
implementation,full,all,,highest_minus_lowest,first_e,0.008533873473121756,-0.0221755435761709,0.03893888367195485,20
implementation,full,all,,highest_minus_lowest,first_both,0.0057151278953604554,-0.003369111508646385,0.01488525113452438,20
implementation,full,all,,highest_minus_lowest,neither,-0.0007141091772364698,-0.01549615954858074,0.013548568027664564,20
implementation,full,all,,highest_minus_lowest,d_to_e,0.061612283141365985,0.03268018738155289,0.09167288325159506,20
implementation,full,all,,highest_minus_lowest,e_to_d,0.01620629371561357,-0.009138130080893857,0.03846363931020766,20
implementation,full,all,,highest_minus_lowest,both_use,0.08353370475234001,0.05312908893644437,0.11262934356927236,20
implementation,full,all,,highest_minus_lowest,resolved,-0.017970794378000608,-0.05821309182517297,0.0203572477062666,20
implementation,full,all,,highest_minus_lowest,unresolved,0.017970794378000636,-0.020357247706266596,0.05821309182517301,20
implementation,full,all,,highest_minus_lowest,customer_route_success,0.005706283207953329,-0.0336071557040683,0.04444621873117181,20
implementation,full,all,,highest_minus_lowest,customer_only_resolution,-0.0016428547230811538,-0.03965147676316745,0.03488044186475074,20
implementation,full,all,,highest_minus_lowest,joint_resolution,0.00734913793103448,0.0,0.016099137931034478,20
implementation,full,all,,highest_minus_lowest,customer_user_any_resolution,0.06170688407611975,-0.002359107951109966,0.12417561827193144,20
implementation,full,all,,highest_minus_lowest,customer_unresolved,-0.061706884076119725,-0.12417561827193144,0.0023591079511099374,20
implementation,full,all,,highest_minus_lowest,material_at_review,0.07129112850024316,0.03754814928113323,0.10420869219128238,20
implementation,full,all,,highest_minus_lowest,standardized_no_material_score,0.0007187485060366761,-0.001551717008846899,0.0029363179831073914,20
implementation,full,all,,highest_minus_lowest,mechanical_material_increment,0.011119999404815355,0.005775610945046879,0.01634153611879384,20
implementation,full,all,,highest_minus_lowest,mean_customer_merit,0.003965659492794524,-0.005212743691054436,0.012790576402059885,20
implementation,full,all,,highest_minus_lowest,mean_customer_dependence,-0.0007770552837974315,-0.0034136724045680084,0.00168088993810078,20
implementation,full,both_reachable,,highest_minus_lowest,domestic_use,0.0021209091767471822,-0.03400403919412072,0.0373743559597456,20
implementation,full,both_reachable,,highest_minus_lowest,customer_use,0.10069993580138914,0.0700206836728295,0.1297118451905421,20
implementation,full,both_reachable,,highest_minus_lowest,first_d,-0.028734674996620635,-0.07961830706286525,0.02030961681789818,20
implementation,full,both_reachable,,highest_minus_lowest,first_e,0.014499160436509303,-0.024745311914009326,0.05546215418205201,20
implementation,full,both_reachable,,highest_minus_lowest,first_both,0.006874188311688316,-0.008363419913419903,0.021173065476190484,20
implementation,full,both_reachable,,highest_minus_lowest,neither,0.007361326248423025,-0.0065498690377722504,0.02219784058534057,20
implementation,full,both_reachable,,highest_minus_lowest,d_to_e,0.07932658705319148,0.04194596582116339,0.11620296792207536,20
implementation,full,both_reachable,,highest_minus_lowest,e_to_d,0.0239813958616795,-0.010706078626309443,0.054705341780988306,20
implementation,full,both_reachable,,highest_minus_lowest,both_use,0.11018217122655931,0.07078107130845764,0.147150270645238,20
implementation,full,both_reachable,,highest_minus_lowest,resolved,-0.018747950947363347,-0.06617309777270326,0.02445730151699039,20
implementation,full,both_reachable,,highest_minus_lowest,unresolved,0.01874795094736334,-0.024457301516990423,0.06617309777270323,20
implementation,full,both_reachable,,highest_minus_lowest,customer_route_success,0.005706283207953329,-0.0336071557040683,0.04444621873117181,20
implementation,full,both_reachable,,highest_minus_lowest,customer_only_resolution,-0.0016428547230811538,-0.03965147676316745,0.03488044186475074,20
implementation,full,both_reachable,,highest_minus_lowest,joint_resolution,0.00734913793103448,0.0,0.016099137931034478,20
implementation,full,both_reachable,,highest_minus_lowest,customer_user_any_resolution,0.06170688407611975,-0.002359107951109966,0.12417561827193144,20
implementation,full,both_reachable,,highest_minus_lowest,customer_unresolved,-0.061706884076119725,-0.12417561827193144,0.0023591079511099374,20
implementation,full,both_reachable,,highest_minus_lowest,material_at_review,0.07129112850024316,0.03754814928113323,0.10420869219128238,20
implementation,full,both_reachable,,highest_minus_lowest,standardized_no_material_score,0.0007187485060366761,-0.001551717008846899,0.0029363179831073914,20
