employee,firm,threshold,initiator
0,1,0.2341233836731456,False
1,2,0.11339591177041998,False
2,1,0.19881844662121884,False
3,0,0.21245401375890555,False
4,0,0.13938546424733886,False
5,2,0.1779167367512353,False
6,2,0.20438378780038677,False
7,1,0.25162284187813494,False
8,0,0.15456523212762835,False
9,1,0.14583711891158269,False
10,2,0.10093728600874942,False
11,1,0.157943351180925,False
12,1,0.23611982964127987,False
13,0,0.25099174104942346,False
14,0,0.21632670815691168,False
15,2,0.14671804723105178,True
16,0,0.2548693712489189,False
17,1,0.1462757837133714,False
18,2,0.22782317925230794,False
19,2,0.10476431886577842,True
20,1,0.1637751801110481,False
21,0,0.10390067219629326,False
22,2,0.218547873588131,False
23,0,0.2466158900943774,False
