axis,level,mode,period,population,metric,mean,low,high,n
delay,0.0,disabled,early,all,domestic_use,0.8307200929152149,0.7804878048780488,0.8809523809523809,2
delay,0.0,disabled,early,all,customer_use,0.5786875725900116,0.5476190476190477,0.6097560975609756,2
delay,0.0,disabled,early,all,first_d,0.6016260162601625,0.5365853658536586,0.6666666666666666,2
delay,0.0,disabled,early,all,first_e,0.3864692218350755,0.3095238095238095,0.4634146341463415,2
delay,0.0,disabled,early,all,first_both,0.0,0.0,0.0,2
delay,0.0,disabled,early,all,neither,0.0119047619047619,0.0,0.0238095238095238,2
delay,0.0,disabled,early,all,d_to_e,0.19221835075493604,0.1463414634146341,0.238095238095238,2
delay,0.0,disabled,early,all,e_to_d,0.22909407665505221,0.2142857142857142,0.2439024390243902,2
delay,0.0,disabled,early,all,both_use,0.4213124274099884,0.3902439024390244,0.4523809523809524,2
delay,0.0,disabled,early,all,resolved,0.3972125435540069,0.3658536585365853,0.4285714285714285,2
delay,0.0,disabled,early,all,unresolved,0.602787456445993,0.5714285714285714,0.6341463414634146,2
delay,0.0,disabled,early,all,customer_route_success,0.228695652173913,0.217391304347826,0.24,2
delay,0.0,disabled,early,all,customer_only_resolution,0.228695652173913,0.217391304347826,0.24,2
delay,0.0,disabled,early,all,joint_resolution,0.0,0.0,0.0,2
delay,0.0,disabled,early,all,customer_user_any_resolution,0.3521739130434782,0.3043478260869565,0.4,2
delay,0.0,disabled,early,all,customer_unresolved,0.6478260869565218,0.6,0.6956521739130435,2
delay,0.0,disabled,early,all,material_at_review,0.0,0.0,0.0,2
delay,0.0,disabled,early,all,standardized_no_material_score,0.2456387668860438,0.245404532239299,0.2458730015327886,2
delay,0.0,disabled,early,all,mechanical_material_increment,0.0,0.0,0.0,2
delay,0.0,disabled,early,all,mean_customer_merit,0.5950700475790176,0.5847508428087442,0.605389252349291,2
delay,0.0,disabled,early,all,mean_customer_dependence,0.49747232291551113,0.4912578294987554,0.5036868163322669,2
delay,0.0,disabled,early,both_reachable,domestic_use,0.8051470588235294,0.7352941176470589,0.875,2
delay,0.0,disabled,early,both_reachable,customer_use,0.7270220588235294,0.71875,0.7352941176470589,2
