scenario,material_cases,material_before_customer_review,material_cases_domestic_only_resolved
delay_0_disabled,28,1,24
delay_0_full,28,3,24
delay_0_objective,28,1,24
delay_2_disabled,37,0,35
delay_2_full,37,0,35
delay_2_objective,37,0,35
delay_6_disabled,30,3,25
delay_6_full,30,2,25
delay_6_objective,30,3,25
support_0.2_disabled,14,0,12
support_0.2_full,14,0,12
support_0.2_objective,14,0,12
support_0.55_disabled,37,0,35
support_0.55_full,37,0,35
support_0.55_objective,37,0,35
support_0.9_disabled,62,2,55
support_0.9_full,62,2,55
support_0.9_objective,62,2,55
