axis,level,mode,period,population,metric,mean,low,high,n
delay,0.0,disabled,early,all,domestic_use,0.7807114700044614,0.7489480750449677,0.8132411870435953,20
delay,0.0,disabled,early,all,customer_use,0.5062675895812306,0.4716526193334835,0.544713354584727,20
delay,0.0,disabled,early,all,first_d,0.5892471032878162,0.5555937655317175,0.6213515787590488,20
delay,0.0,disabled,early,all,first_e,0.3513815219259483,0.3105790215516614,0.39484269887781537,20
delay,0.0,disabled,early,all,first_both,0.00914887613976385,0.002821939586645465,0.01608908288251904,20
delay,0.0,disabled,early,all,neither,0.05022249864647164,0.030300945909641046,0.07184284285622414,20
delay,0.0,disabled,early,all,d_to_e,0.14573719151551842,0.1252336166322208,0.16620033645698085,20
delay,0.0,disabled,early,all,e_to_d,0.1823154905768812,0.1584571344415022,0.20908558056988105,20
delay,0.0,disabled,early,all,both_use,0.3372015582321636,0.30905648614456005,0.36904887453040464,20
delay,0.0,disabled,early,all,resolved,0.4109407834502104,0.378699240122507,0.4416281392001438,20
delay,0.0,disabled,early,all,unresolved,0.5890592165497897,0.558371860799856,0.621300759877493,20
delay,0.0,disabled,early,all,customer_route_success,0.2529855205984395,0.20536422077160063,0.300854913910124,20
delay,0.0,disabled,early,all,customer_only_resolution,0.2529855205984395,0.20536422077160063,0.300854913910124,20
delay,0.0,disabled,early,all,joint_resolution,0.0,0.0,0.0,20
delay,0.0,disabled,early,all,customer_user_any_resolution,0.4016161361783249,0.35369778798006857,0.44666075922776016,20
delay,0.0,disabled,early,all,customer_unresolved,0.598383863821675,0.5533392407722398,0.6463022120199313,20
delay,0.0,disabled,early,all,material_at_review,0.01289719052876947,0.0037878787878787854,0.024080404244877895,20
delay,0.0,disabled,early,all,standardized_no_material_score,0.24764257329760353,0.24109932923977662,0.253628392153341,20
delay,0.0,disabled,early,all,mechanical_material_increment,0.0,0.0,0.0,20
delay,0.0,disabled,early,all,mean_customer_merit,0.6047942846607365,0.5765442051362389,0.6301338833447939,20
delay,0.0,disabled,early,all,mean_customer_dependence,0.4992188874258006,0.4930122333579036,0.5053496252968174,20
delay,0.0,disabled,early,both_reachable,domestic_use,0.7404875844322554,0.6982920509273384,0.7821043406860347,20
delay,0.0,disabled,early,both_reachable,customer_use,0.7064501135080717,0.6751521830552641,0.7370803800616741,20
delay,0.0,disabled,early,both_reachable,first_d,0.47683015698730824,0.43884686930812705,0.5169023283192246,20
delay,0.0,disabled,early,both_reachable,first_e,0.48747446200481087,0.44281302393138083,0.5312113979131177,20
delay,0.0,disabled,early,both_reachable,first_both,0.012283781033781022,0.004006410256410251,0.022578792735042704,20
delay,0.0,disabled,early,both_reachable,neither,0.02341159997409996,0.007709668803418793,0.04405869593369591,20
delay,0.0,disabled,early,both_reachable,d_to_e,0.2066918704694798,0.1760128837587696,0.2371951488849906,20
delay,0.0,disabled,early,both_reachable,e_to_d,0.2513736464111663,0.22592127552857139,0.27890484673317534,20
delay,0.0,disabled,early,both_reachable,both_use,0.47034929791442714,0.43750460923956525,0.5004482258171756,20
delay,0.0,disabled,early,both_reachable,resolved,0.44684531249096027,0.4059767893218781,0.48376233480066955,20
delay,0.0,disabled,early,both_reachable,unresolved,0.5531546875090397,0.5162376651993305,0.5940232106781219,20
delay,0.0,disabled,early,both_reachable,customer_route_success,0.2529855205984395,0.20536422077160063,0.300854913910124,20
delay,0.0,disabled,early,both_reachable,customer_only_resolution,0.2529855205984395,0.20536422077160063,0.300854913910124,20
delay,0.0,disabled,early,both_reachable,joint_resolution,0.0,0.0,0.0,20
delay,0.0,disabled,early,both_reachable,customer_user_any_resolution,0.4016161361783249,0.35369778798006857,0.44666075922776016,20
delay,0.0,disabled,early,both_reachable,customer_unresolved,0.598383863821675,0.5533392407722398,0.6463022120199313,20
delay,0.0,disabled,early,both_reachable,material_at_review,0.01289719052876947,0.0037878787878787854,0.024080404244877895,20
delay,0.0,disabled,early,both_reachable,standardized_no_material_score,0.24764257329760353,0.24109932923977662,0.253628392153341,20
delay,0.0,disabled,early,both_reachable,mechanical_material_increment,0.0,0.0,0.0,20
delay,0.0,disabled,early,both_reachable,mean_customer_merit,0.6047942846607365,0.5765442051362389,0.6301338833447939,20
delay,0.0,disabled,early,both_reachable,mean_customer_dependence,0.4992188874258006,0.4930122333579036,0.5053496252968174,20
delay,0.0,disabled,late,all,domestic_use,0.7826956411336357,0.7614503853153527,0.8038214181652719,20
delay,0.0,disabled,late,all,customer_use,0.4871061478510561,0.44002058699133556,0.5371904024377584,20
delay,0.0,disabled,late,all,first_d,0.627535449299749,0.5926676148463939,0.6606643602557546,20
delay,0.0,disabled,late,all,first_e,0.3138912303207799,0.27538108475401923,0.3521042393614751,20
delay,0.0,disabled,late,all,first_both,0.01140982079935567,0.004618424695459572,0.019338772903453098,20
delay,0.0,disabled,late,all,neither,0.04716349958011522,0.03434834995346008,0.059304014951371886,20
delay,0.0,disabled,late,all,d_to_e,0.16180509673092028,0.13086599126750853,0.1939763685897481,20
delay,0.0,disabled,late,all,e_to_d,0.14375037103453076,0.11712095668169717,0.17005355916486012,20
delay,0.0,disabled,late,all,both_use,0.3169652885648068,0.2775301253251112,0.35748909283539176,20
delay,0.0,disabled,late,all,resolved,0.4367680206824104,0.4087047686618982,0.4667542067942479,20
delay,0.0,disabled,late,all,unresolved,0.5632319793175895,0.5332457932057519,0.5912952313381017,20
delay,0.0,disabled,late,all,customer_route_success,0.2559821694501111,0.21976397893111912,0.29587168544819475,20
delay,0.0,disabled,late,all,customer_only_resolution,0.2559821694501111,0.21976397893111912,0.29587168544819475,20
delay,0.0,disabled,late,all,joint_resolution,0.0,0.0,0.0,20
delay,0.0,disabled,late,all,customer_user_any_resolution,0.3916734648414715,0.3524559773586102,0.4315718733575644,20
delay,0.0,disabled,late,all,customer_unresolved,0.6083265351585284,0.5684281266424356,0.6475440226413897,20
delay,0.0,disabled,late,all,material_at_review,0.030957070707070693,0.014074116161616152,0.050212121212121194,20
delay,0.0,disabled,late,all,standardized_no_material_score,0.24632974369107816,0.24110564454738478,0.2518719470878175,20
delay,0.0,disabled,late,all,mechanical_material_increment,0.0,0.0,0.0,20
delay,0.0,disabled,late,all,mean_customer_merit,0.6014065418001777,0.5765684370901617,0.6272282792033034,20
delay,0.0,disabled,late,all,mean_customer_dependence,0.49808819263222076,0.4899331358041138,0.506852061790446,20
delay,0.0,disabled,late,both_reachable,domestic_use,0.7529564951557715,0.7236687710585737,0.781251942007305,20
