period,population,cases,customer_users,domestic_use,customer_use,first_d,first_e,first_both,neither,d_to_e,e_to_d,both_use,resolved,unresolved,customer_route_success,customer_only_resolution,joint_resolution,customer_user_any_resolution,customer_unresolved,material_at_review,standardized_no_material_score,mechanical_material_increment,mean_customer_merit,mean_customer_dependence,seed,scenario,axis,level,mode
early,all,41,25,0.7560975609756098,0.6097560975609756,0.5365853658536586,0.43902439024390244,0.0,0.024390243902439025,0.17073170731707318,0.21951219512195122,0.3902439024390244,0.2682926829268293,0.7317073170731707,0.24,0.24,0.0,0.28,0.72,0.0,0.24587300153278865,0.0,0.605389252349291,0.4912578294987554,0,support_0.2_disabled,support,0.2,disabled
early,both_reachable,34,25,0.7058823529411765,0.7352941176470589,0.4411764705882353,0.5294117647058824,0.0,0.029411764705882353,0.20588235294117646,0.2647058823529412,0.47058823529411764,0.2647058823529412,0.7352941176470589,0.24,0.24,0.0,0.28,0.72,0.0,0.24587300153278865,0.0,0.605389252349291,0.4912578294987554,0,support_0.2_disabled,support,0.2,disabled
late,all,43,27,0.7209302325581395,0.627906976744186,0.5116279069767442,0.4418604651162791,0.023255813953488372,0.023255813953488372,0.16279069767441862,0.18604651162790697,0.37209302325581395,0.32558139534883723,0.6744186046511628,0.3333333333333333,0.3333333333333333,0.0,0.37037037037037035,0.6296296296296297,0.0,0.24394448952731995,0.0,0.6166592985051343,0.48128311383506434,0,support_0.2_disabled,support,0.2,disabled
late,both_reachable,36,27,0.6944444444444444,0.75,0.4444444444444444,0.5277777777777778,0.027777777777777776,0.0,0.19444444444444445,0.2222222222222222,0.4444444444444444,0.3611111111111111,0.6388888888888888,0.3333333333333333,0.3333333333333333,0.0,0.37037037037037035,0.6296296296296297,0.0,0.24394448952731995,0.0,0.6166592985051343,0.48128311383506434,0,support_0.2_disabled,support,0.2,disabled
early,all,41,25,0.7560975609756098,0.6097560975609756,0.5365853658536586,0.43902439024390244,0.0,0.024390243902439025,0.17073170731707318,0.21951219512195122,0.3902439024390244,0.2682926829268293,0.7317073170731707,0.24,0.24,0.0,0.28,0.72,0.0,0.24587300153278865,0.0,0.605389252349291,0.4912578294987554,0,support_0.2_objective,support,0.2,objective
early,both_reachable,34,25,0.7058823529411765,0.7352941176470589,0.4411764705882353,0.5294117647058824,0.0,0.029411764705882353,0.20588235294117646,0.2647058823529412,0.47058823529411764,0.2647058823529412,0.7352941176470589,0.24,0.24,0.0,0.28,0.72,0.0,0.24587300153278865,0.0,0.605389252349291,0.4912578294987554,0,support_0.2_objective,support,0.2,objective
late,all,43,27,0.7209302325581395,0.627906976744186,0.5116279069767442,0.4418604651162791,0.023255813953488372,0.023255813953488372,0.16279069767441862,0.18604651162790697,0.37209302325581395,0.32558139534883723,0.6744186046511628,0.3333333333333333,0.3333333333333333,0.0,0.37037037037037035,0.6296296296296297,0.0,0.24394448952731995,0.0,0.6166592985051343,0.48128311383506434,0,support_0.2_objective,support,0.2,objective
late,both_reachable,36,27,0.6944444444444444,0.75,0.4444444444444444,0.5277777777777778,0.027777777777777776,0.0,0.19444444444444445,0.2222222222222222,0.4444444444444444,0.3611111111111111,0.6388888888888888,0.3333333333333333,0.3333333333333333,0.0,0.37037037037037035,0.6296296296296297,0.0,0.24394448952731995,0.0,0.6166592985051343,0.48128311383506434,0,support_0.2_objective,support,0.2,objective
early,all,41,25,0.7560975609756098,0.6097560975609756,0.5365853658536586,0.43902439024390244,0.0,0.024390243902439025,0.17073170731707318,0.21951219512195122,0.3902439024390244,0.2682926829268293,0.7317073170731707,0.24,0.24,0.0,0.28,0.72,0.0,0.24587300153278865,0.0,0.605389252349291,0.4912578294987554,0,support_0.2_full,support,0.2,full
early,both_reachable,34,25,0.7058823529411765,0.7352941176470589,0.4411764705882353,0.5294117647058824,0.0,0.029411764705882353,0.20588235294117646,0.2647058823529412,0.47058823529411764,0.2647058823529412,0.7352941176470589,0.24,0.24,0.0,0.28,0.72,0.0,0.24587300153278865,0.0,0.605389252349291,0.4912578294987554,0,support_0.2_full,support,0.2,full
