axis,mode,population,level,contrast,metric,mean,low,high,n
delay,disabled,all,,highest_minus_lowest,domestic_use,0.01432087973317413,-0.011076678762955702,0.04002022133149825,20
delay,disabled,all,,highest_minus_lowest,customer_use,0.012925726075868236,-0.018112427547632592,0.043541851792471435,20
delay,disabled,all,,highest_minus_lowest,first_d,0.005375811549134904,-0.025870820544799267,0.03850182448365583,20
delay,disabled,all,,highest_minus_lowest,first_e,-0.006344946580769945,-0.03762393531133971,0.021708130107686414,20
delay,disabled,all,,highest_minus_lowest,first_both,-0.001016473836241275,-0.007628342103632796,0.005850321190437469,20
delay,disabled,all,,highest_minus_lowest,neither,0.00198560886787631,-0.011504533499446273,0.01620812813236505,20
delay,disabled,all,,highest_minus_lowest,d_to_e,0.020287146492879476,-0.012247924383050971,0.05155268089723416,20
delay,disabled,all,,highest_minus_lowest,e_to_d,0.009961542020280491,-0.007556584346184909,0.027785290018083723,20
delay,disabled,all,,highest_minus_lowest,both_use,0.029232214676918656,-0.002348931492252184,0.06327458138985377,20
delay,disabled,all,,highest_minus_lowest,resolved,-0.048904103946318535,-0.08634930700060715,-0.013089673472398037,20
delay,disabled,all,,highest_minus_lowest,unresolved,0.04890410394631855,0.013089673472398053,0.08634930700060713,20
delay,disabled,all,,highest_minus_lowest,customer_route_success,-0.0046088215927815885,-0.035623695890422746,0.025217014370389486,20
delay,disabled,all,,highest_minus_lowest,customer_only_resolution,-0.0046088215927815885,-0.035623695890422746,0.025217014370389486,20
delay,disabled,all,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,20
delay,disabled,all,,highest_minus_lowest,customer_user_any_resolution,0.013500527197509177,-0.04082901479826135,0.05742882172032865,20
delay,disabled,all,,highest_minus_lowest,customer_unresolved,-0.013500527197509165,-0.05742882172032862,0.0408290147982613,20
delay,disabled,all,,highest_minus_lowest,material_at_review,-0.015997609878044654,-0.0376147095959596,0.006524142976588619,20
delay,disabled,all,,highest_minus_lowest,standardized_no_material_score,-5.237961320565809e-05,-0.004130641226008409,0.004854247745849583,20
delay,disabled,all,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,20
delay,disabled,all,,highest_minus_lowest,mean_customer_merit,-0.004601936267074514,-0.02147144490702786,0.014097378137605926,20
delay,disabled,all,,highest_minus_lowest,mean_customer_dependence,0.00294262770367619,-0.0006726712543371098,0.006779238845813053,20
delay,disabled,both_reachable,,highest_minus_lowest,domestic_use,0.010109489180993757,-0.026174559516045314,0.047236333772088794,20
delay,disabled,both_reachable,,highest_minus_lowest,customer_use,0.021742068414539628,-0.01829049945977421,0.06297105934999114,20
delay,disabled,both_reachable,,highest_minus_lowest,first_d,-0.0029980543403428624,-0.04561694528963475,0.043217095038070905,20
delay,disabled,both_reachable,,highest_minus_lowest,first_e,-0.003762835765178349,-0.048034110772365086,0.03729017561934773,20
delay,disabled,both_reachable,,highest_minus_lowest,first_both,-0.0006116452991452994,-0.010092881944444444,0.00970239049145298,20
delay,disabled,both_reachable,,highest_minus_lowest,neither,0.007372535404666515,-0.00992925593654786,0.023141809440312827,20
delay,disabled,both_reachable,,highest_minus_lowest,d_to_e,0.02611654947886328,-0.021315292869142632,0.07225777197231824,20
delay,disabled,both_reachable,,highest_minus_lowest,e_to_d,0.01371918882048192,-0.009944356521188422,0.037608513408890556,20
delay,disabled,both_reachable,,highest_minus_lowest,both_use,0.03922409300019991,-0.007641299685648334,0.08736119102784587,20
delay,disabled,both_reachable,,highest_minus_lowest,resolved,-0.027118537538657124,-0.07644236380199952,0.017403825927617963,20
delay,disabled,both_reachable,,highest_minus_lowest,unresolved,0.027118537538657117,-0.01740382592761799,0.07644236380199944,20
delay,disabled,both_reachable,,highest_minus_lowest,customer_route_success,-0.0046088215927815885,-0.035623695890422746,0.025217014370389486,20
delay,disabled,both_reachable,,highest_minus_lowest,customer_only_resolution,-0.0046088215927815885,-0.035623695890422746,0.025217014370389486,20
delay,disabled,both_reachable,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,20
delay,disabled,both_reachable,,highest_minus_lowest,customer_user_any_resolution,0.013500527197509177,-0.04082901479826135,0.05742882172032865,20
delay,disabled,both_reachable,,highest_minus_lowest,customer_unresolved,-0.013500527197509165,-0.05742882172032862,0.0408290147982613,20
delay,disabled,both_reachable,,highest_minus_lowest,material_at_review,-0.015997609878044654,-0.0376147095959596,0.006524142976588619,20
